"Time","Cumulative (Received)","Cumulative (Endorsed Successfully)","Cumulative (Committed Successfully)"
2026-04-20 10:04:40,2,2,
2026-04-20 10:04:45,6,6,
2026-04-20 10:04:50,7,7,
2026-04-20 10:04:55,7,7,
2026-04-20 10:05:00,7,7,
2026-04-20 10:05:05,175,175,230
2026-04-20 10:05:10,426,426,480
2026-04-20 10:05:15,675,675,730
2026-04-20 10:05:20,926,926,980
2026-04-20 10:05:25,1175,1175,1230
2026-04-20 10:05:30,1426,1426,1480
2026-04-20 10:05:35,1511,1511,1504
2026-04-20 10:05:40,1511,1511,1504
2026-04-20 10:05:45,1511,1511,1734
2026-04-20 10:05:50,2571,2571,2874
2026-04-20 10:05:55,3821,3821,4124
2026-04-20 10:06:00,5071,5071,5374
2026-04-20 10:06:05,6321,6321,6624
2026-04-20 10:06:10,7571,7571,7874
2026-04-20 10:06:15,8821,8821,8894
2026-04-20 10:06:20,9015,9015,9008
2026-04-20 10:06:25,9015,9015,9008
2026-04-20 10:06:30,9015,9015,9008
2026-04-20 10:06:35,10876,10876,11498
2026-04-20 10:06:40,13376,13376,13998
2026-04-20 10:06:45,15876,15876,16498
2026-04-20 10:06:50,18376,18376,18998
2026-04-20 10:06:55,20876,20876,21498
2026-04-20 10:07:00,23376,23376,23998
2026-04-20 10:07:05,24019,24019,24012
2026-04-20 10:07:10,24019,24019,24012
2026-04-20 10:07:15,24141,24139,24592
2026-04-20 10:07:20,26250,26249,26862
2026-04-20 10:07:25,28695,28694,29312
2026-04-20 10:07:30,31149,31148,31762
2026-04-20 10:07:35,33597,33597,34202
2026-04-20 10:07:40,36047,36047,36662
2026-04-20 10:07:45,38499,38498,39112
2026-04-20 10:07:50,40950,40949,41562
2026-04-20 10:07:55,43407,43407,44022
2026-04-20 10:08:00,46062,46062,46762
2026-04-20 10:08:05,48853,48851,49552
2026-04-20 10:08:10,51647,51646,52342
2026-04-20 10:08:15,54433,54432,55122
2026-04-20 10:08:20,57219,57219,57922
2026-04-20 10:08:25,60012,60012,60712
2026-04-20 10:08:30,62803,62802,63502
2026-04-20 10:08:35,65596,65595,66292
