"Time","Avg Endorsement Latency"
2026-04-20 10:05:10,0.00154
2026-04-20 10:05:15,0.00154
2026-04-20 10:05:20,0.00152
2026-04-20 10:05:25,0.00151
2026-04-20 10:05:30,0.00151
2026-04-20 10:05:35,0.00151
2026-04-20 10:05:40,0.00150
2026-04-20 10:05:45,0.00148
2026-04-20 10:05:50,0.00122
2026-04-20 10:05:55,0.00122
2026-04-20 10:06:00,0.00121
2026-04-20 10:06:05,0.00123
2026-04-20 10:06:10,0.00124
2026-04-20 10:06:15,0.00126
2026-04-20 10:06:20,0.00128
2026-04-20 10:06:25,0.00131
2026-04-20 10:06:30,0.00150
2026-04-20 10:06:35,0.00135
2026-04-20 10:06:40,0.00129
2026-04-20 10:06:45,0.00128
2026-04-20 10:06:50,0.00126
2026-04-20 10:06:55,0.00125
2026-04-20 10:07:00,0.00125
2026-04-20 10:07:05,0.00124
2026-04-20 10:07:10,0.00125
2026-04-20 10:07:15,0.00129
2026-04-20 10:07:20,0.00118
2026-04-20 10:07:25,0.00111
2026-04-20 10:07:30,0.00109
2026-04-20 10:07:35,0.00106
2026-04-20 10:07:40,0.00107
2026-04-20 10:07:45,0.00107
2026-04-20 10:07:50,0.00109
2026-04-20 10:07:55,0.00108
2026-04-20 10:08:00,0.00111
2026-04-20 10:08:05,0.00113
2026-04-20 10:08:10,0.00118
2026-04-20 10:08:15,0.00121
2026-04-20 10:08:20,0.00121
2026-04-20 10:08:25,0.00121
2026-04-20 10:08:30,0.00120
2026-04-20 10:08:35,0.00118
2026-04-20 10:08:40,0.00121
2026-04-20 10:08:45,0.00126
2026-04-20 10:08:50,0.00132
2026-04-20 10:08:55,0.00135
2026-04-20 10:09:00,0.00135
2026-04-20 10:09:05,0.00135
2026-04-20 10:09:10,0.00136
2026-04-20 10:09:15,0.00137
2026-04-20 10:09:20,0.00141
2026-04-20 10:09:25,0.00169
2026-04-20 10:09:30,0.00195
2026-04-20 10:09:35,0.00213
2026-04-20 10:09:40,0.00219
2026-04-20 10:09:45,0.00217
2026-04-20 10:09:50,0.00219
2026-04-20 10:09:55,0.00219
2026-04-20 10:10:00,0.00222
2026-04-20 10:10:05,0.00222
2026-04-20 10:10:10,0.00223
2026-04-20 10:10:15,0.00223
2026-04-20 10:10:20,0.00225
2026-04-20 10:10:25,0.00224
2026-04-20 10:10:30,0.00228
2026-04-20 10:10:35,0.00227
2026-04-20 10:10:40,0.00228
2026-04-20 10:10:45,0.00226
2026-04-20 10:10:50,0.00227
2026-04-20 10:10:55,0.00226
2026-04-20 10:11:00,0.00223
2026-04-20 10:11:05,0.00227
2026-04-20 10:11:10,0.00234
2026-04-20 10:11:15,0.00235
2026-04-20 10:11:20,0.00232
2026-04-20 10:11:25,0.00227
2026-04-20 10:11:30,0.00227
2026-04-20 10:11:35,0.00225
2026-04-20 10:11:40,0.00226
2026-04-20 10:11:45,0.00227
2026-04-20 10:11:50,0.00228
2026-04-20 10:11:55,0.00225
2026-04-20 10:12:00,0.00228
2026-04-20 10:12:05,0.00228
2026-04-20 10:12:10,0.00237
2026-04-20 10:12:15,0.00236
2026-04-20 10:12:20,0.00224
2026-04-20 10:12:25,0.00203
2026-04-20 10:12:30,0.00116
2026-04-20 10:12:35,0.00192
2026-04-20 10:12:40,0.00214
2026-04-20 10:12:45,0.00224
2026-04-20 10:12:50,0.00220
2026-04-20 10:12:55,0.00222
2026-04-20 10:13:00,0.00201
2026-04-20 10:13:05,NaN
2026-04-20 10:13:10,NaN
2026-04-20 10:13:15,NaN
2026-04-20 10:13:20,NaN
2026-04-20 10:13:25,NaN
2026-04-20 10:13:30,NaN
2026-04-20 10:13:35,NaN
2026-04-20 10:13:40,NaN
2026-04-20 10:13:45,NaN
2026-04-20 10:13:50,NaN
2026-04-20 10:13:55,NaN
2026-04-20 10:14:00,NaN
2026-04-20 10:14:05,NaN
2026-04-20 10:14:10,NaN
2026-04-20 10:14:15,NaN
2026-04-20 10:14:20,NaN
2026-04-20 10:14:25,NaN
2026-04-20 10:14:30,NaN
2026-04-20 10:14:35,NaN
2026-04-20 10:14:40,NaN
2026-04-20 10:14:45,NaN
2026-04-20 10:14:50,NaN
2026-04-20 10:14:55,NaN
2026-04-20 10:15:00,NaN
2026-04-20 10:15:05,NaN
2026-04-20 10:15:10,NaN
2026-04-20 10:15:15,NaN
2026-04-20 10:15:20,NaN
2026-04-20 10:15:25,NaN
2026-04-20 10:15:30,NaN
2026-04-20 10:15:35,NaN
2026-04-20 10:15:40,NaN
2026-04-20 10:15:45,NaN
2026-04-20 10:15:50,NaN
2026-04-20 10:15:55,NaN
2026-04-20 10:16:00,NaN
2026-04-20 10:16:05,NaN
2026-04-20 10:16:10,NaN
2026-04-20 10:16:15,NaN
2026-04-20 10:16:20,NaN
2026-04-20 10:16:25,NaN
2026-04-20 10:16:30,NaN
2026-04-20 10:16:35,NaN
2026-04-20 10:16:40,NaN
2026-04-20 10:16:45,NaN
2026-04-20 10:16:50,NaN
2026-04-20 10:16:55,NaN
2026-04-20 10:17:00,NaN
2026-04-20 10:17:05,NaN
2026-04-20 10:17:10,NaN
2026-04-20 10:17:15,NaN
2026-04-20 10:17:20,NaN
2026-04-20 10:17:25,NaN
2026-04-20 10:17:30,NaN
2026-04-20 10:17:35,NaN
2026-04-20 10:17:40,NaN
2026-04-20 10:17:45,NaN
2026-04-20 10:17:50,NaN
2026-04-20 10:17:55,NaN
2026-04-20 10:18:00,NaN
2026-04-20 10:18:05,NaN
2026-04-20 10:18:10,NaN
2026-04-20 10:18:15,NaN
2026-04-20 10:18:20,NaN
2026-04-20 10:18:25,NaN
2026-04-20 10:18:30,NaN
2026-04-20 10:18:35,NaN
2026-04-20 10:18:40,NaN
2026-04-20 10:18:45,NaN
2026-04-20 10:18:50,NaN
2026-04-20 10:18:55,NaN
2026-04-20 10:19:00,NaN
2026-04-20 10:19:05,NaN
2026-04-20 10:19:50,0.00161
2026-04-20 10:19:55,0.00157
2026-04-20 10:20:00,0.00155
2026-04-20 10:20:05,0.00155
2026-04-20 10:20:10,0.00155
2026-04-20 10:20:15,0.00156
2026-04-20 10:20:20,0.00157
2026-04-20 10:20:25,0.00165
2026-04-20 10:20:30,0.00192
2026-04-20 10:20:35,NaN
2026-04-20 10:20:40,0.00144
2026-04-20 10:20:45,0.00126
2026-04-20 10:20:50,0.00118
2026-04-20 10:20:55,0.00116
2026-04-20 10:21:00,0.00114
2026-04-20 10:21:05,0.00116
2026-04-20 10:21:10,0.00122
2026-04-20 10:21:15,0.00129
2026-04-20 10:21:20,0.00136
2026-04-20 10:21:25,0.00147
2026-04-20 10:21:30,0.00207
2026-04-20 10:21:35,0.00132
2026-04-20 10:21:40,0.00130
