Time,Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s)
4,0.000255,0.000321,,,,,,,,,,,,,,
9,0.000295,0.000304,,,,,,,,,,,,,,
14,0.000290,0.000295,,,,,,,,,,,,,,
19,0.000282,0.000291,,,,,,,,,,,,,,
24,0.000274,0.000292,,,,,,,,,,,,,,
29,0.000268,0.000294,,,,,,,,,,,,,,
34,0.000271,0.000296,,,,,,,,,,,,,,
39,0.000271,0.000294,,,,,,,,,,,,,,
44,0.000273,0.000294,,,,,,,,,,,,,,
49,0.000274,0.000297,,,,,,,,,,,,,,
54,0.000277,0.000302,,,,,,,,,,,,,,
59,0.000280,0.000310,,,,,,,,,,,,,,
64,0.000281,0.000314,,,,,,,,,,,,,,
69,0.000279,0.000314,,,,,,,,,,,,,,
74,0.000280,0.000316,,,,,,,,,,,,,,
79,0.000278,0.000315,,,,,,,,,,,,,,
84,0.000282,0.000317,,,,,,,,,,,,,,
89,0.000288,0.000321,,,,,,,,,,,,,,
94,0.000294,0.000327,,,,,,,,,,,,,,
99,0.000304,0.000336,,,,,,,,,,,,,,
104,0.000305,0.000340,,,,,,,,,,,,,,
109,0.000305,0.000341,,,,,,,,,,,,,,
114,0.000302,0.000340,,,,,,,,,,,,,,
119,0.000300,0.000339,,,,,,,,,,,,,,
124,0.000304,0.000342,,,,,,,,,,,,,,
129,0.000307,0.000355,,,,,,,,,,,,,,
134,0.000345,0.000395,,,,,,,,,,,,,,
139,0.000376,0.000419,,,,,,,,,,,,,,
144,0.000399,0.000436,,,,,,,,,,,,,,
149,0.000403,0.000438,,,,,,,,,,,,,,
154,0.000403,0.000441,,,,,,,,,,,,,,
159,0.000404,0.000439,,,,,,,,,,,,,,
164,0.000403,0.000436,,,,,,,,,,,,,,
169,0.000403,0.000442,,,,,,,,,,,,,,
174,0.000401,0.000444,,,,,,,,,,,,,,
179,0.000403,0.000448,,,,,,,,,,,,,,
184,0.000405,0.000444,,,,,,,,,,,,,,
189,0.000404,0.000443,,,,,,,,,,,,,,
194,0.000405,0.000441,,,,,,,,,,,,,,
199,0.000412,0.000441,,,,,,,,,,,,,,
204,0.000414,0.000445,,,,,,,,,,,,,,
209,0.000410,0.000443,,,,,,,,,,,,,,
214,0.000406,0.000445,,,,,,,,,,,,,,
219,0.000411,0.000444,,,,,,,,,,,,,,
224,0.000413,0.000447,,,,,,,,,,,,,,
229,0.000411,0.000447,,,,,,,,,,,,,,
234,0.000409,0.000446,,,,,,,,,,,,,,
239,0.000410,0.000453,,,,,,,,,,,,,,
244,0.000409,0.000451,,,,,,,,,,,,,,
249,0.000411,0.000458,,,,,,,,,,,,,,
254,0.000417,0.000453,,,,,,,,,,,,,,
259,0.000418,0.000455,,,,,,,,,,,,,,
264,0.000419,0.000455,,,,,,,,,,,,,,
269,0.000412,0.000460,,,,,,,,,,,,,,
274,0.000414,0.000462,,,,,,,,,,,,,,
279,0.000413,0.000457,,,,,,,,,,,,,,
284,0.000415,0.000455,,,,,,,,,,,,,,
289,0.000421,0.000459,,,,,,,,,,,,,,
294,0.000415,0.000460,,,,,,,,,,,,,,
299,0.000423,0.000460,,,,,,,,,,,,,,
304,0.000421,0.000455,,,,,,,,,,,,,,
309,0.000414,0.000453,,,,,,,,,,,,,,
314,0.000398,0.000444,,,,,,,,,,,,,,
