Time,Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s)
2,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
7,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
12,0.000479,0.000368,,,,,,,0.000261,0.000392,0.000278,0.000279,0.000293,0.000347,,
17,0.000385,0.000349,,,,,,,0.000272,0.000358,0.000304,0.000332,0.000299,0.000376,,
22,0.000354,0.000323,,,,,,,0.000297,0.000344,0.000327,0.000310,0.000285,0.000361,,
27,0.000343,0.000304,,,,,,,0.000300,0.000327,0.000331,0.000332,0.000289,0.000352,,
32,0.000357,0.000288,,,,,,,0.000302,0.000316,0.000341,0.000329,0.000294,0.000318,,
37,0.000356,0.000315,,,,,,,0.000308,0.000322,0.000343,0.000347,0.000316,0.000313,,
42,0.000357,0.000334,,,,,,,0.000317,0.000329,0.000342,0.000333,0.000318,0.000310,,
47,0.000346,0.000352,,,,,,,0.000331,0.000355,0.000348,0.000329,0.000336,0.000317,,
52,0.000345,0.000340,,,,,,,0.000332,0.000358,0.000330,0.000314,0.000340,0.000362,,
57,0.000338,0.000324,,,,,,,0.000332,0.000364,0.000336,0.000322,0.000368,0.000407,,
62,0.000330,0.000316,,,,,,,0.000336,0.000302,0.000336,0.000412,0.000343,0.000438,,
67,0.000331,0.000319,,,,,,,0.000315,0.000310,0.000338,0.000451,0.000351,0.000370,,
