Time,orderer.dwntp.com:8443 (K),peer0.org1.dwntp.com:9443 (K),peer1.org1.dwntp.com:9443 (K),peer10.org1.dwntp.com:9443 (K),peer11.org1.dwntp.com:9443 (K),peer12.org1.dwntp.com:9443 (K),peer13.org1.dwntp.com:9443 (K),peer14.org1.dwntp.com:9443 (K),peer15.org1.dwntp.com:9443 (K),peer2.org1.dwntp.com:9443 (K),peer3.org1.dwntp.com:9443 (K),peer4.org1.dwntp.com:9443 (K),peer5.org1.dwntp.com:9443 (K),peer6.org1.dwntp.com:9443 (K),peer7.org1.dwntp.com:9443 (K),peer8.org1.dwntp.com:9443 (K),peer9.org1.dwntp.com:9443 (K)
4,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
9,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
14,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
19,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
24,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
29,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
34,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
39,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
44,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
49,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
54,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
59,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
64,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
69,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
74,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
79,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
84,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
89,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
94,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
99,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
104,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
109,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
114,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
119,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
124,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
129,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
134,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
139,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
144,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
149,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
154,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
159,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
164,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
169,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
174,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
179,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
184,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
189,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
194,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
199,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
204,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
209,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
214,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
219,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
224,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
229,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
234,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
239,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
244,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
249,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
254,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
259,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
264,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
269,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
274,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
279,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
284,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
289,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
294,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
299,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
304,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
309,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
314,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
319,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
324,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
329,27.5,27.5,27.5,,,,,,,27.5,27.5,,,,,,
