Time,orderer.dwntp.com:8443 (K),peer0.org1.dwntp.com:9443 (K),peer1.org1.dwntp.com:9443 (K),peer10.org1.dwntp.com:9443 (K),peer11.org1.dwntp.com:9443 (K),peer12.org1.dwntp.com:9443 (K),peer13.org1.dwntp.com:9443 (K),peer14.org1.dwntp.com:9443 (K),peer15.org1.dwntp.com:9443 (K),peer2.org1.dwntp.com:9443 (K),peer3.org1.dwntp.com:9443 (K),peer4.org1.dwntp.com:9443 (K),peer5.org1.dwntp.com:9443 (K),peer6.org1.dwntp.com:9443 (K),peer7.org1.dwntp.com:9443 (K),peer8.org1.dwntp.com:9443 (K),peer9.org1.dwntp.com:9443 (K)
0,2.41,2.41,2.41,,,,,,,2.41,2.41,2.41,2.41,2.41,2.41,,
5,2.41,2.41,2.41,,,,,,,2.41,2.41,2.41,2.41,2.41,2.41,,
10,2.41,2.41,2.41,,,,,,,2.41,2.41,2.41,2.41,2.41,2.41,,
15,2.52,2.43,2.46,,,,,,,2.45,2.52,2.51,2.44,2.46,2.49,,
20,2.75,2.61,2.67,,,,,,,2.65,2.74,2.73,2.62,2.67,2.70,,
25,2.98,2.84,2.90,,,,,,,2.88,2.97,2.96,2.85,2.90,2.93,,
30,3.21,3.07,3.13,,,,,,,3.11,3.20,3.18,3.08,3.12,3.16,,
35,3.44,3.30,3.36,,,,,,,3.34,3.43,3.41,3.31,3.35,3.39,,
40,3.67,3.53,3.59,,,,,,,3.57,3.66,3.64,3.54,3.58,3.62,,
45,3.90,3.76,3.82,,,,,,,3.80,3.89,3.87,3.77,3.81,3.85,,
50,4.13,3.99,4.05,,,,,,,4.03,4.12,4.11,4,4.04,4.08,,
55,4.36,4.22,4.28,,,,,,,4.26,4.35,4.34,4.23,4.28,4.31,,
60,4.62,4.46,4.53,,,,,,,4.51,4.60,4.59,4.48,4.52,4.56,,
65,4.87,4.72,4.78,,,,,,,4.76,4.86,4.84,4.73,4.78,4.81,,
70,5.12,4.97,5.04,,,,,,,5.02,5.11,5.10,4.99,5.03,5.07,,
75,5.38,5.22,5.29,,,,,,,5.27,5.37,5.35,5.24,5.29,5.32,,
80,5.63,5.48,5.54,,,,,,,5.52,5.62,5.61,5.49,5.54,5.58,,
85,5.89,5.73,5.80,,,,,,,5.78,5.88,5.86,5.75,5.80,5.83,,
90,6.14,5.99,6.05,,,,,,,6.04,6.13,6.12,6.00,6.05,6.09,,
