Time,Cumulative (Received),Cumulative (Endorsed Successfully),Cumulative (Committed Successfully)
3,294976,294976,294968
8,294985,294976,294968
13,295032,294976,294968
18,295081,294976,294968
23,295133,294976,294968
28,295188,294976,294968
33,295240,294976,294968
38,295296,294976,294968
43,295351,294976,294968
48,295408,294976,294968
53,295467,294976,294968
58,295524,294976,294968
63,295586,294976,294968
68,295647,294976,294968
73,295710,294976,294968
78,295774,294976,294968
83,295838,294976,294968
88,295906,294976,294968
93,295974,294976,294968
98,296045,294976,294968
103,296116,294976,294968
108,296189,294976,294968
113,296265,294976,294968
118,296341,294976,294968
123,296420,294976,294968
128,296501,294976,294968
133,296585,294976,294968
138,296671,294976,294968
143,296759,294976,294968
148,296850,294976,294968
153,296943,294976,294968
158,297040,294976,294968
163,297141,294976,294968
168,297243,294976,294968
173,297351,294976,294968
178,297462,294976,294968
183,297577,294976,294968
188,297697,294976,294968
193,297821,294976,294968
198,297951,294976,294968
203,298087,294976,294968
208,298230,294976,294968
213,298380,294976,294968
218,298537,294976,294968
223,298702,294976,294968
228,298878,294976,294968
233,299064,294976,294968
238,299263,294976,294968
243,299474,294976,294968
248,299703,294976,294968
253,299950,294976,294968
258,300219,294976,294968
263,300515,294976,294968
268,300842,294976,294968
273,301207,294976,294968
278,301626,294976,294968
283,302111,294976,294968
288,302689,294976,294968
293,303015,294976,294968
298,303342,294976,294968
303,303707,294976,294968
308,304125,294976,294968
313,304272,294976,294968
318,304272,294976,294968
323,304272,294976,294968
328,304272,294976,294968
333,304272,294976,294968
338,304272,294976,294968
343,304272,294976,294968
348,304272,294976,294968
353,304272,294976,294968
358,304272,294976,294968
373,1,1,
378,4,4,
383,12,12,
388,13,13,
393,13,13,
