Time,Cumulative (Received),Cumulative (Endorsed Successfully),Cumulative (Committed Successfully)
3,24024,24024,24011
8,24286,24286,25301
13,26110,26109,27411
18,28486,28486,29821
23,30892,30892,32231
28,33299,33299,34641
33,35717,35714,37051
38,38124,38124,39461
43,40540,40540,41881
48,42949,42946,44371
53,45543,45543,47031
58,48235,48235,49741
63,50958,50958,52471
68,53676,53676,55191
73,56393,56393,57911
78,59113,59112,60621
83,61829,61826,63341
88,64553,64551,66071
93,67406,67406,69061
98,70420,70419,72141
103,73514,73514,75241
108,76616,76616,78341
113,79717,79717,81441
118,82819,82816,84541
123,85910,85908,87631
128,89005,89005,90721
133,92306,92306,94811
138,96835,96825,99511
143,101672,101669,104361
148,106518,106517,109231
153,111426,111417,114141
158,116289,116288,118991
163,121199,121196,123901
168,126100,126097,128831
173,130987,130980,133731
178,135891,135889,138591
183,140769,140766,143501
188,145637,145634,148331
193,150519,150519,153211
198,155386,155383,158091
203,160259,160255,162961
208,165143,165140,167861
213,169997,169995,172691
218,174853,174848,177511
223,179688,179685,182381
228,184511,184503,187221
233,189397,189393,192071
238,194243,194240,196981
243,199126,199123,201851
248,203984,203979,206651
253,208811,208805,211531
258,213735,213734,216431
263,218645,218637,221371
268,223526,223524,226281
273,228490,228487,231171
278,233344,233337,236041
283,238184,238181,240941
288,243126,243123,245811
293,248012,248003,250721
298,252872,252872,255631
303,257835,257826,260521
308,262252,262252,263591
313,264682,264682,264794
318,264807,264807,264794
323,264807,264807,264794
328,264807,264807,264794
