Time,Avg Endorsement Latency
3,NaN
8,0.00152
13,0.00135
18,0.00135
23,0.00135
28,0.00136
33,0.00138
38,0.00138
43,0.00139
48,0.00139
53,0.00145
58,0.00148
63,0.00152
68,0.00152
73,0.00155
78,0.00158
83,0.00159
88,0.00157
93,0.00157
98,0.00159
103,0.00162
108,0.00164
113,0.00164
118,0.00164
123,0.00163
128,0.00163
133,0.00172
138,0.00212
143,0.00277
148,0.00321
153,0.00355
158,0.00371
163,0.00380
168,0.00385
173,0.00378
178,0.00382
183,0.00382
188,0.00385
193,0.00386
198,0.00389
203,0.00381
208,0.00385
213,0.00381
218,0.00380
223,0.00387
228,0.00396
233,0.00403
238,0.00392
243,0.00392
248,0.00398
253,0.00417
258,0.00407
263,0.00400
268,0.00384
273,0.00380
278,0.00386
283,0.00387
288,0.00386
293,0.00397
298,0.00399
303,0.00402
308,0.00394
313,0.00334
318,0.00310
323,0.00133
328,0.00136
