Time,Avg Endorsement Latency
4,0.00167
9,NaN
14,NaN
19,NaN
24,NaN
29,NaN
34,NaN
39,NaN
44,NaN
49,NaN
54,NaN
59,NaN
64,NaN
69,NaN
74,NaN
79,NaN
84,NaN
89,NaN
94,NaN
99,NaN
104,NaN
109,NaN
114,NaN
119,NaN
124,NaN
129,NaN
134,NaN
139,NaN
144,NaN
149,NaN
154,NaN
159,NaN
164,NaN
169,NaN
174,NaN
179,NaN
184,NaN
189,NaN
194,NaN
199,NaN
204,NaN
209,NaN
214,NaN
219,NaN
224,NaN
229,NaN
234,NaN
239,NaN
244,NaN
249,NaN
254,NaN
259,NaN
264,NaN
269,NaN
274,NaN
279,NaN
284,NaN
289,NaN
294,NaN
299,NaN
304,NaN
309,NaN
314,NaN
319,NaN
324,NaN
329,NaN
334,NaN
339,NaN
344,NaN
349,NaN
354,NaN
359,NaN
364,NaN
369,NaN
374,NaN
379,NaN
