Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
2,0.333,0.0667,1.27,0.933,0.933,0.867,1.07,0.867,0.800,0.867,0.867,0.933,0.867,0.867,0.867,0.867,0.800,0.867
7,0.333,0.0667,1.07,0.867,0.867,1.00,1.07,0.867,0.867,0.867,0.867,0.933,0.867,0.867,0.867,0.867,0.867,0.933
12,0.200,0.0667,1.000,0.933,0.800,0.800,0.867,0.933,0.933,0.933,0.933,0.800,0.867,0.867,0.867,0.933,1.00,0.933
17,0.267,0.0667,1.00,0.867,0.867,0.933,0.867,0.933,0.867,1.07,1.00,0.867,0.933,0.800,0.933,1.00,1.00,1.00
22,0.267,0.133,1.20,0.867,0.933,0.933,0.933,0.933,0.867,1.00,1.000,0.867,1.00,1.000,0.933,0.867,0.933,0.933
27,0.333,0.0667,1.27,1.000,0.933,0.933,0.933,0.933,0.867,1.00,1.00,0.933,1.07,1.00,1.00,0.867,0.867,0.867
32,0.333,0.0667,1.27,1.07,0.867,0.867,0.933,1.00,1.00,0.933,0.867,0.867,0.933,1.00,0.867,0.933,0.933,0.867
37,0.267,3.67,1.20,1.73,0.867,1.00,0.867,0.933,2.47,2.67,1.33,2.80,2.53,0.800,1.60,2.20,2.00,0.933
42,0.333,15.7,12.3,7.27,5.27,6.27,5.20,4.40,8.87,9.20,6.80,9.53,9.13,6.00,7.27,8.13,8.00,3.27
47,0.333,28.6,27.4,14.3,12.2,13.0,12.1,11.1,15.8,16.4,13.7,16.8,16.3,12.9,14.3,15.2,14.9,10.3
52,0.400,45.7,48.6,24.9,21.0,22.4,21.1,19.5,27.1,28.1,23.8,28.6,27.8,22.5,24.5,26.5,25.9,18.0
57,0.467,55.5,68.9,35.7,32.0,33.5,32.5,31.1,37.4,38.6,34.9,38.4,37.8,33.1,35.4,36.9,36.3,30.0
62,0.467,63.9,82.2,45.4,41.7,43.7,42.1,41,46.6,47.9,44.4,47.7,46.9,43.3,45.2,46.2,45.9,39.7
67,0.533,64.1,89.3,50.2,49.4,49.9,49.5,48.8,48.8,49.7,50.3,48.8,48.6,49.5,50.5,49.2,49.5,48.7
72,0.533,56.3,103,43.7,47,45.5,46.3,47.6,41.2,41.4,44.3,40.7,40.9,45.6,44.1,42.3,42.6,49.1
77,0.533,46.3,90.5,34.1,37.5,35.9,37.2,38.3,32.1,31.8,35.3,30.9,31.7,35.9,34.5,33.2,33.3,40
82,0.400,28.3,73.8,21.6,26.7,24.9,26.3,28.4,19.2,18.5,22.9,18.1,19.0,25.3,22.1,20.3,20.5,29.9
87,0.333,14.3,29.4,11.9,14.3,13.3,14.3,15.4,10.3,9.93,12.5,9.80,10.1,13.5,12.0,11.0,11.1,17.0
92,0.333,3.00,13.2,4.67,7.13,5.80,7.00,8.07,3.20,3.07,5.07,3.00,3.13,6.13,4.80,3.73,3.93,9.33
97,0.333,0.0667,1.53,1.20,1.47,1.20,1.67,1.80,1.13,1.07,1.27,1.07,0.933,1.07,1.07,1.13,1.00,2.67
102,0.333,0.133,1.13,0.867,0.933,1.000,1.00,1.000,0.867,0.933,1.000,0.933,0.867,0.933,0.800,0.933,0.800,0.933
107,0.267,0.0667,1.07,1.000,1.07,1.07,0.933,1.000,1.000,0.933,1.07,0.867,0.867,0.800,0.867,0.933,0.933,0.867
112,0.267,0.133,1.20,0.867,1.07,0.800,0.800,1.000,1.00,1.07,0.933,0.867,0.867,1.00,0.800,0.933,0.933,1.00
117,0.267,0.0667,1.13,0.933,1.000,0.867,0.867,0.933,1.000,1.07,0.867,0.800,0.867,0.867,0.867,0.867,0.933,0.867
122,0.267,0.0667,1.13,0.733,0.800,0.933,0.867,0.867,0.867,1.00,0.800,0.867,0.933,1.07,0.800,0.800,0.933,0.800
127,0.267,0,1.000,0.867,0.867,0.933,0.933,0.867,0.867,0.867,0.800,0.867,0.933,0.867,0.867,0.867,1.07,0.733
