Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
0,0.333,0.133,1.20,0.867,,,,,,,0.800,0.733,0.800,0.733,0.867,0.800,,
5,0.267,0.0667,1.33,0.800,,,,,,,0.867,0.933,0.800,0.867,0.867,0.867,,
10,0.333,0.333,1.27,0.933,,,,,,,0.800,1.00,0.867,0.867,0.867,0.867,,
15,0.267,8.00,5.13,4.00,,,,,,,3.27,6.93,6.47,2.53,3.80,5.27,,
20,0.333,22.5,27.5,14.8,,,,,,,13.7,18.4,17.9,11.9,14.5,16.4,,
25,0.333,37.7,57.1,26.7,,,,,,,25.9,30.5,29.9,24.2,26.7,28.4,,
30,0.400,45.5,83.6,36.3,,,,,,,36.0,37.3,37.0,35.1,36.4,36.5,,
35,0.467,46.6,91.7,37.8,,,,,,,37.9,38.0,38.1,37.8,38.0,37.6,,
40,0.400,46.7,92.3,38.3,,,,,,,37.9,37.9,38.2,38.0,38.1,37.9,,
45,0.467,46.8,92.0,37.7,,,,,,,37.6,37.9,38.2,37.5,37.6,38.0,,
50,0.400,46.7,91.7,38.1,,,,,,,37.7,37.8,37.7,38.0,37.9,37.9,,
55,0.467,47.2,91.7,37.9,,,,,,,37.9,38.3,37.9,37.7,38.0,37.8,,
60,0.400,49.5,94.1,39.5,,,,,,,39.1,40.2,39.1,38.9,39.4,39.2,,
65,0.467,52.1,99.8,41.5,,,,,,,41.5,42.3,41.7,40.9,41.3,41.7,,
70,0.467,54.1,105,43.3,,,,,,,43.3,44.0,43.3,42.8,43.1,43.6,,
75,0.467,54.1,107,44.0,,,,,,,44.1,44.1,43.9,43.8,43.9,44.1,,
80,0.400,54.1,107,44.1,,,,,,,43.9,44.1,43.9,43.7,44.1,44.0,,
85,0.400,54.1,107,44.3,,,,,,,44.0,44.1,44.0,43.8,44.3,44.0,,
90,0.467,54.6,107,44.3,,,,,,,44.1,44.3,44.2,43.8,44.2,44.1,,
95,0.467,54.8,108,44.6,,,,,,,44.3,44.6,44.6,44.3,44.5,44.7,,
100,0.467,56.9,110,45.7,,,,,,,45.2,45.9,46.0,45.1,45.4,46.0,,
105,0.533,59.2,115,48.1,,,,,,,47.7,48.4,48.9,47.5,47.8,48.3,,
110,0.533,61.5,119,49.9,,,,,,,49.7,50,49.9,49.1,49.4,50,,
115,0.533,62.2,123,50.8,,,,,,,50.7,50.6,50.6,50.4,50.6,50.7,,
120,0.400,62.3,122,51.0,,,,,,,50.8,50.5,50.3,49.8,50.9,51.1,,
125,0.400,62.5,123,50.7,,,,,,,50.5,50.6,50.7,50.3,50.9,50.7,,
130,0.400,62.4,123,50.8,,,,,,,50.6,50.8,50.7,50.5,50.9,50.9,,
135,0.467,62.6,124,50.9,,,,,,,50.7,50.9,50.7,51.3,50.9,50.8,,
140,0.533,67.9,125,52.8,,,,,,,52.3,55.0,54.7,51.7,52.8,53.9,,
145,0.533,74.9,138,61.1,,,,,,,60.1,63.9,63.2,58.6,60.9,62.3,,
150,0.667,81.6,152,68.5,,,,,,,67.9,71.1,70.3,66.8,68.5,69.8,,
155,0.667,82.5,164,75.1,,,,,,,74.7,75.9,75.3,73.3,74.7,75.2,,
160,0.667,82.2,166,75.1,,,,,,,75.3,75.5,74.7,75.4,74.9,74.7,,
165,0.533,81.1,165,76.0,,,,,,,74.8,75.2,75.3,74.6,75.0,75.5,,
170,0.533,82.4,167,75.1,,,,,,,74.6,73.8,73.8,74.8,74.3,74.6,,
175,0.600,82.9,168,75,,,,,,,73.9,73.9,74.6,73.3,74.3,75.3,,
180,0.600,84.2,168,75,,,,,,,74.4,74.2,74.1,73.7,74.4,74.1,,
185,0.667,83.3,166,75.5,,,,,,,74.2,75.5,75.7,74.0,74.9,75.2,,
190,0.600,83.5,165,76.3,,,,,,,75.5,75.3,74.9,75.5,75.8,75.2,,
195,0.600,83.3,168,75.6,,,,,,,74.9,76.1,76.0,74.9,75.1,75.7,,
200,0.600,83.9,168,75.9,,,,,,,75.7,75.1,74.6,75.4,75.3,74.9,,
205,0.667,82.7,167,76.3,,,,,,,75.7,76.7,77.0,75.4,75.3,76.7,,
210,0.667,82.7,166,76.9,,,,,,,76.9,75.7,75.4,76.2,76.0,76.1,,
215,0.667,81.7,166,76.3,,,,,,,76.2,77.0,76.9,75.7,76.1,77.0,,
220,0.600,82.6,167,76.1,,,,,,,76.2,74.7,74.7,76.1,76.3,75.2,,
225,0.667,81.5,168,75.1,,,,,,,75.1,76.0,76.3,75.2,75.9,75.5,,
230,0.533,81.9,167,75.5,,,,,,,76.0,74.7,75.1,75.9,76.1,75.5,,
235,0.667,81.5,169,74.6,,,,,,,74.8,76.3,75.9,74.4,74.9,75.2,,
240,0.533,81.9,168,76.1,,,,,,,76.5,75.5,75.1,76.4,76.2,76.3,,
