Time,node_exporter:9100 (MiB),orderer.dwntp.com:8443 (MiB),peer0.org1.dwntp.com:9443 (MiB),peer1.org1.dwntp.com:9443 (MiB),peer10.org1.dwntp.com:9443 (MiB),peer11.org1.dwntp.com:9443 (MiB),peer12.org1.dwntp.com:9443 (MiB),peer13.org1.dwntp.com:9443 (MiB),peer14.org1.dwntp.com:9443 (MiB),peer15.org1.dwntp.com:9443 (MiB),peer2.org1.dwntp.com:9443 (MiB),peer3.org1.dwntp.com:9443 (MiB),peer4.org1.dwntp.com:9443 (MiB),peer5.org1.dwntp.com:9443 (MiB),peer6.org1.dwntp.com:9443 (MiB),peer7.org1.dwntp.com:9443 (MiB),peer8.org1.dwntp.com:9443 (MiB),peer9.org1.dwntp.com:9443 (MiB)
3,23.5,110,157,156,154,156,153,160,153,166,165,158,160,157,158,147,164,156
8,23.7,106,158,160,155,163,156,160,159,168,168,155,157,160,162,155,165,159
13,23.3,110,161,160,158,158,159,166,153,174,161,157,158,169,164,157,162,163
18,23.5,116,164,159,158,157,163,163,157,171,162,157,159,164,164,154,162,164
23,23.2,121,160,158,161,160,155,165,152,164,166,159,162,161,166,161,164,163
28,24.2,125,162,161,165,161,160,168,154,166,167,160,161,167,162,157,167,163
33,24.2,138,161,160,164,164,169,169,159,172,168,166,163,170,167,158,170,167
38,24.0,99.7,169,160,165,170,161,170,157,174,170,163,167,161,165,163,165,163
43,23.4,101,167,159,164,168,162,175,156,168,167,165,168,163,159,163,165,165
48,23.2,115,173,162,167,167,164,172,157,170,171,168,162,171,165,163,175,165
53,23.6,114,167,162,171,172,169,171,159,175,171,165,167,175,172,164,173,166
58,23.4,120,170,163,173,174,167,176,165,176,170,166,167,173,172,169,172,164
63,23.5,126,179,158,172,175,169,176,159,172,167,164,170,177,167,166,173,171
68,23.9,131,177,166,168,169,171,173,167,174,169,169,168,176,170,168,171,164
73,23.9,134,169,167,168,174,169,178,163,182,168,169,171,176,170,168,177,166
78,23.6,134,169,167,169,168,169,178,166,181,168,169,171,176,170,168,177,166
83,23.1,135,169,166,169,168,169,178,166,181,168,169,171,176,170,168,177,166
88,23.3,135,169,166,169,168,169,178,166,181,168,169,171,176,170,168,177,166
93,23.4,135,169,166,170,168,169,178,167,181,168,169,171,176,170,168,177,166
98,24.0,135,169,166,170,168,169,178,167,181,168,169,171,176,170,168,177,166
103,24.1,135,169,166,170,168,169,179,168,181,168,169,171,176,170,168,177,166
108,23.0,135,170,166,170,168,169,179,168,181,168,169,171,176,170,168,177,166
113,23.4,135,170,166,170,168,169,179,168,181,168,170,171,176,170,168,177,166
118,23.4,135,170,166,170,168,169,179,168,181,168,170,171,176,170,168,177,166
