Time,node_exporter:9100 (MiB),orderer.dwntp.com:8443 (MiB),peer0.org1.dwntp.com:9443 (MiB),peer1.org1.dwntp.com:9443 (MiB),peer10.org1.dwntp.com:9443 (MiB),peer11.org1.dwntp.com:9443 (MiB),peer12.org1.dwntp.com:9443 (MiB),peer13.org1.dwntp.com:9443 (MiB),peer14.org1.dwntp.com:9443 (MiB),peer15.org1.dwntp.com:9443 (MiB),peer2.org1.dwntp.com:9443 (MiB),peer3.org1.dwntp.com:9443 (MiB),peer4.org1.dwntp.com:9443 (MiB),peer5.org1.dwntp.com:9443 (MiB),peer6.org1.dwntp.com:9443 (MiB),peer7.org1.dwntp.com:9443 (MiB),peer8.org1.dwntp.com:9443 (MiB),peer9.org1.dwntp.com:9443 (MiB)
3,23.3,80.6,208,197,,,,,,,194,193,,,,,,
8,23.3,90.8,203,192,,,,,,,196,196,,,,,,
13,23.5,72.3,203,186,,,,,,,191,196,,,,,,
18,23.1,90.6,203,185,,,,,,,189,199,,,,,,
23,23.3,77.4,207,188,,,,,,,193,201,,,,,,
28,23.5,92.9,217,201,,,,,,,203,204,,,,,,
33,23.8,82.3,229,216,,,,,,,213,200,,,,,,
38,23.2,96.5,208,193,,,,,,,195,206,,,,,,
43,23.4,79.2,219,205,,,,,,,205,207,,,,,,
48,22.8,101,220,206,,,,,,,211,206,,,,,,
53,22.7,83.1,220,207,,,,,,,209,210,,,,,,
58,23.5,104,223,209,,,,,,,207,213,,,,,,
63,23.5,87.6,225,214,,,,,,,214,206,,,,,,
68,23.3,75.6,227,213,,,,,,,214,222,,,,,,
73,23.3,98.9,235,218,,,,,,,216,226,,,,,,
78,23.0,81.4,239,221,,,,,,,223,226,,,,,,
83,23.2,106,241,222,,,,,,,228,234,,,,,,
88,24.0,91.2,242,228,,,,,,,228,233,,,,,,
93,23.7,82.3,241,232,,,,,,,232,227,,,,,,
98,24.0,107,226,210,,,,,,,213,212,,,,,,
103,23.8,88.6,224,213,,,,,,,216,220,,,,,,
108,22.9,81.2,232,219,,,,,,,216,220,,,,,,
113,23.9,106,246,222,,,,,,,227,230,,,,,,
118,24.2,99.5,242,224,,,,,,,231,232,,,,,,
123,24.1,83.6,253,236,,,,,,,242,212,,,,,,
128,24.2,108,224,209,,,,,,,213,216,,,,,,
133,24.0,105,229,221,,,,,,,216,221,,,,,,
138,23.3,115,236,224,,,,,,,224,229,,,,,,
143,23.3,105,246,228,,,,,,,234,237,,,,,,
148,22.9,80.4,263,243,,,,,,,241,249,,,,,,
153,23.1,80.8,267,246,,,,,,,250,218,,,,,,
158,22.6,84.5,241,223,,,,,,,222,233,,,,,,
163,23.1,87.9,252,230,,,,,,,234,238,,,,,,
168,23.0,90.5,255,235,,,,,,,241,241,,,,,,
173,22.8,95.4,266,238,,,,,,,244,251,,,,,,
178,22.4,100,274,247,,,,,,,249,251,,,,,,
183,22.7,99.8,266,252,,,,,,,252,229,,,,,,
188,22.5,105,246,227,,,,,,,226,234,,,,,,
193,22.9,106,244,230,,,,,,,230,237,,,,,,
198,22.7,106,257,234,,,,,,,237,242,,,,,,
203,23.4,122,266,245,,,,,,,246,253,,,,,,
208,23.0,114,277,247,,,,,,,252,253,,,,,,
213,23.5,85.0,273,254,,,,,,,255,223,,,,,,
218,23.0,87.2,235,224,,,,,,,220,232,,,,,,
223,23.1,91.2,249,229,,,,,,,235,236,,,,,,
228,23.2,90.9,252,239,,,,,,,238,244,,,,,,
233,22.8,95.3,264,245,,,,,,,245,251,,,,,,
238,23.2,94.9,266,252,,,,,,,249,257,,,,,,
243,23.0,97.9,271,252,,,,,,,250,223,,,,,,
248,23.3,103,241,226,,,,,,,230,243,,,,,,
253,23.1,108,258,242,,,,,,,242,253,,,,,,
258,23.9,108,272,251,,,,,,,251,255,,,,,,
263,24.1,115,269,257,,,,,,,256,257,,,,,,
268,24.4,114,279,254,,,,,,,256,260,,,,,,
273,23.3,116,278,254,,,,,,,257,225,,,,,,
278,23.2,118,235,219,,,,,,,221,223,,,,,,
283,22.6,87.2,256,243,,,,,,,244,247,,,,,,
288,22.8,86.4,269,251,,,,,,,248,253,,,,,,
293,22.7,94.3,273,257,,,,,,,257,259,,,,,,
298,22.7,95.8,275,259,,,,,,,260,261,,,,,,
303,22.5,99.2,275,256,,,,,,,258,233,,,,,,
308,22.9,81.2,257,237,,,,,,,229,235,,,,,,
313,23.2,86.3,252,237,,,,,,,235,235,,,,,,
318,22.5,86.8,256,237,,,,,,,235,235,,,,,,
323,22.8,87.4,257,238,,,,,,,235,235,,,,,,
328,22.8,88.0,257,239,,,,,,,236,235,,,,,,
