Time,Sent (peer0.org1.dwntp.com:9443),Sent (peer1.org1.dwntp.com:9443),Sent (peer10.org1.dwntp.com:9443),Sent (peer11.org1.dwntp.com:9443),Sent (peer12.org1.dwntp.com:9443),Sent (peer13.org1.dwntp.com:9443),Sent (peer14.org1.dwntp.com:9443),Sent (peer15.org1.dwntp.com:9443),Sent (peer2.org1.dwntp.com:9443),Sent (peer3.org1.dwntp.com:9443),Sent (peer4.org1.dwntp.com:9443),Sent (peer5.org1.dwntp.com:9443),Sent (peer6.org1.dwntp.com:9443),Sent (peer7.org1.dwntp.com:9443),Sent (peer8.org1.dwntp.com:9443),Sent (peer9.org1.dwntp.com:9443),Received (peer0.org1.dwntp.com:9443),Received (peer1.org1.dwntp.com:9443),Received (peer10.org1.dwntp.com:9443),Received (peer11.org1.dwntp.com:9443),Received (peer12.org1.dwntp.com:9443),Received (peer13.org1.dwntp.com:9443),Received (peer14.org1.dwntp.com:9443),Received (peer15.org1.dwntp.com:9443),Received (peer2.org1.dwntp.com:9443),Received (peer3.org1.dwntp.com:9443),Received (peer4.org1.dwntp.com:9443),Received (peer5.org1.dwntp.com:9443),Received (peer6.org1.dwntp.com:9443),Received (peer7.org1.dwntp.com:9443),Received (peer8.org1.dwntp.com:9443),Received (peer9.org1.dwntp.com:9443)
2,14.9,15.4,15.5,14.5,15.4,16,15.7,15.7,14.7,14.5,15.1,15.4,15.5,16.5,15.6,16.2,14.3,16.1,15.9,15,15.7,16.7,15.8,15.3,14.1,14.5,14.4,15.5,15.7,16.4,15.3,15.8
7,15.4,15.7,15.5,14.9,15.2,14.7,15.5,15.0,15.2,14.9,15,15.5,16,16.3,15.3,15.5,14.7,16.1,16.2,15.5,14.9,15.4,15.8,13.9,14.4,14.8,14.8,16.7,15.9,16.7,15.5,15.3
12,15.2,15.7,14.7,15.8,14.8,15.2,14.9,14.4,15.1,14.5,15.9,16.5,15,15.2,14.7,14.9,15.5,15.6,14.9,16.2,13.7,15.8,16.3,13.6,15.7,14.2,15.6,17.4,15,16.1,14.5,14.1
17,15.4,15.6,15.4,16.1,14.8,15,15.3,14.3,15.1,15.2,16.1,15.7,15.7,15.1,14.5,14.8,15.9,16.1,14.8,15.9,14.1,14.2,16.6,13.7,15.5,14.9,16.5,16.1,16.2,15.5,14.1,13.7
22,15.7,15.7,15.5,15.7,14.4,16,16.3,15.5,14.9,15.2,16.1,15.9,15.5,15.7,14.9,15.2,16.7,15.5,13.9,14.8,13.9,15.5,16.9,16.1,15.7,15.6,16,15.4,15.5,16.3,14.2,14.5
27,16.6,15.2,15.8,15.7,14.6,15.7,16.8,15.3,15.6,15.6,15.3,15,15.5,15.7,14.9,14.9,16.3,15.5,14.9,14.6,14.4,15.5,16.4,15.9,16.1,17.2,15.4,14.4,15.5,16.2,14.6,14.8
32,16.4,14.8,15.4,15.7,14.5,16.3,15.7,15.3,15.3,15.2,15.5,15.8,14.7,14.7,14.9,14.5,16.4,14.2,15,14.7,13.7,16.1,15.1,15.9,16.3,16.7,14.7,15.1,15,15.1,15.5,15.1
37,15.5,15.6,16.4,15,15.1,16,17.5,17.3,15.6,18.5,18.3,15.1,15.5,17.1,16.9,15.1,15.1,15.5,17.1,14.1,14.9,15.5,16.7,17.1,15.9,19.1,18.1,15,16.6,16,18.4,15.2
42,18.8,22.3,18.6,19.7,18.7,18.5,22.1,22.4,20.8,22.9,21.9,20.6,21.1,21.9,22.9,19,19.3,23,19.1,19.3,18.4,17.8,21.5,22.8,20.1,23.2,22.7,20.1,21.1,20.7,24.4,19.3
47,25,26.7,24.7,26,25.1,23.3,27.3,26.4,26.1,27.6,25.5,25.8,27.1,27.1,27.5,23.7,24.4,27.4,24.5,26.3,24.5,23.9,26.3,26.6,25.1,27.9,26.7,25.9,27.5,26,29.1,22.7
52,30.3,30.1,28.6,31.1,29.9,30.4,30.9,29.9,30.3,30.7,30,30.9,29.9,29.2,30.5,28.9,29.7,31.3,27.5,31.9,29.3,30.5,29.5,28.9,30.1,31.8,32.3,30.6,30.1,29.3,30.5,28
57,31.1,31.5,32.3,31.7,31.4,32.3,34.5,33.2,31.1,33.7,34.5,30.7,32.1,34.1,32.5,31.9,29.7,31.4,32.1,32.5,30.7,32.3,32.4,31.3,32.4,34,36.9,30.5,33.5,33.4,32.6,31.5
62,32.9,36.3,33.1,34.3,31.9,33.9,37.5,36.7,35.7,36.2,37,33.9,35.5,36.5,35.3,34.5,32.5,35.8,32.9,36,32.3,34.7,35.1,35.1,37.9,37.4,39.7,32.7,34.3,36.1,34.1,34.3
67,37.5,38.7,36.5,38.2,36.1,34.5,37.4,37.5,38.9,37.7,36.9,37.9,38.1,38.1,37.1,35.2,36.8,37.5,37.3,40.3,36.4,35.9,34.8,37.1,41.6,37.9,38.7,37.1,36.2,38.3,36.9,34.7
72,39.8,37.5,38.7,39.7,38.1,39.4,38.1,37.7,38.7,39.1,38.5,40.1,37.1,36.7,36.8,36.8,38.6,38.1,38.5,42.5,38.5,39.5,37.9,37.1,41.4,39.5,39.1,39.9,35.1,38.7,37.4,34.9
77,38.3,37,39.1,37.8,38.7,39.4,39.4,38.3,37.3,40.3,40.2,38,37.3,38.7,38.7,38.6,37.1,38.6,39.3,37.9,38.8,37.7,38.9,36.1,39.1,38.7,39.9,39,37,40.1,39.8,37.1
82,37.5,39.5,37.1,37.5,36.5,38.2,40.4,38.2,38.3,39.3,40,37.8,39.9,40.1,39.3,39.4,37.9,41.7,37.3,37.2,36,36.7,40.3,36.7,39.5,39.9,38.7,40,39.5,41.9,39.9,37.2
