Time,Sent (peer0.org1.dwntp.com:9443),Sent (peer1.org1.dwntp.com:9443),Sent (peer10.org1.dwntp.com:9443),Sent (peer11.org1.dwntp.com:9443),Sent (peer12.org1.dwntp.com:9443),Sent (peer13.org1.dwntp.com:9443),Sent (peer14.org1.dwntp.com:9443),Sent (peer15.org1.dwntp.com:9443),Sent (peer2.org1.dwntp.com:9443),Sent (peer3.org1.dwntp.com:9443),Sent (peer4.org1.dwntp.com:9443),Sent (peer5.org1.dwntp.com:9443),Sent (peer6.org1.dwntp.com:9443),Sent (peer7.org1.dwntp.com:9443),Sent (peer8.org1.dwntp.com:9443),Sent (peer9.org1.dwntp.com:9443),Received (peer0.org1.dwntp.com:9443),Received (peer1.org1.dwntp.com:9443),Received (peer10.org1.dwntp.com:9443),Received (peer11.org1.dwntp.com:9443),Received (peer12.org1.dwntp.com:9443),Received (peer13.org1.dwntp.com:9443),Received (peer14.org1.dwntp.com:9443),Received (peer15.org1.dwntp.com:9443),Received (peer2.org1.dwntp.com:9443),Received (peer3.org1.dwntp.com:9443),Received (peer4.org1.dwntp.com:9443),Received (peer5.org1.dwntp.com:9443),Received (peer6.org1.dwntp.com:9443),Received (peer7.org1.dwntp.com:9443),Received (peer8.org1.dwntp.com:9443),Received (peer9.org1.dwntp.com:9443)
4,22.2,8.53,,,,,,,8.40,8.73,,,,,,,22.2,8.53,,,,,,,8.40,8.73,,,,,,
9,7.40,8.20,,,,,,,8.20,7.67,,,,,,,7.40,8.20,,,,,,,8.20,7.67,,,,,,
14,8.20,7.40,,,,,,,7.53,7.40,,,,,,,8.20,7.40,,,,,,,7.53,7.40,,,,,,
19,7.40,7.87,,,,,,,8.07,8.20,,,,,,,7.40,7.87,,,,,,,8.07,8.20,,,,,,
24,8.20,7.73,,,,,,,7.40,7.93,,,,,,,8.20,7.73,,,,,,,7.40,7.93,,,,,,
29,7.40,8.20,,,,,,,8.20,7.67,,,,,,,7.40,8.20,,,,,,,8.20,7.67,,,,,,
34,8.20,7.40,,,,,,,7.53,7.40,,,,,,,8.20,7.40,,,,,,,7.53,7.40,,,,,,
39,7.40,7.87,,,,,,,8.07,8.20,,,,,,,7.40,7.87,,,,,,,8.07,8.20,,,,,,
44,8.20,7.73,,,,,,,7.40,7.93,,,,,,,8.20,7.73,,,,,,,7.40,7.93,,,,,,
49,7.40,8.20,,,,,,,8.20,7.60,,,,,,,7.40,8.20,,,,,,,8.20,7.60,,,,,,
54,8.20,7.40,,,,,,,7.53,7.40,,,,,,,8.13,7.40,,,,,,,7.60,7.40,,,,,,
59,7.40,7.87,,,,,,,8.07,8.20,,,,,,,7.33,7.87,,,,,,,8.13,8.20,,,,,,
64,8.13,7.73,,,,,,,7.40,8,,,,,,,8.07,7.73,,,,,,,7.47,8,,,,,,
69,7.40,8.20,,,,,,,8.20,7.60,,,,,,,7.40,8.20,,,,,,,8.20,7.60,,,,,,
74,8.20,7.40,,,,,,,7.53,7.40,,,,,,,8.20,7.40,,,,,,,7.53,7.40,,,,,,
79,7.47,7.87,,,,,,,8.07,8.20,,,,,,,7.47,7.87,,,,,,,8.07,8.20,,,,,,
84,8.13,7.73,,,,,,,7.40,8,,,,,,,8.13,7.73,,,,,,,7.40,8,,,,,,
89,7.40,8.20,,,,,,,8.20,7.60,,,,,,,7.40,8.20,,,,,,,8.20,7.60,,,,,,
94,8.20,7.40,,,,,,,7.53,7.40,,,,,,,8.20,7.40,,,,,,,7.53,7.40,,,,,,
99,7.47,7.87,,,,,,,8.07,8.20,,,,,,,7.47,7.87,,,,,,,7.93,8.20,,,,,,
104,8.07,7.73,,,,,,,7.40,8,,,,,,,8.07,7.73,,,,,,,7.40,8,,,,,,
109,7.40,8.20,,,,,,,8.20,7.60,,,,,,,7.40,8.20,,,,,,,8.20,7.60,,,,,,
114,8.20,7.40,,,,,,,7.53,7.40,,,,,,,8.20,7.40,,,,,,,7.67,7.40,,,,,,
119,7.53,7.87,,,,,,,7.87,8.20,,,,,,,7.53,7.87,,,,,,,7.87,8.20,,,,,,
124,8.07,7.73,,,,,,,7.40,8,,,,,,,8.07,7.73,,,,,,,7.40,8,,,,,,
129,7.40,8.20,,,,,,,8.20,7.60,,,,,,,7.40,8.20,,,,,,,8.20,7.60,,,,,,
134,8.20,7.40,,,,,,,7.73,7.40,,,,,,,8.20,7.40,,,,,,,7.73,7.40,,,,,,
139,7.53,7.87,,,,,,,7.87,8.20,,,,,,,7.53,7.87,,,,,,,7.87,8.20,,,,,,
144,8.07,7.73,,,,,,,7.40,8,,,,,,,8.07,7.73,,,,,,,7.40,8,,,,,,
149,7.40,8.20,,,,,,,8.20,7.60,,,,,,,7.40,8.20,,,,,,,8.20,7.60,,,,,,
154,8.20,7.40,,,,,,,7.73,7.40,,,,,,,8.20,7.40,,,,,,,7.73,7.40,,,,,,
