Time,Cluster Size,Active Nodes,Leader Changes / Min
1,1,1,0
6,1,1,0
11,1,1,0
16,1,1,0
21,1,1,0
26,1,1,0
31,1,1,0
36,1,1,0
41,1,1,0
46,1,1,0
51,1,1,0
56,1,1,0
61,1,1,0
66,1,1,0
71,1,1,0
76,1,1,0
81,1,1,0
86,1,1,0
91,1,1,0
96,1,1,0
101,1,1,0
106,1,1,0
111,1,1,0
116,1,1,0
121,1,1,0
126,1,1,0
131,1,1,0
136,1,1,0
141,1,1,0
146,1,1,0
151,1,1,0
156,1,1,0
161,1,1,0
166,1,1,0
171,1,1,0
176,1,1,0
181,1,1,0
186,1,1,0
191,1,1,0
196,1,1,0
201,1,1,0
206,1,1,0
211,1,1,0
216,1,1,0
221,1,1,0
226,1,1,0
231,1,1,0
236,1,1,0
241,1,1,0
246,1,1,0
251,1,1,0
256,1,1,0
261,1,1,0
266,1,1,0
271,1,1,0
276,1,1,0
281,1,1,0
286,1,1,0
291,1,1,0
296,1,1,0
301,1,1,0
306,1,1,0
311,1,1,0
316,1,1,0
321,1,1,0
326,1,1,0
331,1,1,0
336,1,1,0
341,1,1,0
346,1,1,0
351,1,1,0
356,1,1,0
361,1,1,0
366,1,1,0
