Time,Cluster Size,Active Nodes,Leader Changes / Min
3,1,1,0
8,1,1,0
13,1,1,0
18,1,1,0
23,1,1,0
28,1,1,0
33,1,1,0
38,1,1,0
43,1,1,0
48,1,1,0
53,1,1,0
58,1,1,0
63,1,1,0
68,1,1,0
73,1,1,0
78,1,1,0
83,1,1,0
88,1,1,0
93,1,1,0
98,1,1,0
103,1,1,0
108,1,1,0
113,1,1,0
118,1,1,0
123,1,1,0
128,1,1,0
133,1,1,0
138,1,1,0
143,1,1,0
148,1,1,0
153,1,1,0
158,1,1,0
163,1,1,0
168,1,1,0
173,1,1,0
178,1,1,0
183,1,1,0
188,1,1,0
193,1,1,0
198,1,1,0
203,1,1,0
208,1,1,0
213,1,1,0
218,1,1,0
223,1,1,0
228,1,1,0
233,1,1,0
238,1,1,0
243,1,1,0
248,1,1,0
253,1,1,0
258,1,1,0
263,1,1,0
268,1,1,0
273,1,1,0
278,1,1,0
283,1,1,0
288,1,1,0
293,1,1,0
298,1,1,0
303,1,1,0
308,1,1,0
313,1,1,0
318,1,1,0
323,1,1,0
328,1,1,0
333,1,1,0
338,1,1,0
343,1,1,0
348,1,1,0
353,1,1,0
358,,,0
363,,,0
373,1,0,
378,1,1,0
383,1,1,0
388,1,1,0
393,1,1,0
