Time,Enqueue Duration (s)
3,NaN
8,0.0000287
13,0.0000291
18,0.0000300
23,0.0000306
28,0.0000313
33,0.0000316
38,0.0000320
43,0.0000320
48,0.0000330
53,0.0000330
58,0.0000336
63,0.0000327
68,0.0000335
73,0.0000341
78,0.0000344
83,0.0000353
88,0.0000346
93,0.0000360
98,0.0000361
103,0.0000370
108,0.0000372
113,0.0000373
118,0.0000378
123,0.0000372
128,0.0000372
133,0.0000393
138,0.0000453
143,0.0000497
148,0.0000532
153,0.0000539
158,0.0000541
163,0.0000549
168,0.0000539
173,0.0000537
178,0.0000538
183,0.0000548
188,0.0000577
193,0.0000568
198,0.0000561
203,0.0000539
208,0.0000535
213,0.0000545
218,0.0000541
223,0.0000541
228,0.0000553
233,0.0000574
238,0.0000582
243,0.0000575
248,0.0000578
253,0.0000583
258,0.0000568
263,0.0000550
268,0.0000548
273,0.0000563
278,0.0000563
283,0.0000553
288,0.0000549
293,0.0000543
298,0.0000559
303,0.0000569
308,0.0000540
313,0.0000487
318,0.0000370
323,0.0000284
328,NaN
