Time,State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s)
3,0.000586,0.000512,,,,,,,,,,,,,,
8,NaN,NaN,,,,,,,,,,,,,,
13,NaN,NaN,,,,,,,,,,,,,,
18,NaN,NaN,,,,,,,,,,,,,,
23,NaN,NaN,,,,,,,,,,,,,,
28,NaN,NaN,,,,,,,,,,,,,,
33,NaN,NaN,,,,,,,,,,,,,,
38,NaN,NaN,,,,,,,,,,,,,,
43,NaN,NaN,,,,,,,,,,,,,,
48,NaN,NaN,,,,,,,,,,,,,,
53,NaN,NaN,,,,,,,,,,,,,,
58,NaN,NaN,,,,,,,,,,,,,,
63,NaN,NaN,,,,,,,,,,,,,,
68,NaN,NaN,,,,,,,,,,,,,,
73,NaN,NaN,,,,,,,,,,,,,,
78,NaN,NaN,,,,,,,,,,,,,,
83,NaN,NaN,,,,,,,,,,,,,,
88,NaN,NaN,,,,,,,,,,,,,,
93,NaN,NaN,,,,,,,,,,,,,,
98,NaN,NaN,,,,,,,,,,,,,,
103,NaN,NaN,,,,,,,,,,,,,,
108,NaN,NaN,,,,,,,,,,,,,,
113,NaN,NaN,,,,,,,,,,,,,,
118,NaN,NaN,,,,,,,,,,,,,,
123,NaN,NaN,,,,,,,,,,,,,,
128,NaN,NaN,,,,,,,,,,,,,,
133,NaN,NaN,,,,,,,,,,,,,,
138,NaN,NaN,,,,,,,,,,,,,,
143,NaN,NaN,,,,,,,,,,,,,,
148,NaN,NaN,,,,,,,,,,,,,,
153,NaN,NaN,,,,,,,,,,,,,,
158,NaN,NaN,,,,,,,,,,,,,,
163,NaN,NaN,,,,,,,,,,,,,,
168,NaN,NaN,,,,,,,,,,,,,,
173,NaN,NaN,,,,,,,,,,,,,,
178,NaN,NaN,,,,,,,,,,,,,,
183,NaN,NaN,,,,,,,,,,,,,,
188,NaN,NaN,,,,,,,,,,,,,,
193,NaN,NaN,,,,,,,,,,,,,,
198,NaN,NaN,,,,,,,,,,,,,,
203,NaN,NaN,,,,,,,,,,,,,,
208,NaN,NaN,,,,,,,,,,,,,,
213,NaN,NaN,,,,,,,,,,,,,,
218,NaN,NaN,,,,,,,,,,,,,,
223,NaN,NaN,,,,,,,,,,,,,,
228,NaN,NaN,,,,,,,,,,,,,,
233,NaN,NaN,,,,,,,,,,,,,,
238,NaN,NaN,,,,,,,,,,,,,,
243,NaN,NaN,,,,,,,,,,,,,,
248,NaN,NaN,,,,,,,,,,,,,,
253,NaN,NaN,,,,,,,,,,,,,,
258,NaN,NaN,,,,,,,,,,,,,,
263,NaN,NaN,,,,,,,,,,,,,,
268,NaN,NaN,,,,,,,,,,,,,,
273,NaN,NaN,,,,,,,,,,,,,,
278,NaN,NaN,,,,,,,,,,,,,,
283,NaN,NaN,,,,,,,,,,,,,,
288,NaN,NaN,,,,,,,,,,,,,,
293,NaN,NaN,,,,,,,,,,,,,,
298,NaN,NaN,,,,,,,,,,,,,,
303,NaN,NaN,,,,,,,,,,,,,,
308,NaN,NaN,,,,,,,,,,,,,,
313,NaN,NaN,,,,,,,,,,,,,,
318,NaN,NaN,,,,,,,,,,,,,,
323,NaN,NaN,,,,,,,,,,,,,,
328,NaN,NaN,,,,,,,,,,,,,,
333,NaN,NaN,,,,,,,,,,,,,,
338,NaN,NaN,,,,,,,,,,,,,,
343,NaN,NaN,,,,,,,,,,,,,,
348,NaN,NaN,,,,,,,,,,,,,,
353,NaN,NaN,,,,,,,,,,,,,,
358,NaN,NaN,,,,,,,,,,,,,,
363,NaN,NaN,,,,,,,,,,,,,,
368,NaN,NaN,,,,,,,,,,,,,,
378,,,,,,,,,,NaN,,,,,,
383,NaN,0.000529,,,,,,,0.000364,0.000456,,,,,,
388,0.000683,0.000659,,,,,,,0.000447,0.000456,,,,,,
393,0.000683,0.000659,,,,,,,0.000447,0.000456,,,,,,
