Time,State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s)
0,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
5,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
10,NaN,NaN,,,,,,,NaN,0.000562,NaN,NaN,NaN,NaN,,
15,0.000656,0.000680,,,,,,,0.000681,0.000695,0.000695,0.000695,0.000681,0.000668,,
20,0.000684,0.000706,,,,,,,0.000707,0.000701,0.000723,0.000713,0.000717,0.000706,,
25,0.000719,0.000725,,,,,,,0.000727,0.000711,0.000739,0.000732,0.000737,0.000726,,
30,0.000729,0.000728,,,,,,,0.000729,0.000728,0.000743,0.000743,0.000732,0.000749,,
35,0.000737,0.000735,,,,,,,0.000734,0.000732,0.000750,0.000754,0.000724,0.000753,,
40,0.000739,0.000732,,,,,,,0.000743,0.000730,0.000743,0.000743,0.000718,0.000744,,
45,0.000727,0.000736,,,,,,,0.000749,0.000722,0.000742,0.000729,0.000718,0.000738,,
50,0.000721,0.000740,,,,,,,0.000742,0.000719,0.000731,0.000718,0.000718,0.000732,,
55,0.000705,0.000740,,,,,,,0.000733,0.000722,0.000735,0.000723,0.000718,0.000741,,
60,0.000720,0.000765,,,,,,,0.000742,0.000740,0.000744,0.000741,0.000735,0.000743,,
65,0.000751,0.000785,,,,,,,0.000765,0.000763,0.000764,0.000764,0.000761,0.000762,,
70,0.000762,0.000786,,,,,,,0.000779,0.000778,0.000776,0.000771,0.000765,0.000772,,
75,0.000776,0.000774,,,,,,,0.000788,0.000787,0.000785,0.000773,0.000767,0.000780,,
80,0.000768,0.000772,,,,,,,0.000784,0.000780,0.000772,0.000767,0.000765,0.000781,,
85,0.000768,0.000785,,,,,,,0.000777,0.000778,0.000769,0.000769,0.000772,0.000772,,
90,0.000766,0.000791,,,,,,,0.000772,0.000776,0.000776,0.000766,0.000781,0.000777,,
95,0.000780,0.000787,,,,,,,0.000787,0.000795,0.000796,0.000781,0.000790,0.000798,,
100,0.000798,0.000797,,,,,,,0.000790,0.000795,0.000804,0.000778,0.000796,0.000823,,
105,0.000832,0.000822,,,,,,,0.000817,0.000812,0.000835,0.000800,0.000815,0.000844,,
110,0.000835,0.000842,,,,,,,0.000821,0.000810,0.000830,0.000810,0.000828,0.000835,,
115,0.000833,0.000830,,,,,,,0.000828,0.000808,0.000838,0.000832,0.000829,0.000821,,
120,0.000815,0.000836,,,,,,,0.000832,0.000797,0.000820,0.000827,0.000836,0.000806,,
125,0.000827,0.000829,,,,,,,0.000845,0.000804,0.000827,0.000827,0.000836,0.000801,,
130,0.000834,0.000846,,,,,,,0.000843,0.000822,0.000826,0.000827,0.000839,0.000810,,
135,0.000846,0.000830,,,,,,,0.000844,0.000822,0.000842,0.000832,0.000835,0.000822,,
140,0.000834,0.000845,,,,,,,0.000840,0.000888,0.000888,0.000834,0.000852,0.000852,,
145,0.00116,0.00105,,,,,,,0.00103,0.00111,0.00108,0.00100,0.00105,0.00105,,
150,0.00189,0.00122,,,,,,,0.00121,0.00125,0.00123,0.00118,0.00121,0.00123,,
155,0.00243,0.00140,,,,,,,0.00139,0.00138,0.00137,0.00135,0.00136,0.00140,,
160,0.00284,0.00140,,,,,,,0.00144,0.00137,0.00138,0.00138,0.00137,0.00140,,
165,0.00284,0.00142,,,,,,,0.00145,0.00138,0.00137,0.00140,0.00139,0.00140,,
170,0.00276,0.00137,,,,,,,0.00138,0.00135,0.00135,0.00136,0.00136,0.00136,,
175,0.00261,0.00136,,,,,,,0.00134,0.00137,0.00136,0.00135,0.00136,0.00134,,
180,0.00251,0.00134,,,,,,,0.00134,0.00138,0.00137,0.00135,0.00134,0.00132,,
185,0.00254,0.00135,,,,,,,0.00137,0.00141,0.00145,0.00137,0.00135,0.00136,,
190,0.00281,0.00137,,,,,,,0.00141,0.00137,0.00143,0.00143,0.00137,0.00139,,
195,0.00268,0.00135,,,,,,,0.00140,0.00139,0.00144,0.00140,0.00138,0.00140,,
200,0.00277,0.00137,,,,,,,0.00140,0.00136,0.00136,0.00139,0.00139,0.00137,,
205,0.00265,0.00137,,,,,,,0.00140,0.00141,0.00141,0.00139,0.00139,0.00140,,
210,0.00289,0.00139,,,,,,,0.00138,0.00138,0.00139,0.00140,0.00145,0.00138,,
215,0.00292,0.00139,,,,,,,0.00135,0.00142,0.00142,0.00140,0.00144,0.00140,,
220,0.00302,0.00142,,,,,,,0.00134,0.00138,0.00136,0.00137,0.00147,0.00136,,
225,0.00280,0.00143,,,,,,,0.00136,0.00141,0.00141,0.00135,0.00142,0.00137,,
230,0.00292,0.00141,,,,,,,0.00139,0.00137,0.00138,0.00139,0.00142,0.00137,,
235,0.00261,0.00139,,,,,,,0.00136,0.00140,0.00140,0.00137,0.00138,0.00137,,
240,0.00278,0.00141,,,,,,,0.00143,0.00139,0.00138,0.00142,0.00139,0.00143,,
245,0.00250,0.00142,,,,,,,0.00144,0.00143,0.00141,0.00140,0.00139,0.00141,,
250,0.00272,0.00142,,,,,,,0.00147,0.00141,0.00139,0.00144,0.00143,0.00143,,
255,0.00246,0.00138,,,,,,,0.00138,0.00142,0.00137,0.00140,0.00140,0.00140,,
260,0.00273,0.00139,,,,,,,0.00139,0.00144,0.00139,0.00140,0.00146,0.00143,,
265,0.00257,0.00139,,,,,,,0.00136,0.00143,0.00141,0.00134,0.00142,0.00140,,
270,0.00296,0.00142,,,,,,,0.00141,0.00144,0.00146,0.00138,0.00144,0.00143,,
275,0.00259,0.00141,,,,,,,0.00138,0.00138,0.00141,0.00137,0.00139,0.00139,,
280,0.00278,0.00142,,,,,,,0.00138,0.00140,0.00143,0.00139,0.00142,0.00145,,
285,0.00256,0.00140,,,,,,,0.00136,0.00139,0.00137,0.00133,0.00138,0.00140,,
290,0.00304,0.00144,,,,,,,0.00141,0.00142,0.00141,0.00136,0.00141,0.00144,,
295,0.00308,0.00144,,,,,,,0.00141,0.00139,0.00144,0.00137,0.00139,0.00141,,
300,0.00315,0.00146,,,,,,,0.00145,0.00139,0.00146,0.00141,0.00142,0.00142,,
305,0.00293,0.00140,,,,,,,0.00141,0.00133,0.00143,0.00141,0.00137,0.00137,,
310,0.00256,0.00138,,,,,,,0.00141,0.00132,0.00141,0.00138,0.00138,0.00135,,
315,0.00236,0.00125,,,,,,,0.00128,0.00117,0.00126,0.00130,0.00128,0.00123,,
320,0.00187,0.00115,,,,,,,0.00117,0.00109,0.00117,0.00113,0.00119,0.00113,,
325,0.00177,0.000950,,,,,,,0.00101,0.000812,0.000863,0.00103,0.000998,0.000907,,
330,0.000750,0.000683,,,,,,,0.000729,0.000696,0.000680,0.000716,0.000667,0.000674,,
335,0.000666,NaN,,,,,,,NaN,NaN,NaN,0.000654,NaN,NaN,,
340,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
345,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
