Time,Endorsement Failures,Orderer Broadcast Errors,MVCC Conflicts
3,0,0,0
8,0,0,0
13,0,0,0
18,0,0,0
23,0,0,0
28,0,0,0
33,0,0,0
38,0,0,0
43,0,0,0
48,0,0,0
53,0,0,0
58,0,0,0
63,0,0,0
68,0,0,0
73,0,0,0
78,0,0,0
83,0,0,0
88,0,0,0
93,0,0,0
98,0,0,0
103,0,0,0
108,0,0,0
113,0,0,0
118,0,0,0
123,0,0,0
128,0,0,0
133,0,0,0
138,0,0,0
143,0,0,0
148,0,0,0
153,0,0,0
158,0,0,0
163,0,0,0
168,0,0,0
173,0,0,0
178,0,0,0
183,0,0,0
188,0,0,0
193,0,0,0
198,0,0,0
203,0,0,0
208,0,0,0
213,0,0,0
218,0,0,0
223,0,0,0
228,0,0,0
233,0,0,0
238,0,0,0
243,0,0,0
248,0,0,0
253,0,0,0
258,0,0,0
263,0,0,0
268,0,0,0
273,0,0,0
278,0,0,0
283,0,0,0
288,0,0,0
293,0,0,0
298,0,0,0
303,0,0,0
308,0,0,0
313,0,0,0
318,0,0,0
323,0,0,0
328,0,0,0
