Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
0,0,0,0
5,0,0,0
10,0,0,0.0833
15,18.3,18.3,41.8
20,136,136,178
25,288,288,330
30,424,423,441
35,458,458,458
40,459,459,459
45,459,459,460
50,461,461,461
55,462,462,463
60,470,470,474
65,485,485,489
70,501,501,504
75,508,508,508
80,509,509,509
85,509,509,509
90,510,510,510
95,509,509,509
100,513,513,517
105,527,527,531
110,545,545,549
115,558,558,559
120,561,561,561
125,561,561,561
130,562,562,562
135,561,561,563
140,575,575,588
145,635,635,650
150,703,703,714
155,752,752,749
160,752,752,746
165,744,744,739
170,741,741,747
175,750,750,755
180,756,756,763
185,763,764,762
190,759,759,758
195,761,761,759
200,756,756,757
205,757,756,753
210,750,750,746
215,749,749,742
220,741,743,740
225,742,741,741
230,737,737,738
235,739,739,742
240,741,741,739
245,743,743,743
250,738,737,737
255,738,739,744
260,739,739,740
265,745,745,747
270,744,744,736
275,737,737,737
280,731,732,729
285,730,730,735
290,737,736,729
295,733,732,725
300,725,724,715
305,710,711,712
310,716,716,723
315,712,713,706
320,589,590,534
325,344,344,285
330,110,110,65.0
335,0,0,0.117
340,0,0,0
345,0,0,0
