"Time","node_exporter CPU Usage","fabric-orderer CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage"
2026-04-20 04:41:15,0.179,0.314,0.501,,,,,,,,,,,,,,,
2026-04-20 04:41:20,0.209,0.385,0.751,0.673,,,,,,,,,,,,,,
2026-04-20 04:41:25,0.316,0.458,0.867,0.811,,,,,,,,,,,,,,
2026-04-20 04:41:30,0.267,0.200,0.733,0.867,,,,,,,,,,,,,,
2026-04-20 04:41:35,0.333,0.0667,0.600,0.667,,,,,,,,,,,,,,
2026-04-20 04:41:40,0.267,0.667,1.00,0.600,,,,,,,,,,,,,,
2026-04-20 04:41:45,0.333,2.14,4.60,1.33,,,,,,,,,,,,,,
2026-04-20 04:41:50,0.267,3.26,8.73,2.40,,,,,,,,,,,,,,
2026-04-20 04:41:55,0.333,4.43,12.4,3.47,,,,,,,,,,,,,,
2026-04-20 04:42:00,0.267,4.53,12.7,3.73,,,,,,,,,,,,,,
2026-04-20 04:42:05,0.267,4.47,12.6,3.60,,,,,,,,,,,,,,
2026-04-20 04:42:10,0.267,3.87,12.3,3.73,,,,,,,,,,,,,,
2026-04-20 04:42:15,0.333,2.47,9.00,3.07,,,,,,,,,,,,,,
2026-04-20 04:42:20,0.333,1.07,5.00,2.13,,,,,,,,,,,,,,
2026-04-20 04:42:25,0.267,2.00,1.20,0.933,,,,,,,,,,,,,,
2026-04-20 04:42:30,0.267,7.27,13.9,3.80,,,,,,,,,,,,,,
2026-04-20 04:42:35,0.267,12.7,28.4,8.53,,,,,,,,,,,,,,
2026-04-20 04:42:40,0.333,16.3,43.1,13.4,,,,,,,,,,,,,,
2026-04-20 04:42:45,0.267,16.3,44.5,14.9,,,,,,,,,,,,,,
2026-04-20 04:42:50,0.267,16.0,44.3,14.9,,,,,,,,,,,,,,
2026-04-20 04:42:55,0.200,14.1,44.5,15.1,,,,,,,,,,,,,,
2026-04-20 04:43:00,0.267,8.93,32.0,12.2,,,,,,,,,,,,,,
2026-04-20 04:43:05,0.267,3.80,17.7,7.53,,,,,,,,,,,,,,
2026-04-20 04:43:10,0.333,0.267,2.80,2.47,,,,,,,,,,,,,,
2026-04-20 04:43:15,0.333,6.67,5.93,1.60,,,,,,,,,,,,,,
2026-04-20 04:43:20,0.333,16.3,32.3,9.27,,,,,,,,,,,,,,
2026-04-20 04:43:25,0.267,26.1,57.3,18.2,,,,,,,,,,,,,,
2026-04-20 04:43:30,0.200,29.3,77.5,26.3,,,,,,,,,,,,,,
2026-04-20 04:43:35,0.267,29.5,76.5,27.5,,,,,,,,,,,,,,
2026-04-20 04:43:40,0.333,29.2,76.4,27.5,,,,,,,,,,,,,,
2026-04-20 04:43:45,0.333,23.7,72.6,26.7,,,,,,,,,,,,,,
2026-04-20 04:43:50,0.333,13.9,47.6,19.5,,,,,,,,,,,,,,
2026-04-20 04:43:55,0.267,4.27,22.5,10.5,,,,,,,,,,,,,,
2026-04-20 04:44:00,0.333,1.40,1.000,2.33,,,,,,,,,,,,,,
2026-04-20 04:44:05,0.267,10.3,16.9,4.27,,,,,,,,,,,,,,
2026-04-20 04:44:10,0.333,19.9,41.9,13.1,,,,,,,,,,,,,,
2026-04-20 04:44:15,0.267,27.8,66.7,21.8,,,,,,,,,,,,,,
2026-04-20 04:44:20,0.333,28.3,75.5,27.3,,,,,,,,,,,,,,
2026-04-20 04:44:25,0.333,28.1,75.4,27.3,,,,,,,,,,,,,,
2026-04-20 04:44:30,0.400,28.2,75.3,27.2,,,,,,,,,,,,,,
2026-04-20 04:44:35,0.267,28.1,75.6,27.1,,,,,,,,,,,,,,
2026-04-20 04:44:40,0.267,28.3,75.5,27,,,,,,,,,,,,,,
2026-04-20 04:44:45,0.200,29.0,77.0,27.3,,,,,,,,,,,,,,
2026-04-20 04:44:50,0.267,30.4,80.3,28.6,,,,,,,,,,,,,,
2026-04-20 04:44:55,0.267,31.7,83.8,29.9,,,,,,,,,,,,,,
2026-04-20 04:45:00,0.333,32.2,85.9,31.3,,,,,,,,,,,,,,
2026-04-20 04:45:05,0.333,32.5,86.3,31.4,,,,,,,,,,,,,,
2026-04-20 04:45:10,0.333,33.2,87.6,31.8,,,,,,,,,,,,,,
2026-04-20 04:45:15,0.267,34.1,90.1,32.1,,,,,,,,,,,,,,
2026-04-20 04:45:20,0.333,34.5,91.9,32.8,,,,,,,,,,,,,,
2026-04-20 04:45:25,0.267,35.4,92.5,32.9,,,,,,,,,,,,,,
2026-04-20 04:45:30,0.333,37.6,98.3,35.2,,,,,,,,,,,,,,
2026-04-20 04:45:35,0.333,40.3,103,36.9,,,,,,,,,,,,,,
2026-04-20 04:45:40,0.400,41.6,111,39.4,,,,,,,,,,,,,,
2026-04-20 04:45:45,0.400,40.9,110,39.9,,,,,,,,,,,,,,
2026-04-20 04:45:50,0.333,40.1,108,39.5,,,,,,,,,,,,,,
2026-04-20 04:45:55,0.267,39.6,106,39.5,,,,,,,,,,,,,,
2026-04-20 04:46:00,0.267,39.5,105,38.5,,,,,,,,,,,,,,
2026-04-20 04:46:05,0.267,40.9,106,38.7,,,,,,,,,,,,,,
2026-04-20 04:46:10,0.333,52.5,125,43.5,,,,,,,,,,,,,,
2026-04-20 04:46:15,0.400,65.5,158,56.4,,,,,,,,,,,,,,
2026-04-20 04:46:20,0.467,76.8,191,69.6,,,,,,,,,,,,,,
2026-04-20 04:46:25,0.467,78.1,202,77.1,,,,,,,,,,,,,,
2026-04-20 04:46:30,0.400,78.0,202,76.9,,,,,,,,,,,,,,
2026-04-20 04:46:35,0.467,77.8,201,76.7,,,,,,,,,,,,,,
2026-04-20 04:46:40,0.400,77.5,201,76.0,,,,,,,,,,,,,,
2026-04-20 04:46:45,0.467,77.7,202,76.9,,,,,,,,,,,,,,
