"Time","node_exporter:9100","orderer.dwntp.com:8443","peer0.org1.dwntp.com:9443","peer1.org1.dwntp.com:9443","peer10.org1.dwntp.com:9443","peer11.org1.dwntp.com:9443","peer12.org1.dwntp.com:9443","peer13.org1.dwntp.com:9443","peer14.org1.dwntp.com:9443","peer15.org1.dwntp.com:9443","peer2.org1.dwntp.com:9443","peer3.org1.dwntp.com:9443","peer4.org1.dwntp.com:9443","peer5.org1.dwntp.com:9443","peer6.org1.dwntp.com:9443","peer7.org1.dwntp.com:9443","peer8.org1.dwntp.com:9443","peer9.org1.dwntp.com:9443"
2026-04-20 04:41:10,19.9 MiB,35.2 MiB,68.6 MiB,,,,,,,,,,,,,,,
2026-04-20 04:41:15,22.3 MiB,45.5 MiB,74.8 MiB,67.0 MiB,,,,,,,,,,,,,,
2026-04-20 04:41:20,23.0 MiB,47.6 MiB,75.1 MiB,73.4 MiB,,,,,,,,,,,,,,
2026-04-20 04:41:25,22.6 MiB,49.7 MiB,79.2 MiB,75.9 MiB,,,,,,,,,,,,,,
2026-04-20 04:41:30,22.7 MiB,49.8 MiB,81.3 MiB,75.9 MiB,,,,,,,,,,,,,,
2026-04-20 04:41:35,22.7 MiB,49.8 MiB,81.4 MiB,78.0 MiB,,,,,,,,,,,,,,
2026-04-20 04:41:40,22.9 MiB,60.0 MiB,97.9 MiB,82.1 MiB,,,,,,,,,,,,,,
2026-04-20 04:41:45,22.9 MiB,68.4 MiB,145 MiB,123 MiB,,,,,,,,,,,,,,
2026-04-20 04:41:50,23.3 MiB,72.5 MiB,151 MiB,143 MiB,,,,,,,,,,,,,,
2026-04-20 04:41:55,23.1 MiB,69.9 MiB,154 MiB,146 MiB,,,,,,,,,,,,,,
2026-04-20 04:42:00,23.2 MiB,71.8 MiB,158 MiB,152 MiB,,,,,,,,,,,,,,
2026-04-20 04:42:05,22.9 MiB,75.0 MiB,156 MiB,152 MiB,,,,,,,,,,,,,,
2026-04-20 04:42:10,23.2 MiB,77.1 MiB,158 MiB,151 MiB,,,,,,,,,,,,,,
