"Time","Cluster Size","Active Nodes","Leader Changes / Min"
2026-04-20 04:41:15,1,0,
2026-04-20 04:41:20,1,1,0
2026-04-20 04:41:25,1,1,0
2026-04-20 04:41:30,1,1,0
2026-04-20 04:41:35,1,1,0
2026-04-20 04:41:40,1,1,0
2026-04-20 04:41:45,1,1,0
2026-04-20 04:41:50,1,1,0
2026-04-20 04:41:55,1,1,0
2026-04-20 04:42:00,1,1,0
2026-04-20 04:42:05,1,1,0
2026-04-20 04:42:10,1,1,0
2026-04-20 04:42:15,1,1,0
2026-04-20 04:42:20,1,1,0
2026-04-20 04:42:25,1,1,0
2026-04-20 04:42:30,1,1,0
2026-04-20 04:42:35,1,1,0
2026-04-20 04:42:40,1,1,0
2026-04-20 04:42:45,1,1,0
2026-04-20 04:42:50,1,1,0
2026-04-20 04:42:55,1,1,0
2026-04-20 04:43:00,1,1,0
2026-04-20 04:43:05,1,1,0
2026-04-20 04:43:10,1,1,0
2026-04-20 04:43:15,1,1,0
2026-04-20 04:43:20,1,1,0
2026-04-20 04:43:25,1,1,0
2026-04-20 04:43:30,1,1,0
2026-04-20 04:43:35,1,1,0
2026-04-20 04:43:40,1,1,0
2026-04-20 04:43:45,1,1,0
2026-04-20 04:43:50,1,1,0
2026-04-20 04:43:55,1,1,0
2026-04-20 04:44:00,1,1,0
2026-04-20 04:44:05,1,1,0
2026-04-20 04:44:10,1,1,0
2026-04-20 04:44:15,1,1,0
2026-04-20 04:44:20,1,1,0
2026-04-20 04:44:25,1,1,0
2026-04-20 04:44:30,1,1,0
2026-04-20 04:44:35,1,1,0
2026-04-20 04:44:40,1,1,0
2026-04-20 04:44:45,1,1,0
2026-04-20 04:44:50,1,1,0
2026-04-20 04:44:55,1,1,0
2026-04-20 04:45:00,1,1,0
2026-04-20 04:45:05,1,1,0
2026-04-20 04:45:10,1,1,0
2026-04-20 04:45:15,1,1,0
2026-04-20 04:45:20,1,1,0
2026-04-20 04:45:25,1,1,0
2026-04-20 04:45:30,1,1,0
2026-04-20 04:45:35,1,1,0
2026-04-20 04:45:40,1,1,0
2026-04-20 04:45:45,1,1,0
2026-04-20 04:45:50,1,1,0
2026-04-20 04:45:55,1,1,0
2026-04-20 04:46:00,1,1,0
2026-04-20 04:46:05,1,1,0
2026-04-20 04:46:10,1,1,0
2026-04-20 04:46:15,1,1,0
2026-04-20 04:46:20,1,1,0
2026-04-20 04:46:25,1,1,0
2026-04-20 04:46:30,1,1,0
2026-04-20 04:46:35,1,1,0
2026-04-20 04:46:40,1,1,0
2026-04-20 04:46:45,1,1,0
2026-04-20 04:46:50,1,1,0
2026-04-20 04:46:55,1,1,0
2026-04-20 04:47:00,1,1,0
2026-04-20 04:47:05,1,1,0
2026-04-20 04:47:10,1,1,0
2026-04-20 04:47:15,1,1,0
2026-04-20 04:47:20,1,1,0
2026-04-20 04:47:25,1,1,0
2026-04-20 04:47:30,1,1,0
2026-04-20 04:47:35,1,1,0
2026-04-20 04:47:40,1,1,0
2026-04-20 04:47:45,1,1,0
2026-04-20 04:47:50,1,1,0
2026-04-20 04:47:55,1,1,0
2026-04-20 04:48:00,1,1,0
2026-04-20 04:48:05,1,1,0
2026-04-20 04:48:10,1,1,0
2026-04-20 04:48:15,1,1,0
2026-04-20 04:48:20,1,1,0
2026-04-20 04:48:25,1,1,0
2026-04-20 04:48:30,1,1,0
2026-04-20 04:48:35,1,1,0
2026-04-20 04:48:40,1,1,0
2026-04-20 04:48:45,1,1,0
2026-04-20 04:48:50,1,1,0
2026-04-20 04:48:55,1,1,0
2026-04-20 04:49:00,1,1,0
2026-04-20 04:49:05,1,1,0
2026-04-20 04:49:10,1,1,0
2026-04-20 04:49:15,1,1,0
2026-04-20 04:49:20,1,1,0
2026-04-20 04:49:25,1,1,0
2026-04-20 04:49:30,1,1,0
2026-04-20 04:49:35,1,1,0
2026-04-20 04:49:40,1,1,0
2026-04-20 04:49:45,1,1,0
2026-04-20 04:49:50,1,1,0
2026-04-20 04:49:55,1,1,0
2026-04-20 04:50:00,1,1,0
2026-04-20 04:50:05,1,1,0
2026-04-20 04:50:10,1,1,0
2026-04-20 04:50:15,1,1,0
2026-04-20 04:50:20,1,1,0
2026-04-20 04:50:25,1,1,0
2026-04-20 04:50:30,1,1,0
2026-04-20 04:50:35,1,1,0
2026-04-20 04:50:40,1,1,0
2026-04-20 04:50:45,1,1,0
2026-04-20 04:50:50,1,1,0
2026-04-20 04:50:55,1,1,0
2026-04-20 04:51:00,1,1,0
2026-04-20 04:51:05,1,1,0
2026-04-20 04:51:10,1,1,0
2026-04-20 04:51:15,1,1,0
2026-04-20 04:51:20,1,1,0
2026-04-20 04:51:25,1,1,0
2026-04-20 04:51:30,1,1,0
2026-04-20 04:51:35,1,1,0
2026-04-20 04:51:40,1,1,0
2026-04-20 04:51:45,1,1,0
2026-04-20 04:51:50,1,1,0
2026-04-20 04:51:55,1,1,0
2026-04-20 04:52:00,1,1,0
2026-04-20 04:52:05,1,1,0
2026-04-20 04:52:10,1,1,0
2026-04-20 04:52:15,1,1,0
2026-04-20 04:52:20,1,1,0
2026-04-20 04:52:25,1,1,0
2026-04-20 04:52:30,1,1,0
2026-04-20 04:52:35,1,1,0
2026-04-20 04:52:40,1,1,0
2026-04-20 04:52:45,1,1,0
2026-04-20 04:52:50,1,1,0
2026-04-20 04:52:55,1,1,0
2026-04-20 04:53:00,1,1,0
2026-04-20 04:53:05,1,1,0
2026-04-20 04:53:10,1,1,0
2026-04-20 04:53:15,1,1,0
2026-04-20 04:53:20,1,1,0
2026-04-20 04:53:25,1,1,0
2026-04-20 04:53:30,1,1,0
2026-04-20 04:53:35,1,1,0
2026-04-20 04:53:40,1,1,0
2026-04-20 04:53:45,1,1,0
2026-04-20 04:53:50,1,1,0
2026-04-20 04:53:55,1,1,0
2026-04-20 04:54:00,1,1,0
2026-04-20 04:54:05,1,1,0
2026-04-20 04:54:10,1,1,0
2026-04-20 04:54:15,1,1,0
2026-04-20 04:54:20,1,1,0
2026-04-20 04:54:25,1,1,0
2026-04-20 04:54:30,1,1,0
2026-04-20 04:54:35,1,1,0
2026-04-20 04:54:40,1,1,0
2026-04-20 04:54:45,1,1,0
2026-04-20 04:54:50,1,1,0
2026-04-20 04:54:55,1,1,0
2026-04-20 04:55:00,1,1,0
2026-04-20 04:55:05,1,1,0
2026-04-20 04:55:10,1,1,0
2026-04-20 04:55:15,1,1,0
2026-04-20 04:55:20,1,1,0
2026-04-20 04:55:25,1,1,0
2026-04-20 04:55:30,1,1,0
2026-04-20 04:55:35,,,0
2026-04-20 04:55:40,,,0
2026-04-20 04:55:55,1,1,
2026-04-20 04:56:00,1,1,0
2026-04-20 04:56:05,1,1,0
2026-04-20 04:56:10,1,1,0
2026-04-20 04:56:15,1,1,0
2026-04-20 04:56:20,1,1,0
2026-04-20 04:56:25,1,1,0
2026-04-20 04:56:30,1,1,0
2026-04-20 04:56:35,1,1,0
2026-04-20 04:56:40,1,1,0
2026-04-20 04:56:45,1,1,0
2026-04-20 04:56:50,1,1,0
2026-04-20 04:56:55,1,1,0
2026-04-20 04:57:00,1,1,0
2026-04-20 04:57:05,1,1,0
2026-04-20 04:57:10,1,1,0
2026-04-20 04:57:15,1,1,0
2026-04-20 04:57:20,1,1,0
2026-04-20 04:57:25,1,1,0
2026-04-20 04:57:30,1,1,0
2026-04-20 04:57:35,1,1,0
2026-04-20 04:57:40,1,1,0
2026-04-20 04:57:45,1,1,0
2026-04-20 04:57:50,1,1,0
2026-04-20 04:57:55,1,1,0
2026-04-20 04:58:00,1,1,0
2026-04-20 04:58:05,1,1,0
2026-04-20 04:58:10,1,1,0
2026-04-20 04:58:15,1,1,0
2026-04-20 04:58:20,1,1,0
2026-04-20 04:58:25,1,1,0
2026-04-20 04:58:30,1,1,0
2026-04-20 04:58:35,1,1,0
2026-04-20 04:58:40,1,1,0
2026-04-20 04:58:45,1,1,0
2026-04-20 04:58:50,1,1,0
2026-04-20 04:58:55,1,1,0
2026-04-20 04:59:00,1,1,0
2026-04-20 04:59:05,1,1,0
2026-04-20 04:59:10,1,1,0
2026-04-20 04:59:15,1,1,0
2026-04-20 04:59:20,1,1,0
2026-04-20 04:59:25,1,1,0
2026-04-20 04:59:30,1,1,0
2026-04-20 04:59:35,1,1,0
2026-04-20 04:59:40,1,1,0
2026-04-20 04:59:45,1,1,0
2026-04-20 04:59:50,1,1,0
2026-04-20 04:59:55,1,1,0
2026-04-20 05:00:00,1,1,0
2026-04-20 05:00:05,1,1,0
2026-04-20 05:00:10,1,1,0
2026-04-20 05:00:15,1,1,0
2026-04-20 05:00:20,1,1,0
2026-04-20 05:00:25,1,1,0
2026-04-20 05:00:30,1,1,0
2026-04-20 05:00:35,1,1,0
2026-04-20 05:00:40,1,1,0
2026-04-20 05:00:45,1,1,0
2026-04-20 05:00:50,1,1,0
2026-04-20 05:00:55,1,1,0
2026-04-20 05:01:00,1,1,0
2026-04-20 05:01:05,1,1,0
2026-04-20 05:01:10,1,1,0
2026-04-20 05:01:15,1,1,0
2026-04-20 05:01:20,1,1,0
2026-04-20 05:01:25,1,1,0
2026-04-20 05:01:30,1,1,0
2026-04-20 05:01:35,1,1,0
2026-04-20 05:01:40,1,1,0
2026-04-20 05:01:45,1,1,0
2026-04-20 05:01:50,1,1,0
2026-04-20 05:01:55,1,1,0
2026-04-20 05:02:00,1,1,0
2026-04-20 05:02:05,1,1,0
2026-04-20 05:02:10,1,1,0
2026-04-20 05:02:15,1,1,0
2026-04-20 05:02:20,1,1,0
2026-04-20 05:02:25,1,1,0
2026-04-20 05:02:30,1,1,0
2026-04-20 05:02:35,1,1,0
2026-04-20 05:02:40,1,1,0
2026-04-20 05:02:45,1,1,0
