"Time","TPS (Received)","TPS (Endorsed Successfully)","TPS (Committed Successfully)"
2026-04-20 04:41:20,0.201,0.201,
2026-04-20 04:41:25,0.450,0.450,
2026-04-20 04:41:30,0.362,0.362,
2026-04-20 04:41:35,0.200,0.200,
2026-04-20 04:41:40,1.20,1.13,
2026-04-20 04:41:45,13.9,13.9,17.1
2026-04-20 04:41:50,28.5,28.5,29.0
2026-04-20 04:41:55,43.0,42.9,41.6
2026-04-20 04:42:00,50,50.1,50
2026-04-20 04:42:05,50,49.9,50
2026-04-20 04:42:10,49.1,49.1,49.7
2026-04-20 04:42:15,34.6,34.6,36.8
2026-04-20 04:42:20,17.9,18,20.3
2026-04-20 04:42:25,2.20,2.20,3.93
2026-04-20 04:42:30,72.2,72.2,62.1
2026-04-20 04:42:35,156,156,145
2026-04-20 04:42:40,239,239,229
2026-04-20 04:42:45,250,250,250
2026-04-20 04:42:50,250,250,250
2026-04-20 04:42:55,250,250,250
2026-04-20 04:43:00,178,178,189
2026-04-20 04:43:05,94.7,94.7,105
2026-04-20 04:43:10,11.4,11.5,21.6
2026-04-20 04:43:15,24.7,24.7,19
2026-04-20 04:43:20,190,190,170
2026-04-20 04:43:25,357,357,337
2026-04-20 04:43:30,499,499,484
2026-04-20 04:43:35,500,500,500
2026-04-20 04:43:40,500,500,500
2026-04-20 04:43:45,475,475,480
2026-04-20 04:43:50,310,310,330
2026-04-20 04:43:55,143,143,163
2026-04-20 04:44:00,1.07,1.07,16.4
2026-04-20 04:44:05,91.8,91.7,74.3
2026-04-20 04:44:10,255,255,235
2026-04-20 04:44:15,418,418,398
2026-04-20 04:44:20,489,490,487
2026-04-20 04:44:25,489,489,489
2026-04-20 04:44:30,489,489,489
2026-04-20 04:44:35,489,489,489
2026-04-20 04:44:40,489,489,489
2026-04-20 04:44:45,496,496,494
2026-04-20 04:44:50,517,517,514
2026-04-20 04:44:55,540,540,537
2026-04-20 04:45:00,555,555,555
2026-04-20 04:45:05,556,556,556
2026-04-20 04:45:10,555,555,555
2026-04-20 04:45:15,553,553,554
2026-04-20 04:45:20,551,551,552
2026-04-20 04:45:25,551,551,551
2026-04-20 04:45:30,573,573,570
2026-04-20 04:45:35,599,599,597
2026-04-20 04:45:40,624,624,621
2026-04-20 04:45:45,628,629,628
2026-04-20 04:45:50,632,632,631
2026-04-20 04:45:55,635,636,635
2026-04-20 04:46:00,638,638,638
2026-04-20 04:46:05,637,637,637
2026-04-20 04:46:10,729,728,713
2026-04-20 04:46:15,867,867,849
2026-04-20 04:46:20,1010,1010,993
2026-04-20 04:46:25,1064,1064,1063
2026-04-20 04:46:30,1070,1070,1070
2026-04-20 04:46:35,1073,1073,1073
2026-04-20 04:46:40,1077,1077,1076
2026-04-20 04:46:45,1074,1074,1074
2026-04-20 04:46:50,1075,1075,1075
2026-04-20 04:46:55,1073,1073,1073
2026-04-20 04:47:00,1080,1079,1080
2026-04-20 04:47:05,1081,1081,1080
2026-04-20 04:47:10,1081,1081,1081
2026-04-20 04:47:15,1078,1079,1078
2026-04-20 04:47:20,1079,1079,1078
2026-04-20 04:47:25,1078,1078,1077
2026-04-20 04:47:30,1079,1079,1080
2026-04-20 04:47:35,1077,1077,1077
2026-04-20 04:47:40,1080,1080,1080
2026-04-20 04:47:45,1079,1079,1079
2026-04-20 04:47:50,1079,1079,1080
2026-04-20 04:47:55,1077,1077,1077
2026-04-20 04:48:00,1079,1079,1078
2026-04-20 04:48:05,1084,1084,1083
2026-04-20 04:48:10,1087,1087,1087
2026-04-20 04:48:15,1088,1087,1088
2026-04-20 04:48:20,1084,1084,1085
2026-04-20 04:48:25,1084,1084,1084
2026-04-20 04:48:30,1082,1083,1083
2026-04-20 04:48:35,1084,1084,1083
2026-04-20 04:48:40,1083,1083,1083
2026-04-20 04:48:45,1080,1080,1080
2026-04-20 04:48:50,1078,1078,1077
2026-04-20 04:48:55,1056,1055,1059
2026-04-20 04:49:00,1051,1051,1050
2026-04-20 04:49:05,894,894,929
2026-04-20 04:49:10,556,556,596
2026-04-20 04:49:15,203,203,247
2026-04-20 04:49:20,0.533,0.533,10.1
2026-04-20 04:49:25,293,293,250
2026-04-20 04:49:30,647,647,604
2026-04-20 04:49:35,666,666,667
2026-04-20 04:49:40,374,374,417
2026-04-20 04:49:45,19.3,19.6,62.7
2026-04-20 04:49:50,2.40,0,0
2026-04-20 04:49:55,5.87,0,0
2026-04-20 04:50:00,9.33,0,0
2026-04-20 04:50:05,10.4,0,0
2026-04-20 04:50:10,10.4,0,0
2026-04-20 04:50:15,10.7,0,0
2026-04-20 04:50:20,10.8,0,0
2026-04-20 04:50:25,11.1,0,0
2026-04-20 04:50:30,11.3,0,0
2026-04-20 04:50:35,11.5,0,0
2026-04-20 04:50:40,11.7,0,0
2026-04-20 04:50:45,11.9,0,0
2026-04-20 04:50:50,12.3,0,0
2026-04-20 04:50:55,12.5,0,0
2026-04-20 04:51:00,12.8,0,0
2026-04-20 04:51:05,12.9,0,0
2026-04-20 04:51:10,13.2,0,0
2026-04-20 04:51:15,13.5,0,0
2026-04-20 04:51:20,14,0,0
2026-04-20 04:51:25,14.3,0,0
2026-04-20 04:51:30,14.5,0,0
2026-04-20 04:51:35,14.8,0,0
2026-04-20 04:51:40,15.3,0,0
2026-04-20 04:51:45,15.7,0,0
2026-04-20 04:51:50,16.1,0,0
2026-04-20 04:51:55,16.4,0,0
2026-04-20 04:52:00,17,0,0
2026-04-20 04:52:05,17.5,0,0
2026-04-20 04:52:10,18.1,0,0
2026-04-20 04:52:15,18.5,0,0
2026-04-20 04:52:20,19.3,0,0
2026-04-20 04:52:25,19.8,0,0
2026-04-20 04:52:30,20.5,0,0
2026-04-20 04:52:35,21.1,0,0
2026-04-20 04:52:40,21.9,0,0
2026-04-20 04:52:45,22.8,0,0
2026-04-20 04:52:50,23.7,0,0
2026-04-20 04:52:55,24.6,0,0
2026-04-20 04:53:00,25.6,0,0
2026-04-20 04:53:05,26.8,0,0
2026-04-20 04:53:10,28.1,0,0
2026-04-20 04:53:15,29.5,0,0
2026-04-20 04:53:20,30.9,0,0
2026-04-20 04:53:25,32.6,0,0
2026-04-20 04:53:30,34.4,0,0
2026-04-20 04:53:35,36.6,0,0
2026-04-20 04:53:40,38.9,0,0
2026-04-20 04:53:45,41.6,0,0
2026-04-20 04:53:50,44.5,0,0
2026-04-20 04:53:55,48.3,0,0
2026-04-20 04:54:00,52.3,0,0
2026-04-20 04:54:05,57.4,0,0
2026-04-20 04:54:10,63.4,0,0
2026-04-20 04:54:15,71.1,0,0
2026-04-20 04:54:20,80.7,0,0
2026-04-20 04:54:25,93.3,0,0
2026-04-20 04:54:30,95.6,0,0
2026-04-20 04:54:35,86,0,0
2026-04-20 04:54:40,73.3,0,0
2026-04-20 04:54:45,71.1,0,0
2026-04-20 04:54:50,65.9,0,0
2026-04-20 04:54:55,42.5,0,0
2026-04-20 04:55:00,15.8,0,0
2026-04-20 04:55:05,0,0,0
2026-04-20 04:55:10,0,0,0
2026-04-20 04:55:15,0,0,0
2026-04-20 04:55:20,0,0,0
2026-04-20 04:55:25,0,0,0
2026-04-20 04:55:30,0,0,0
2026-04-20 04:55:35,0,0,0
2026-04-20 04:55:40,0,0,0
2026-04-20 04:55:45,0,0,0
2026-04-20 04:56:00,0.595,0.595,
2026-04-20 04:56:05,0.681,0.681,
2026-04-20 04:56:10,0.600,0.600,
2026-04-20 04:56:15,0.200,0.200,
2026-04-20 04:56:20,0,0,
2026-04-20 04:56:25,0,0,
2026-04-20 04:56:30,1.07,1.07,
2026-04-20 04:56:35,5.34,5.34,6.31
2026-04-20 04:56:40,18.0,18.0,18.8
2026-04-20 04:56:45,32.5,32.5,32.3
2026-04-20 04:56:50,46.4,46.4,45.8
2026-04-20 04:56:55,50.1,50.1,50.2
2026-04-20 04:57:00,48.9,48.9,49
2026-04-20 04:57:05,44.4,44.4,44.3
2026-04-20 04:57:10,29.9,29.9,30.5
2026-04-20 04:57:15,14.3,14.3,14.9
2026-04-20 04:57:20,2.27,2.27,3.10
2026-04-20 04:57:25,0,0,0.0667
2026-04-20 04:57:30,1.07,1.07,1.50
2026-04-20 04:57:35,31.3,31.3,30.5
2026-04-20 04:57:40,108,108,106
2026-04-20 04:57:45,191,191,188
2026-04-20 04:57:50,244,244,242
2026-04-20 04:57:55,250,250,250
2026-04-20 04:58:00,249,249,248
2026-04-20 04:58:05,219,219,219
