"Time","orderer.dwntp.com:8443","peer0.org1.dwntp.com:9443","peer1.org1.dwntp.com:9443","peer10.org1.dwntp.com:9443","peer11.org1.dwntp.com:9443","peer12.org1.dwntp.com:9443","peer13.org1.dwntp.com:9443","peer14.org1.dwntp.com:9443","peer15.org1.dwntp.com:9443","peer2.org1.dwntp.com:9443","peer3.org1.dwntp.com:9443","peer4.org1.dwntp.com:9443","peer5.org1.dwntp.com:9443","peer6.org1.dwntp.com:9443","peer7.org1.dwntp.com:9443","peer8.org1.dwntp.com:9443","peer9.org1.dwntp.com:9443"
2026-04-20 10:04:35,1,,,,,,,,,,,,,,,,
2026-04-20 10:04:40,1,1,1,,,,,,,,,,,,,,
2026-04-20 10:04:45,3,1,2,,,,,,,,,,,,,,
2026-04-20 10:04:50,3,3,3,,,,,,,,,,,,,,
2026-04-20 10:04:55,3,3,3,,,,,,,,,,,,,,
2026-04-20 10:05:00,10,3,3,,,,,,,,,,,,,,
2026-04-20 10:05:05,35,19,26,,,,,,,,,,,,,,
2026-04-20 10:05:10,60,44,51,,,,,,,,,,,,,,
2026-04-20 10:05:15,85,69,76,,,,,,,,,,,,,,
2026-04-20 10:05:20,110,94,101,,,,,,,,,,,,,,
2026-04-20 10:05:25,135,119,126,,,,,,,,,,,,,,
2026-04-20 10:05:30,153,144,151,,,,,,,,,,,,,,
2026-04-20 10:05:35,154,154,154,,,,,,,,,,,,,,
2026-04-20 10:05:40,154,154,154,,,,,,,,,,,,,,
2026-04-20 10:05:45,210,154,177,,,,,,,,,,,,,,
2026-04-20 10:05:50,335,259,291,,,,,,,,,,,,,,
2026-04-20 10:05:55,460,384,416,,,,,,,,,,,,,,
2026-04-20 10:06:00,585,509,541,,,,,,,,,,,,,,
2026-04-20 10:06:05,710,634,666,,,,,,,,,,,,,,
2026-04-20 10:06:10,835,759,791,,,,,,,,,,,,,,
2026-04-20 10:06:15,904,884,893,,,,,,,,,,,,,,
2026-04-20 10:06:20,905,905,905,,,,,,,,,,,,,,
2026-04-20 10:06:25,905,905,905,,,,,,,,,,,,,,
2026-04-20 10:06:30,992,905,905,,,,,,,,,,,,,,
2026-04-20 10:06:35,1.24 K,1.09 K,1.15 K,,,,,,,,,,,,,,
2026-04-20 10:06:40,1.49 K,1.34 K,1.40 K,,,,,,,,,,,,,,
2026-04-20 10:06:45,1.74 K,1.59 K,1.65 K,,,,,,,,,,,,,,
2026-04-20 10:06:50,1.99 K,1.84 K,1.90 K,,,,,,,,,,,,,,
2026-04-20 10:06:55,2.24 K,2.09 K,2.15 K,,,,,,,,,,,,,,
2026-04-20 10:07:00,2.40 K,2.34 K,2.40 K,,,,,,,,,,,,,,
2026-04-20 10:07:05,2.41 K,2.41 K,2.41 K,,,,,,,,,,,,,,
2026-04-20 10:07:10,2.41 K,2.41 K,2.41 K,,,,,,,,,,,,,,
2026-04-20 10:07:15,2.53 K,2.42 K,2.46 K,,,,,,,,,,,,,,
2026-04-20 10:07:20,2.78 K,2.63 K,2.69 K,,,,,,,,,,,,,,
2026-04-20 10:07:25,3.02 K,2.87 K,2.94 K,,,,,,,,,,,,,,
2026-04-20 10:07:30,3.27 K,3.12 K,3.18 K,,,,,,,,,,,,,,
2026-04-20 10:07:35,3.51 K,3.36 K,3.43 K,,,,,,,,,,,,,,
2026-04-20 10:07:40,3.76 K,3.61 K,3.67 K,,,,,,,,,,,,,,
2026-04-20 10:07:45,4.00 K,3.85 K,3.92 K,,,,,,,,,,,,,,
2026-04-20 10:07:50,4.25 K,4.10 K,4.16 K,,,,,,,,,,,,,,
2026-04-20 10:07:55,4.50 K,4.34 K,4.41 K,,,,,,,,,,,,,,
2026-04-20 10:08:00,4.78 K,4.61 K,4.68 K,,,,,,,,,,,,,,
2026-04-20 10:08:05,5.06 K,4.89 K,4.96 K,,,,,,,,,,,,,,
2026-04-20 10:08:10,5.34 K,5.17 K,5.24 K,,,,,,,,,,,,,,
2026-04-20 10:08:15,5.62 K,5.45 K,5.52 K,,,,,,,,,,,,,,
2026-04-20 10:08:20,5.90 K,5.73 K,5.80 K,,,,,,,,,,,,,,
2026-04-20 10:08:25,6.17 K,6.00 K,6.08 K,,,,,,,,,,,,,,
2026-04-20 10:08:30,6.45 K,6.28 K,6.36 K,,,,,,,,,,,,,,
2026-04-20 10:08:35,6.73 K,6.56 K,6.63 K,,,,,,,,,,,,,,
2026-04-20 10:08:40,7.05 K,6.85 K,6.93 K,,,,,,,,,,,,,,
2026-04-20 10:08:45,7.37 K,7.17 K,7.25 K,,,,,,,,,,,,,,
2026-04-20 10:08:50,7.69 K,7.49 K,7.58 K,,,,,,,,,,,,,,
2026-04-20 10:08:55,8.01 K,7.81 K,7.90 K,,,,,,,,,,,,,,
2026-04-20 10:09:00,8.33 K,8.13 K,8.22 K,,,,,,,,,,,,,,
2026-04-20 10:09:05,8.65 K,8.46 K,8.54 K,,,,,,,,,,,,,,
2026-04-20 10:09:10,8.97 K,8.78 K,8.86 K,,,,,,,,,,,,,,
2026-04-20 10:09:15,9.29 K,9.10 K,9.18 K,,,,,,,,,,,,,,
2026-04-20 10:09:20,9.74 K,9.43 K,9.56 K,,,,,,,,,,,,,,
2026-04-20 10:09:25,10.3 K,9.95 K,10.1 K,,,,,,,,,,,,,,
2026-04-20 10:09:30,10.8 K,10.5 K,10.6 K,,,,,,,,,,,,,,
2026-04-20 10:09:35,11.4 K,11.0 K,11.2 K,,,,,,,,,,,,,,
2026-04-20 10:09:40,11.9 K,11.6 K,11.7 K,,,,,,,,,,,,,,
2026-04-20 10:09:45,12.4 K,12.1 K,12.2 K,,,,,,,,,,,,,,
2026-04-20 10:09:50,13.0 K,12.7 K,12.8 K,,,,,,,,,,,,,,
2026-04-20 10:09:55,13.5 K,13.2 K,13.3 K,,,,,,,,,,,,,,
2026-04-20 10:10:00,14.1 K,13.7 K,13.9 K,,,,,,,,,,,,,,
2026-04-20 10:10:05,14.6 K,14.3 K,14.4 K,,,,,,,,,,,,,,
2026-04-20 10:10:10,15.2 K,14.8 K,15.0 K,,,,,,,,,,,,,,
2026-04-20 10:10:15,15.7 K,15.4 K,15.5 K,,,,,,,,,,,,,,
2026-04-20 10:10:20,16.2 K,15.9 K,16.0 K,,,,,,,,,,,,,,
2026-04-20 10:10:25,16.8 K,16.4 K,16.6 K,,,,,,,,,,,,,,
2026-04-20 10:10:30,17.3 K,17.0 K,17.1 K,,,,,,,,,,,,,,
2026-04-20 10:10:35,17.9 K,17.5 K,17.7 K,,,,,,,,,,,,,,
2026-04-20 10:10:40,18.4 K,18.1 K,18.2 K,,,,,,,,,,,,,,
2026-04-20 10:10:45,18.9 K,18.6 K,18.8 K,,,,,,,,,,,,,,
2026-04-20 10:10:50,19.5 K,19.2 K,19.3 K,,,,,,,,,,,,,,
2026-04-20 10:10:55,20.0 K,19.7 K,19.8 K,,,,,,,,,,,,,,
2026-04-20 10:11:00,20.6 K,20.2 K,20.4 K,,,,,,,,,,,,,,
2026-04-20 10:11:05,21.1 K,20.8 K,20.9 K,,,,,,,,,,,,,,
2026-04-20 10:11:10,21.7 K,21.3 K,21.5 K,,,,,,,,,,,,,,
2026-04-20 10:11:15,22.2 K,21.9 K,22.0 K,,,,,,,,,,,,,,
2026-04-20 10:11:20,22.7 K,22.4 K,22.6 K,,,,,,,,,,,,,,
2026-04-20 10:11:25,23.3 K,23.0 K,23.1 K,,,,,,,,,,,,,,
2026-04-20 10:11:30,23.8 K,23.5 K,23.6 K,,,,,,,,,,,,,,
2026-04-20 10:11:35,24.4 K,24.0 K,24.2 K,,,,,,,,,,,,,,
2026-04-20 10:11:40,24.9 K,24.6 K,24.7 K,,,,,,,,,,,,,,
2026-04-20 10:11:45,25.5 K,25.1 K,25.3 K,,,,,,,,,,,,,,
2026-04-20 10:11:50,26 K,25.7 K,25.8 K,,,,,,,,,,,,,,
2026-04-20 10:11:55,26.5 K,26.2 K,26.4 K,,,,,,,,,,,,,,
2026-04-20 10:12:00,27.1 K,26.8 K,26.9 K,,,,,,,,,,,,,,
2026-04-20 10:12:05,27.6 K,27.3 K,27.4 K,,,,,,,,,,,,,,
2026-04-20 10:12:10,28.2 K,27.8 K,28.0 K,,,,,,,,,,,,,,
2026-04-20 10:12:15,28.5 K,28.4 K,28.4 K,,,,,,,,,,,,,,
2026-04-20 10:12:20,28.5 K,28.5 K,28.5 K,,,,,,,,,,,,,,
2026-04-20 10:12:25,28.5 K,28.5 K,28.5 K,,,,,,,,,,,,,,
2026-04-20 10:12:30,28.5 K,28.5 K,28.5 K,,,,,,,,,,,,,,
2026-04-20 10:12:35,28.6 K,28.5 K,28.5 K,,,,,,,,,,,,,,
2026-04-20 10:12:40,29.1 K,28.8 K,28.9 K,,,,,,,,,,,,,,
2026-04-20 10:12:45,29.5 K,29.3 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:12:50,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:12:55,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:13:00,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:13:05,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:13:10,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:13:15,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:13:20,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:13:25,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:13:30,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:13:35,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:13:40,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:13:45,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:13:50,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:13:55,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:14:00,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:14:05,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:14:10,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:14:15,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:14:20,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:14:25,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:14:30,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:14:35,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:14:40,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:14:45,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:14:50,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:14:55,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:15:00,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:15:05,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:15:10,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:15:15,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:15:20,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:15:25,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:15:30,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:15:35,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:15:40,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:15:45,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:15:50,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:15:55,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:16:00,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:16:05,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:16:10,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:16:15,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
2026-04-20 10:16:20,29.5 K,29.5 K,29.5 K,,,,,,,,,,,,,,
