"Time","Enqueue Duration (s)"
2026-04-20 10:04:50,NaN
2026-04-20 10:04:55,NaN
2026-04-20 10:05:00,0.0000329
2026-04-20 10:05:05,0.0000335
2026-04-20 10:05:10,0.0000328
2026-04-20 10:05:15,0.0000327
2026-04-20 10:05:20,0.0000319
2026-04-20 10:05:25,0.0000318
2026-04-20 10:05:30,0.0000310
2026-04-20 10:05:35,0.0000309
2026-04-20 10:05:40,0.0000300
2026-04-20 10:05:45,0.0000306
2026-04-20 10:05:50,0.0000292
2026-04-20 10:05:55,0.0000288
2026-04-20 10:06:00,0.0000280
2026-04-20 10:06:05,0.0000286
2026-04-20 10:06:10,0.0000286
2026-04-20 10:06:15,0.0000293
2026-04-20 10:06:20,0.0000285
2026-04-20 10:06:25,0.0000293
2026-04-20 10:06:30,0.0000327
2026-04-20 10:06:35,0.0000298
2026-04-20 10:06:40,0.0000290
2026-04-20 10:06:45,0.0000285
2026-04-20 10:06:50,0.0000283
2026-04-20 10:06:55,0.0000283
2026-04-20 10:07:00,0.0000280
2026-04-20 10:07:05,0.0000279
2026-04-20 10:07:10,0.0000280
2026-04-20 10:07:15,0.0000270
2026-04-20 10:07:20,0.0000253
2026-04-20 10:07:25,0.0000249
2026-04-20 10:07:30,0.0000245
2026-04-20 10:07:35,0.0000247
2026-04-20 10:07:40,0.0000247
2026-04-20 10:07:45,0.0000250
2026-04-20 10:07:50,0.0000249
2026-04-20 10:07:55,0.0000252
2026-04-20 10:08:00,0.0000250
2026-04-20 10:08:05,0.0000253
2026-04-20 10:08:10,0.0000257
2026-04-20 10:08:15,0.0000260
2026-04-20 10:08:20,0.0000258
2026-04-20 10:08:25,0.0000256
2026-04-20 10:08:30,0.0000251
2026-04-20 10:08:35,0.0000251
2026-04-20 10:08:40,0.0000256
2026-04-20 10:08:45,0.0000263
2026-04-20 10:08:50,0.0000271
2026-04-20 10:08:55,0.0000270
2026-04-20 10:09:00,0.0000270
2026-04-20 10:09:05,0.0000271
2026-04-20 10:09:10,0.0000272
2026-04-20 10:09:15,0.0000277
2026-04-20 10:09:20,0.0000297
2026-04-20 10:09:25,0.0000333
2026-04-20 10:09:30,0.0000356
2026-04-20 10:09:35,0.0000369
2026-04-20 10:09:40,0.0000366
2026-04-20 10:09:45,0.0000365
2026-04-20 10:09:50,0.0000370
2026-04-20 10:09:55,0.0000376
2026-04-20 10:10:00,0.0000379
2026-04-20 10:10:05,0.0000376
2026-04-20 10:10:10,0.0000373
2026-04-20 10:10:15,0.0000370
2026-04-20 10:10:20,0.0000375
2026-04-20 10:10:25,0.0000376
2026-04-20 10:10:30,0.0000379
2026-04-20 10:10:35,0.0000376
2026-04-20 10:10:40,0.0000378
2026-04-20 10:10:45,0.0000377
2026-04-20 10:10:50,0.0000379
2026-04-20 10:10:55,0.0000383
2026-04-20 10:11:00,0.0000391
2026-04-20 10:11:05,0.0000398
2026-04-20 10:11:10,0.0000394
2026-04-20 10:11:15,0.0000386
2026-04-20 10:11:20,0.0000378
2026-04-20 10:11:25,0.0000379
2026-04-20 10:11:30,0.0000388
