Time,Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s)
5,0.000932,NaN,NaN,,,,,,,0.000986,NaN,,,,,,
10,0.000955,0.00132,0.00131,,,,,,,0.00130,0.00115,,,,,,
15,0.000955,0.00132,0.00131,,,,,,,0.00130,0.00115,,,,,,
20,0.000978,0.00132,0.00131,,,,,,,0.00161,0.00115,,,,,,
25,NaN,NaN,NaN,,,,,,,NaN,NaN,,,,,,
30,NaN,NaN,NaN,,,,,,,NaN,NaN,,,,,,
35,0.000874,0.00144,NaN,,,,,,,0.00143,0.00118,,,,,,
40,0.000834,0.00118,0.00110,,,,,,,0.00116,0.00109,,,,,,
45,0.000864,0.00116,0.00117,,,,,,,0.00118,0.00110,,,,,,
50,0.000844,0.00120,0.00119,,,,,,,0.00120,0.00115,,,,,,
55,0.000841,0.00124,0.00125,,,,,,,0.00122,0.00123,,,,,,
60,0.000809,0.00129,0.00126,,,,,,,0.00126,0.00131,,,,,,
65,0.000798,0.00128,0.00128,,,,,,,0.00125,0.00134,,,,,,
70,0.000780,0.00124,0.00123,,,,,,,0.00124,0.00128,,,,,,
75,0.000774,0.00119,0.00121,,,,,,,0.00120,0.00123,,,,,,
80,0.000777,0.00117,0.00117,,,,,,,0.00124,0.00118,,,,,,
85,0.000755,0.00109,0.00119,,,,,,,0.00111,0.00119,,,,,,
90,NaN,NaN,0.00109,,,,,,,NaN,NaN,,,,,,
95,0.00108,0.00108,NaN,,,,,,,0.00113,NaN,,,,,,
100,0.000847,0.00118,0.00116,,,,,,,0.00115,0.00116,,,,,,
105,0.000832,0.00122,0.00120,,,,,,,0.00122,0.00120,,,,,,
110,0.000809,0.00124,0.00121,,,,,,,0.00124,0.00124,,,,,,
115,0.000812,0.00124,0.00124,,,,,,,0.00125,0.00125,,,,,,
120,0.000806,0.00124,0.00125,,,,,,,0.00125,0.00126,,,,,,
125,0.000811,0.00123,0.00125,,,,,,,0.00125,0.00126,,,,,,
130,0.000810,0.00124,0.00123,,,,,,,0.00125,0.00125,,,,,,
135,0.000862,0.00131,0.00129,,,,,,,0.00134,0.00132,,,,,,
140,0.000965,0.00142,0.00137,,,,,,,0.00149,0.00139,,,,,,
145,0.00852,0.00275,0.00185,,,,,,,0.0194,0.00223,,,,,,
150,NaN,NaN,NaN,,,,,,,NaN,NaN,,,,,,
155,0.000811,0.00139,0.00121,,,,,,,0.00124,0.00131,,,,,,
160,0.000826,0.00131,0.00129,,,,,,,0.00129,0.00130,,,,,,
165,0.000825,0.00133,0.00130,,,,,,,0.00131,0.00131,,,,,,
170,0.000837,0.00131,0.00129,,,,,,,0.00130,0.00131,,,,,,
175,0.000846,0.00132,0.00130,,,,,,,0.00131,0.00131,,,,,,
180,0.000847,0.00131,0.00131,,,,,,,0.00130,0.00132,,,,,,
185,0.000825,0.00131,0.00132,,,,,,,0.00130,0.00131,,,,,,
190,0.000815,0.00129,0.00131,,,,,,,0.00127,0.00129,,,,,,
195,0.000802,0.00130,0.00131,,,,,,,0.00129,0.00130,,,,,,
200,0.000964,0.00133,0.00131,,,,,,,0.00140,0.00132,,,,,,
205,NaN,0.0104,0.00272,,,,,,,0.0105,0.0104,,,,,,
210,0.000848,NaN,NaN,,,,,,,NaN,NaN,,,,,,
215,0.000793,0.00126,0.00125,,,,,,,0.00126,0.00124,,,,,,
220,0.000836,0.00131,0.00128,,,,,,,0.00132,0.00130,,,,,,
225,0.000828,0.00129,0.00129,,,,,,,0.00129,0.00129,,,,,,
230,0.000831,0.00129,0.00129,,,,,,,0.00130,0.00130,,,,,,
235,0.000828,0.00128,0.00128,,,,,,,0.00127,0.00128,,,,,,
240,0.000841,0.00128,0.00128,,,,,,,0.00127,0.00128,,,,,,
245,0.000844,0.00130,0.00129,,,,,,,0.00128,0.00128,,,,,,
250,0.000838,0.00131,0.00130,,,,,,,0.00129,0.00130,,,,,,
255,0.000841,0.00132,0.00130,,,,,,,0.00130,0.00129,,,,,,
260,0.000838,0.00131,0.00129,,,,,,,0.00129,0.00127,,,,,,
265,0.000839,0.00130,0.00128,,,,,,,0.00130,0.00127,,,,,,
270,0.000849,0.00132,0.00129,,,,,,,0.00131,0.00131,,,,,,
275,0.000854,0.00132,0.00132,,,,,,,0.00132,0.00132,,,,,,
280,0.000861,0.00133,0.00132,,,,,,,0.00131,0.00132,,,,,,
285,0.000848,0.00131,0.00131,,,,,,,0.00130,0.00130,,,,,,
290,0.000851,0.00132,0.00129,,,,,,,0.00131,0.00130,,,,,,
295,0.000852,0.00132,0.00129,,,,,,,0.00130,0.00130,,,,,,
300,0.000864,0.00132,0.00130,,,,,,,0.00131,0.00131,,,,,,
305,0.000889,0.00133,0.00132,,,,,,,0.00132,0.00133,,,,,,
310,0.000898,0.00134,0.00134,,,,,,,0.00134,0.00135,,,,,,
315,0.000904,0.00136,0.00137,,,,,,,0.00137,0.00138,,,,,,
320,0.000886,0.00136,0.00137,,,,,,,0.00137,0.00138,,,,,,
325,0.000888,0.00137,0.00138,,,,,,,0.00137,0.00138,,,,,,
