Time,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
0,1,1,1,,,,,,,1,1,1,1,1,1,,
5,2,1,1,,,,,,,1,1,1,1,1,2,,
10,3,3,3,,,,,,,3,3,2,3,3,3,,
15,3,3,3,,,,,,,3,3,3,3,3,3,,
20,3,3,3,,,,,,,3,3,3,3,3,3,,
25,3,3,3,,,,,,,3,3,3,3,3,3,,
30,3,3,3,,,,,,,3,3,3,3,3,3,,
35,3,3,3,,,,,,,3,3,3,3,3,3,,
40,3,3,3,,,,,,,3,3,3,3,3,3,,
45,3,3,3,,,,,,,3,3,3,3,3,3,,
50,6,4,3,,,,,,,5,3,3,5,4,6,,
55,19,13,10,,,,,,,16,12,10,17,15,19,,
60,34,26,23,,,,,,,29,25,22,29,27,34,,
65,59,48,42,,,,,,,54,46,41,54,51,59,,
70,84,73,67,,,,,,,79,71,65,79,75,84,,
75,109,98,92,,,,,,,104,96,91,104,101,109,,
80,130,122,117,,,,,,,127,120,115,127,124,130,,
85,143,137,134,,,,,,,140,136,134,140,139,143,,
90,153,150,147,,,,,,,153,149,146,153,151,153,,
95,154,154,154,,,,,,,154,154,154,154,154,154,,
100,154,154,154,,,,,,,154,154,154,154,154,154,,
105,154,154,154,,,,,,,154,154,154,154,154,154,,
110,154,154,154,,,,,,,154,154,154,154,154,154,,
115,154,154,154,,,,,,,154,154,154,154,154,154,,
120,154,154,154,,,,,,,154,154,154,154,154,154,,
125,154,154,154,,,,,,,154,154,154,154,154,154,,
130,200,173,158,,,,,,,188,167,154,189,179,199,,
135,280,239,221,,,,,,,261,230,217,262,248,278,,
140,385,333,310,,,,,,,359,324,304,361,342,382,,
145,510,455,425,,,,,,,484,443,417,486,467,507,,
150,635,580,550,,,,,,,609,568,542,611,592,633,,
155,760,705,675,,,,,,,734,693,667,736,717,757,,
160,838,811,796,,,,,,,825,805,792,826,817,837,,
165,883,870,858,,,,,,,877,867,854,878,873,883,,
170,904,901,894,,,,,,,904,898,891,904,904,904,,
175,905,905,905,,,,,,,905,905,905,905,905,905,,
180,905,905,905,,,,,,,905,905,905,905,905,905,,
185,905,905,905,,,,,,,905,905,905,905,905,905,,
190,905,905,905,,,,,,,905,905,905,905,905,905,,
195,905,905,905,,,,,,,905,905,905,905,905,905,,
200,905,905,905,,,,,,,905,905,905,905,905,905,,
205,905,905,905,,,,,,,905,905,905,905,905,905,,
210,921,905,905,,,,,,,908,905,905,909,905,920,,
215,1.03 K,971,941,,,,,,,1 K,959,937,1.00 K,983,1.03 K,,
220,1.22 K,1.14 K,1.09 K,,,,,,,1.18 K,1.12 K,1.08 K,1.18 K,1.15 K,1.21 K,,
225,1.46 K,1.35 K,1.29 K,,,,,,,1.41 K,1.33 K,1.27 K,1.41 K,1.37 K,1.45 K,,
230,1.71 K,1.60 K,1.54 K,,,,,,,1.66 K,1.58 K,1.52 K,1.66 K,1.62 K,1.70 K,,
235,1.96 K,1.85 K,1.79 K,,,,,,,1.91 K,1.83 K,1.77 K,1.91 K,1.87 K,1.95 K,,
240,2.19 K,2.10 K,2.04 K,,,,,,,2.15 K,2.08 K,2.02 K,2.16 K,2.12 K,2.19 K,,
