Time,Cumulative (Received),Cumulative (Endorsed Successfully),Cumulative (Committed Successfully)
0,6,6,229828
15,1,1,
20,16,16,
25,35,35,
30,49,49,
35,49,49,
40,49,49,
45,49,49,
50,49,49,
55,49,49,
60,49,49,
65,49,49,
70,87,87,90
75,212,212,210
80,337,337,340
85,480,480,500
90,668,667,690
95,855,855,880
100,1007,1006,980
105,1069,1069,1040
110,1163,1163,1160
115,1271,1271,1240
120,1334,1334,1310
125,1396,1396,1370
130,1459,1459,1430
135,1521,1521,1490
140,1553,1553,1504
145,1553,1553,1504
150,1553,1553,1504
155,1553,1553,1504
160,1553,1553,1504
165,1553,1553,1504
170,1553,1553,1504
175,1553,1553,1504
180,1846,1845,2054
185,2471,2471,2684
190,3095,3095,3304
195,3721,3721,3934
200,4345,4345,4554
205,4971,4971,5184
210,5451,5450,5524
215,5845,5844,6054
220,6470,6469,6684
225,7095,7095,7304
230,7719,7719,7934
235,8345,8344,8554
240,8825,8825,8904
245,9057,9057,9008
250,9057,9057,9008
255,9057,9057,9008
260,9057,9057,9008
265,9057,9057,9008
270,9057,9057,9008
275,9057,9057,9008
280,9057,9057,9008
285,9057,9057,9008
290,9057,9057,9008
295,9057,9057,9008
300,9057,9057,9008
305,9057,9057,9008
310,9280,9280,9488
315,9905,9905,10118
320,10879,10878,11348
325,12130,12128,12708
330,13852,13849,14588
335,15724,15724,16458
340,17379,17378,17848
345,18725,18720,19458
350,20251,20248,20728
355,21501,21501,21868
360,22280,22280,22488
365,22905,22905,23118
370,23530,23530,23738
375,24059,24059,24010
380,24059,24059,24010
385,24059,24059,24010
390,24059,24059,24010
395,24059,24059,24010
400,24059,24059,24010
405,24059,24059,24010
410,24059,24059,24010
415,24092,24092,24290
420,24946,24946,25390
425,26122,26121,26560
430,27299,27299,27740
435,28475,28474,28920
440,29653,29653,30090
445,30834,30832,31280
450,32218,32217,32840
455,33827,33825,34470
460,35740,35734,36550
465,37839,37834,38620
470,39901,39898,40720
475,42007,42004,42830
480,44108,44101,44930
485,46193,46187,47010
490,48297,48295,49130
495,50436,50436,51260
500,52579,52574,53420
505,54753,54742,55620
510,56976,56973,57820
515,59180,59176,60040
520,61394,61372,62240
525,63611,63606,64470
530,65829,65824,66690
535,68024,68018,68880
540,70253,70249,71170
545,72774,72766,73560
550,75264,75250,76030
555,77604,77570,78390
560,79576,79573,80410
565,81763,81758,82570
570,83930,83925,84700
575,86310,86275,87080
580,88462,88462,89100
585,90912,90876,91310
590,93829,93507,93450
595,96068,96064,95580
600,97886,97869,97930
605,98716,98716,98690
610,100812,100126,100490
615,103487,103469,102730
620,106805,106108,104800
625,109076,109064,107140
630,111093,111092,109430
635,112009,112006,111710
640,113216,113216,113180
645,114083,113950,114560
650,117365,117322,116670
655,120344,120339,118950
660,122923,122854,121200
665,124999,124839,123390
670,126489,126459,125630
675,127864,127862,127850
680,127961,127961,128550
685,130786,130690,130730
690,133590,133483,132880
695,136360,136358,135110
700,138884,138883,137120
705,141008,140921,139410
710,142173,142171,141790
715,143616,143612,143760
720,143843,143843,144240
725,145559,145533,146360
730,147698,147697,148550
735,149875,149873,150710
740,152034,152028,152850
745,154146,154143,154980
750,155999,155998,156590
755,157553,157551,158040
760,158096,158096,158047
765,158096,158096,158047
770,158096,158096,158047
775,158096,158096,158047
780,158096,158096,158047
785,158096,158096,158047
790,158096,158096,158047
795,158096,158096,158047
800,158096,158096,158047
805,158096,158096,158047
810,158236,158235,159000
815,160322,160322,161100
820,162438,162438,163010
825,163794,163792,164390
830,165354,165352,165540
835,165596,165596,165547
840,165596,165596,165547
845,166286,166286,166840
850,167774,167772,168040
855,168096,168096,168047
860,168096,168096,168047
865,168096,168096,168047
870,168096,168096,168047
875,168096,168096,168047
880,168096,168096,168047
885,168096,168096,168047
890,168096,168096,168047
895,168096,168096,168047
900,168096,168096,168047
905,168110,168096,168047
910,168135,168096,168047
915,168161,168096,168047
920,168187,168096,168047
925,168223,168098,168047
930,168274,168098,168047
935,168328,168099,168047
940,168382,168099,168047
945,168437,168099,168047
950,168494,168099,168047
955,168551,168099,168047
960,168609,168099,168047
965,168668,168099,168047
970,168729,168099,168047
975,168791,168099,168047
980,168855,168099,168047
985,168919,168099,168047
990,168985,168099,168047
995,169052,168099,168047
1000,169123,168099,168047
1005,169192,168099,168047
1010,169266,168099,168047
1015,169338,168099,168047
1020,169415,168099,168047
1025,169493,168099,168047
1030,169573,168099,168047
1035,169655,168099,168047
1040,169740,168099,168047
1045,169826,168099,168047
1050,169916,168099,168047
1055,170009,168099,168047
1060,170104,168099,168047
1065,170202,168099,168047
1070,170304,168099,168047
1075,170409,168099,168047
1080,170519,168099,168047
1085,170632,168099,168047
1090,170748,168099,168047
1095,170871,168099,168047
1100,170999,168099,168047
1105,171133,168099,168047
1110,171272,168099,168047
1115,171417,168099,168047
1120,171572,168099,168047
1125,171734,168099,168047
1130,171904,168099,168047
1135,172087,168099,168047
1140,172279,168099,168047
1145,172488,168099,168047
1150,172711,168099,168047
1155,172952,168099,168047
1160,173215,168099,168047
1165,173503,168099,168047
1170,173824,168099,168047
1175,174184,168099,168047
1180,174599,168099,168047
1185,175083,168099,168047
1190,175674,168099,168047
1195,176003,168099,168047
1200,176324,168099,168047
1205,176669,168099,168047
1210,177047,168099,168047
1215,177557,168099,168047
1220,178172,168099,168047
1225,178478,168099,168047
1230,178478,168099,168047
1235,178478,168099,168047
1240,178478,168099,168047
1245,178478,168099,168047
