Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
0,0.333,0.392,0.702,0.786,,,,,,,0.710,0.735,,,,,,
5,0.267,0.450,0.977,0.892,,,,,,,1.04,0.930,,,,,,
10,0.333,0.533,1.27,1.20,,,,,,,1.27,1.20,,,,,,
15,0.333,0.200,1.07,0.933,,,,,,,1,1.07,,,,,,
20,0.400,0.0667,0.933,1.00,,,,,,,0.800,1.00,,,,,,
25,0.333,0.0667,0.867,0.800,,,,,,,0.867,0.867,,,,,,
30,0.333,0.0667,1.00,0.867,,,,,,,0.800,0.800,,,,,,
35,0.267,0.467,1.40,0.800,,,,,,,1.07,0.933,,,,,,
40,0.400,1.20,2.67,1.20,,,,,,,1.47,1.27,,,,,,
45,0.333,2.73,6.33,2.07,,,,,,,2.80,2.27,,,,,,
50,0.333,3.73,10.00,3.27,,,,,,,3.73,3.47,,,,,,
55,0.267,4.40,12.8,4.07,,,,,,,4.47,4.27,,,,,,
60,0.400,4.40,13,4.53,,,,,,,4.47,4.47,,,,,,
65,0.400,4.13,12.7,4.53,,,,,,,4.33,4.33,,,,,,
70,0.333,3.47,11.5,4.27,,,,,,,3.87,4.13,,,,,,
75,0.200,2.07,8.20,3.27,,,,,,,2.73,3.20,,,,,,
80,0.267,0.933,4.40,2.20,,,,,,,1.73,2.00,,,,,,
85,0.267,0.200,1.47,1.27,,,,,,,1.07,1.07,,,,,,
90,0.333,0.200,1.07,1.00,,,,,,,0.933,0.867,,,,,,
95,0.333,0.933,1.53,0.867,,,,,,,1.33,0.933,,,,,,
100,0.333,4.60,8.20,2.40,,,,,,,4.00,2.87,,,,,,
105,0.333,10.1,22.6,7.00,,,,,,,9.73,7.73,,,,,,
110,0.333,14.7,37.5,12.6,,,,,,,14.9,13.3,,,,,,
115,0.333,16.7,46.3,16.7,,,,,,,17.9,17,,,,,,
120,0.333,16.7,47.4,17.8,,,,,,,18,17.7,,,,,,
125,0.267,16,47.7,18,,,,,,,17.9,17.8,,,,,,
130,0.267,12.4,42.2,16.6,,,,,,,15.3,16.1,,,,,,
135,0.267,6.87,27.8,12.0,,,,,,,9.53,11.1,,,,,,
140,0.333,2.20,12.3,6.27,,,,,,,4.13,5.53,,,,,,
145,0.333,0.133,2.33,2.07,,,,,,,1.00,1.60,,,,,,
150,0.267,0.0667,1.000,0.933,,,,,,,0.933,0.933,,,,,,
155,0.200,3.60,4.40,1.27,,,,,,,2.73,1.73,,,,,,
160,0.267,13.4,25.5,7.47,,,,,,,12.9,9.07,,,,,,
165,0.333,23.9,54.5,18.8,,,,,,,24.3,20.3,,,,,,
170,0.400,30.9,80.2,29.8,,,,,,,34.1,31.1,,,,,,
175,0.333,31.7,88.2,35.3,,,,,,,35.3,35.3,,,,,,
180,0.333,31.6,88.5,35.5,,,,,,,35.5,35.4,,,,,,
185,0.267,28.1,85.9,35.1,,,,,,,33.6,34.5,,,,,,
190,0.333,18.7,66.3,28.9,,,,,,,23.8,27.3,,,,,,
195,0.267,8.27,36.9,17.6,,,,,,,12.3,16.1,,,,,,
200,0.333,1.20,10.5,6.67,,,,,,,2.53,5.40,,,,,,
205,0.267,0.133,1.07,1.13,,,,,,,1.000,1.000,,,,,,
210,0.267,0.467,1.07,0.867,,,,,,,0.933,0.867,,,,,,
215,0.267,4.67,7.53,2.27,,,,,,,4.60,2.80,,,,,,
220,0.267,13.2,26.5,8.33,,,,,,,12.9,9.80,,,,,,
225,0.400,23.0,54.3,18.7,,,,,,,24.0,20.6,,,,,,
230,0.333,29.0,76.4,28.4,,,,,,,31.9,29.9,,,,,,
235,0.467,30.8,85.7,34.0,,,,,,,34.9,34.3,,,,,,
240,0.333,30.9,86.4,34.9,,,,,,,35.1,34.9,,,,,,
245,0.400,30.9,85.7,34.9,,,,,,,34.9,34.7,,,,,,
250,0.267,30.7,85.4,34.7,,,,,,,34.7,34.7,,,,,,
255,0.333,31.1,85.3,34.6,,,,,,,34.7,34.7,,,,,,
260,0.333,32.0,87.1,35.1,,,,,,,35.7,35.3,,,,,,
265,0.333,33.5,91.1,36.5,,,,,,,37.4,36.8,,,,,,
270,0.333,34.7,95.5,38.3,,,,,,,39.3,38.5,,,,,,
275,0.333,35.1,98.3,39.9,,,,,,,40.4,40,,,,,,
280,0.333,35.2,98.7,40.5,,,,,,,40.5,40.4,,,,,,
285,0.333,35,98.5,40.4,,,,,,,40.1,40.3,,,,,,
290,0.333,35.1,98.6,40.1,,,,,,,40,40.4,,,,,,
295,0.333,35.2,98.5,40.1,,,,,,,40.5,40.1,,,,,,
300,0.333,36.6,101,40.7,,,,,,,42.1,41.0,,,,,,
305,0.333,39.0,107,43.5,,,,,,,44.3,43.3,,,,,,
310,0.400,41.2,113,45.3,,,,,,,46.3,45.9,,,,,,
315,0.400,42.2,117,47.3,,,,,,,48.1,47.4,,,,,,
