Time,node_exporter:9100,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
0,25.5 MiB,43.4 MiB,72.9 MiB,71.4 MiB,,,,,,,76.5 MiB,75.4 MiB,,,,,,
5,25.4 MiB,47.6 MiB,77.3 MiB,73.6 MiB,,,,,,,85.1 MiB,77.8 MiB,,,,,,
10,25.4 MiB,47.9 MiB,85.5 MiB,81.9 MiB,,,,,,,87.3 MiB,88.0 MiB,,,,,,
15,25.2 MiB,47.9 MiB,87.5 MiB,81.9 MiB,,,,,,,89.4 MiB,90.1 MiB,,,,,,
20,25.2 MiB,47.9 MiB,89.6 MiB,86.0 MiB,,,,,,,91.4 MiB,92.2 MiB,,,,,,
25,25.2 MiB,47.9 MiB,93.7 MiB,88.0 MiB,,,,,,,95.5 MiB,94.2 MiB,,,,,,
30,25.2 MiB,49.9 MiB,97.9 MiB,90.1 MiB,,,,,,,97.6 MiB,98.3 MiB,,,,,,
35,25.2 MiB,53.9 MiB,112 MiB,92.2 MiB,,,,,,,116 MiB,108 MiB,,,,,,
40,25.3 MiB,64.4 MiB,125 MiB,113 MiB,,,,,,,122 MiB,121 MiB,,,,,,
45,25.6 MiB,66.7 MiB,146 MiB,139 MiB,,,,,,,147 MiB,150 MiB,,,,,,
50,25.0 MiB,71.8 MiB,150 MiB,141 MiB,,,,,,,147 MiB,150 MiB,,,,,,
55,25.3 MiB,69.8 MiB,151 MiB,144 MiB,,,,,,,153 MiB,152 MiB,,,,,,
60,24.8 MiB,69.8 MiB,153 MiB,150 MiB,,,,,,,162 MiB,152 MiB,,,,,,
65,24.7 MiB,70.4 MiB,154 MiB,154 MiB,,,,,,,164 MiB,154 MiB,,,,,,
70,24.9 MiB,73.5 MiB,149 MiB,150 MiB,,,,,,,168 MiB,154 MiB,,,,,,
75,24.9 MiB,76.2 MiB,149 MiB,150 MiB,,,,,,,168 MiB,154 MiB,,,,,,
80,25.1 MiB,76.2 MiB,149 MiB,150 MiB,,,,,,,168 MiB,154 MiB,,,,,,
85,25.1 MiB,76.2 MiB,149 MiB,150 MiB,,,,,,,168 MiB,154 MiB,,,,,,
90,24.9 MiB,76.2 MiB,149 MiB,150 MiB,,,,,,,168 MiB,154 MiB,,,,,,
95,25.2 MiB,76.8 MiB,149 MiB,150 MiB,,,,,,,168 MiB,154 MiB,,,,,,
100,25.3 MiB,82.9 MiB,153 MiB,153 MiB,,,,,,,158 MiB,160 MiB,,,,,,
105,24.9 MiB,93.5 MiB,161 MiB,154 MiB,,,,,,,162 MiB,164 MiB,,,,,,
110,25.1 MiB,72 MiB,162 MiB,152 MiB,,,,,,,167 MiB,165 MiB,,,,,,
115,25.1 MiB,74.7 MiB,162 MiB,154 MiB,,,,,,,168 MiB,166 MiB,,,,,,
120,25.6 MiB,90.0 MiB,164 MiB,161 MiB,,,,,,,170 MiB,164 MiB,,,,,,
125,25.5 MiB,96.6 MiB,170 MiB,164 MiB,,,,,,,167 MiB,166 MiB,,,,,,
130,25.5 MiB,98.8 MiB,169 MiB,160 MiB,,,,,,,174 MiB,167 MiB,,,,,,
135,25.7 MiB,99.4 MiB,169 MiB,164 MiB,,,,,,,174 MiB,167 MiB,,,,,,
140,25.7 MiB,99.6 MiB,169 MiB,165 MiB,,,,,,,174 MiB,167 MiB,,,,,,
145,25.6 MiB,102 MiB,169 MiB,165 MiB,,,,,,,174 MiB,167 MiB,,,,,,
150,25.6 MiB,102 MiB,169 MiB,165 MiB,,,,,,,174 MiB,167 MiB,,,,,,
155,25.8 MiB,69.2 MiB,172 MiB,165 MiB,,,,,,,177 MiB,169 MiB,,,,,,
160,25.5 MiB,93.1 MiB,179 MiB,172 MiB,,,,,,,173 MiB,177 MiB,,,,,,
165,25.5 MiB,74.9 MiB,180 MiB,171 MiB,,,,,,,180 MiB,176 MiB,,,,,,
170,25.3 MiB,94.5 MiB,193 MiB,176 MiB,,,,,,,189 MiB,181 MiB,,,,,,
175,25.3 MiB,79.8 MiB,195 MiB,185 MiB,,,,,,,194 MiB,192 MiB,,,,,,
180,25.4 MiB,97.6 MiB,195 MiB,187 MiB,,,,,,,193 MiB,193 MiB,,,,,,
185,25.4 MiB,75.9 MiB,201 MiB,185 MiB,,,,,,,198 MiB,195 MiB,,,,,,
190,25.5 MiB,79.8 MiB,203 MiB,199 MiB,,,,,,,200 MiB,203 MiB,,,,,,
195,25.8 MiB,79.8 MiB,203 MiB,199 MiB,,,,,,,200 MiB,203 MiB,,,,,,
200,25.2 MiB,80.5 MiB,203 MiB,199 MiB,,,,,,,200 MiB,203 MiB,,,,,,
205,25.2 MiB,81.0 MiB,203 MiB,199 MiB,,,,,,,200 MiB,203 MiB,,,,,,
210,25.4 MiB,81.6 MiB,203 MiB,199 MiB,,,,,,,200 MiB,203 MiB,,,,,,
215,25.5 MiB,85.0 MiB,201 MiB,194 MiB,,,,,,,199 MiB,196 MiB,,,,,,
220,26.2 MiB,98.9 MiB,202 MiB,193 MiB,,,,,,,192 MiB,196 MiB,,,,,,
225,26.4 MiB,84.5 MiB,203 MiB,192 MiB,,,,,,,198 MiB,195 MiB,,,,,,
230,26.7 MiB,106 MiB,204 MiB,192 MiB,,,,,,,200 MiB,201 MiB,,,,,,
235,25.3 MiB,89.9 MiB,207 MiB,194 MiB,,,,,,,192 MiB,204 MiB,,,,,,
240,25.2 MiB,72.0 MiB,214 MiB,199 MiB,,,,,,,206 MiB,206 MiB,,,,,,
245,25.2 MiB,92.0 MiB,218 MiB,207 MiB,,,,,,,209 MiB,208 MiB,,,,,,
250,25.3 MiB,69.8 MiB,229 MiB,216 MiB,,,,,,,220 MiB,218 MiB,,,,,,
255,25.5 MiB,93.3 MiB,228 MiB,218 MiB,,,,,,,221 MiB,226 MiB,,,,,,
260,25.6 MiB,76.9 MiB,231 MiB,218 MiB,,,,,,,225 MiB,227 MiB,,,,,,
265,25.3 MiB,102 MiB,214 MiB,205 MiB,,,,,,,207 MiB,214 MiB,,,,,,
270,25.3 MiB,85.5 MiB,219 MiB,200 MiB,,,,,,,211 MiB,207 MiB,,,,,,
275,25.3 MiB,68.9 MiB,234 MiB,213 MiB,,,,,,,220 MiB,222 MiB,,,,,,
280,25.2 MiB,90.7 MiB,249 MiB,226 MiB,,,,,,,240 MiB,232 MiB,,,,,,
285,25.4 MiB,76.8 MiB,250 MiB,236 MiB,,,,,,,239 MiB,236 MiB,,,,,,
290,25.4 MiB,95.1 MiB,252 MiB,241 MiB,,,,,,,242 MiB,243 MiB,,,,,,
295,25.6 MiB,84.4 MiB,221 MiB,208 MiB,,,,,,,212 MiB,214 MiB,,,,,,
300,25.5 MiB,74.0 MiB,218 MiB,211 MiB,,,,,,,217 MiB,210 MiB,,,,,,
305,25.5 MiB,95.7 MiB,240 MiB,212 MiB,,,,,,,228 MiB,222 MiB,,,,,,
310,25.8 MiB,86.8 MiB,240 MiB,217 MiB,,,,,,,233 MiB,226 MiB,,,,,,
315,25.9 MiB,72.9 MiB,238 MiB,223 MiB,,,,,,,233 MiB,231 MiB,,,,,,
320,25.7 MiB,97.4 MiB,245 MiB,229 MiB,,,,,,,241 MiB,230 MiB,,,,,,
325,25.7 MiB,86.0 MiB,215 MiB,206 MiB,,,,,,,217 MiB,211 MiB,,,,,,
330,25.6 MiB,77.1 MiB,234 MiB,211 MiB,,,,,,,223 MiB,225 MiB,,,,,,
335,25.8 MiB,104 MiB,242 MiB,222 MiB,,,,,,,229 MiB,229 MiB,,,,,,
340,25.8 MiB,102 MiB,248 MiB,227 MiB,,,,,,,235 MiB,233 MiB,,,,,,
345,25.8 MiB,102 MiB,248 MiB,229 MiB,,,,,,,240 MiB,240 MiB,,,,,,
350,26.0 MiB,108 MiB,257 MiB,236 MiB,,,,,,,244 MiB,243 MiB,,,,,,
355,25.6 MiB,112 MiB,246 MiB,220 MiB,,,,,,,236 MiB,225 MiB,,,,,,
360,25.2 MiB,114 MiB,254 MiB,234 MiB,,,,,,,240 MiB,241 MiB,,,,,,
365,25.5 MiB,114 MiB,257 MiB,233 MiB,,,,,,,244 MiB,242 MiB,,,,,,
370,25.9 MiB,124 MiB,257 MiB,244 MiB,,,,,,,252 MiB,244 MiB,,,,,,
375,25.6 MiB,84.9 MiB,267 MiB,250 MiB,,,,,,,255 MiB,254 MiB,,,,,,
380,25.9 MiB,90.0 MiB,272 MiB,256 MiB,,,,,,,259 MiB,258 MiB,,,,,,
385,26.1 MiB,87.2 MiB,246 MiB,224 MiB,,,,,,,231 MiB,229 MiB,,,,,,
390,25.8 MiB,91.9 MiB,255 MiB,235 MiB,,,,,,,238 MiB,244 MiB,,,,,,
395,25.8 MiB,93.2 MiB,256 MiB,240 MiB,,,,,,,248 MiB,245 MiB,,,,,,
400,25.4 MiB,97.4 MiB,261 MiB,245 MiB,,,,,,,247 MiB,245 MiB,,,,,,
405,25.4 MiB,99.8 MiB,264 MiB,243 MiB,,,,,,,249 MiB,249 MiB,,,,,,
410,25.4 MiB,100 MiB,267 MiB,250 MiB,,,,,,,254 MiB,250 MiB,,,,,,
415,25.6 MiB,106 MiB,234 MiB,218 MiB,,,,,,,218 MiB,222 MiB,,,,,,
420,25.6 MiB,107 MiB,248 MiB,220 MiB,,,,,,,235 MiB,226 MiB,,,,,,
425,25.6 MiB,108 MiB,254 MiB,239 MiB,,,,,,,243 MiB,238 MiB,,,,,,
430,25.6 MiB,111 MiB,257 MiB,240 MiB,,,,,,,246 MiB,246 MiB,,,,,,
435,25.6 MiB,110 MiB,267 MiB,247 MiB,,,,,,,252 MiB,249 MiB,,,,,,
440,25.8 MiB,118 MiB,269 MiB,250 MiB,,,,,,,256 MiB,255 MiB,,,,,,
445,25.8 MiB,117 MiB,242 MiB,234 MiB,,,,,,,224 MiB,223 MiB,,,,,,
450,25.4 MiB,83.2 MiB,248 MiB,226 MiB,,,,,,,228 MiB,229 MiB,,,,,,
455,25.7 MiB,86.1 MiB,254 MiB,234 MiB,,,,,,,236 MiB,234 MiB,,,,,,
460,25.6 MiB,90.8 MiB,263 MiB,245 MiB,,,,,,,240 MiB,249 MiB,,,,,,
