Time,node_exporter:9100,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
0,22.3 MiB,45.5 MiB,74.8 MiB,67.0 MiB,,,,,,,,,,,,,,
5,23.0 MiB,47.6 MiB,75.1 MiB,73.4 MiB,,,,,,,,,,,,,,
10,22.6 MiB,49.7 MiB,79.2 MiB,75.9 MiB,,,,,,,,,,,,,,
15,22.7 MiB,49.8 MiB,81.3 MiB,75.9 MiB,,,,,,,,,,,,,,
20,22.7 MiB,49.8 MiB,81.4 MiB,78.0 MiB,,,,,,,,,,,,,,
25,22.9 MiB,60.0 MiB,97.9 MiB,82.1 MiB,,,,,,,,,,,,,,
30,22.9 MiB,68.4 MiB,145 MiB,123 MiB,,,,,,,,,,,,,,
35,23.3 MiB,72.5 MiB,151 MiB,143 MiB,,,,,,,,,,,,,,
40,23.1 MiB,69.9 MiB,154 MiB,146 MiB,,,,,,,,,,,,,,
45,23.2 MiB,71.8 MiB,158 MiB,152 MiB,,,,,,,,,,,,,,
50,22.9 MiB,75.0 MiB,156 MiB,152 MiB,,,,,,,,,,,,,,
55,23.2 MiB,77.1 MiB,158 MiB,151 MiB,,,,,,,,,,,,,,
60,23.0 MiB,77.1 MiB,158 MiB,151 MiB,,,,,,,,,,,,,,
65,23.1 MiB,77.1 MiB,158 MiB,151 MiB,,,,,,,,,,,,,,
70,22.8 MiB,78.1 MiB,158 MiB,151 MiB,,,,,,,,,,,,,,
75,23.2 MiB,89.1 MiB,162 MiB,156 MiB,,,,,,,,,,,,,,
80,23.2 MiB,93.3 MiB,167 MiB,157 MiB,,,,,,,,,,,,,,
85,23.3 MiB,74.5 MiB,168 MiB,159 MiB,,,,,,,,,,,,,,
90,25.3 MiB,87.3 MiB,167 MiB,164 MiB,,,,,,,,,,,,,,
95,25.5 MiB,92.7 MiB,168 MiB,163 MiB,,,,,,,,,,,,,,
100,25.7 MiB,98.2 MiB,173 MiB,164 MiB,,,,,,,,,,,,,,
105,24.4 MiB,98.2 MiB,173 MiB,164 MiB,,,,,,,,,,,,,,
110,24.5 MiB,98.2 MiB,173 MiB,164 MiB,,,,,,,,,,,,,,
115,24.7 MiB,98.8 MiB,173 MiB,164 MiB,,,,,,,,,,,,,,
120,24.7 MiB,75.9 MiB,173 MiB,164 MiB,,,,,,,,,,,,,,
125,24.4 MiB,93.1 MiB,181 MiB,174 MiB,,,,,,,,,,,,,,
130,24.5 MiB,82.2 MiB,181 MiB,175 MiB,,,,,,,,,,,,,,
135,24.2 MiB,99.2 MiB,195 MiB,183 MiB,,,,,,,,,,,,,,
140,24.3 MiB,83.8 MiB,205 MiB,195 MiB,,,,,,,,,,,,,,
145,24.4 MiB,70.1 MiB,198 MiB,197 MiB,,,,,,,,,,,,,,
150,24.6 MiB,78.1 MiB,203 MiB,197 MiB,,,,,,,,,,,,,,
155,24.6 MiB,78.7 MiB,204 MiB,200 MiB,,,,,,,,,,,,,,
160,24.5 MiB,79.2 MiB,204 MiB,200 MiB,,,,,,,,,,,,,,
165,24.6 MiB,85.1 MiB,204 MiB,200 MiB,,,,,,,,,,,,,,
170,24.6 MiB,98.3 MiB,208 MiB,203 MiB,,,,,,,,,,,,,,
175,24.7 MiB,82.3 MiB,198 MiB,200 MiB,,,,,,,,,,,,,,
180,24.3 MiB,99.4 MiB,198 MiB,193 MiB,,,,,,,,,,,,,,
185,24.4 MiB,85.4 MiB,211 MiB,199 MiB,,,,,,,,,,,,,,
190,24.4 MiB,102 MiB,221 MiB,211 MiB,,,,,,,,,,,,,,
195,24.6 MiB,87.1 MiB,225 MiB,217 MiB,,,,,,,,,,,,,,
200,24.9 MiB,70.4 MiB,231 MiB,220 MiB,,,,,,,,,,,,,,
205,24.5 MiB,91.1 MiB,211 MiB,225 MiB,,,,,,,,,,,,,,
210,24.6 MiB,75.2 MiB,211 MiB,204 MiB,,,,,,,,,,,,,,
215,24.6 MiB,97.2 MiB,217 MiB,215 MiB,,,,,,,,,,,,,,
220,24.9 MiB,86.4 MiB,222 MiB,215 MiB,,,,,,,,,,,,,,
225,25.6 MiB,96.3 MiB,242 MiB,227 MiB,,,,,,,,,,,,,,
230,25.6 MiB,93.6 MiB,250 MiB,237 MiB,,,,,,,,,,,,,,
235,24.7 MiB,78.4 MiB,220 MiB,237 MiB,,,,,,,,,,,,,,
240,24.7 MiB,101 MiB,221 MiB,208 MiB,,,,,,,,,,,,,,
245,24.8 MiB,86.1 MiB,227 MiB,217 MiB,,,,,,,,,,,,,,
250,24.8 MiB,74.8 MiB,228 MiB,219 MiB,,,,,,,,,,,,,,
255,25.2 MiB,97.8 MiB,240 MiB,226 MiB,,,,,,,,,,,,,,
260,24.5 MiB,91.6 MiB,239 MiB,227 MiB,,,,,,,,,,,,,,
265,24.8 MiB,77.7 MiB,224 MiB,232 MiB,,,,,,,,,,,,,,
270,24.8 MiB,104 MiB,238 MiB,227 MiB,,,,,,,,,,,,,,
275,24.8 MiB,92.0 MiB,245 MiB,234 MiB,,,,,,,,,,,,,,
280,25.5 MiB,81.4 MiB,254 MiB,239 MiB,,,,,,,,,,,,,,
285,25.5 MiB,104 MiB,260 MiB,244 MiB,,,,,,,,,,,,,,
290,25.0 MiB,101 MiB,260 MiB,248 MiB,,,,,,,,,,,,,,
295,25.1 MiB,105 MiB,231 MiB,251 MiB,,,,,,,,,,,,,,
300,24.8 MiB,76.7 MiB,241 MiB,221 MiB,,,,,,,,,,,,,,
305,25.5 MiB,86.6 MiB,255 MiB,244 MiB,,,,,,,,,,,,,,
