Time,Sent (peer0.org1.dwntp.com:9443),Sent (peer1.org1.dwntp.com:9443),Sent (peer10.org1.dwntp.com:9443),Sent (peer11.org1.dwntp.com:9443),Sent (peer12.org1.dwntp.com:9443),Sent (peer13.org1.dwntp.com:9443),Sent (peer14.org1.dwntp.com:9443),Sent (peer15.org1.dwntp.com:9443),Sent (peer2.org1.dwntp.com:9443),Sent (peer3.org1.dwntp.com:9443),Sent (peer4.org1.dwntp.com:9443),Sent (peer5.org1.dwntp.com:9443),Sent (peer6.org1.dwntp.com:9443),Sent (peer7.org1.dwntp.com:9443),Sent (peer8.org1.dwntp.com:9443),Sent (peer9.org1.dwntp.com:9443),Received (peer0.org1.dwntp.com:9443),Received (peer1.org1.dwntp.com:9443),Received (peer10.org1.dwntp.com:9443),Received (peer11.org1.dwntp.com:9443),Received (peer12.org1.dwntp.com:9443),Received (peer13.org1.dwntp.com:9443),Received (peer14.org1.dwntp.com:9443),Received (peer15.org1.dwntp.com:9443),Received (peer2.org1.dwntp.com:9443),Received (peer3.org1.dwntp.com:9443),Received (peer4.org1.dwntp.com:9443),Received (peer5.org1.dwntp.com:9443),Received (peer6.org1.dwntp.com:9443),Received (peer7.org1.dwntp.com:9443),Received (peer8.org1.dwntp.com:9443),Received (peer9.org1.dwntp.com:9443)
0,0.652,,,,,,,,,,,,,,,,0.652,,,,,,,,,,,,,,,
5,1.18,1.30,,,,,,,,,,,,,,,1.18,1.30,,,,,,,,,,,,,,
10,1.92,1.97,,,,,,,,,,,,,,,1.92,1.97,,,,,,,,,,,,,,
15,2.53,2.47,,,,,,,,,,,,,,,2.53,2.47,,,,,,,,,,,,,,
20,2.73,2.53,,,,,,,,,,,,,,,2.73,2.53,,,,,,,,,,,,,,
25,2.47,2.53,,,,,,,,,,,,,,,2.47,2.53,,,,,,,,,,,,,,
30,3.67,3.53,,,,,,,,,,,,,,,3.67,3.53,,,,,,,,,,,,,,
35,5.40,5,,,,,,,,,,,,,,,5.40,5,,,,,,,,,,,,,,
40,7.40,6.73,,,,,,,,,,,,,,,7.40,6.73,,,,,,,,,,,,,,
45,7.60,7.60,,,,,,,,,,,,,,,7.60,7.60,,,,,,,,,,,,,,
50,7.33,7.60,,,,,,,,,,,,,,,7.33,7.60,,,,,,,,,,,,,,
55,7.20,7.33,,,,,,,,,,,,,,,7.20,7.33,,,,,,,,,,,,,,
60,6.13,6.13,,,,,,,,,,,,,,,6.13,6.13,,,,,,,,,,,,,,
65,4.47,4.80,,,,,,,,,,,,,,,4.40,4.87,,,,,,,,,,,,,,
70,2.53,3.07,,,,,,,,,,,,,,,2.47,3.13,,,,,,,,,,,,,,
75,9.33,7.47,,,,,,,,,,,,,,,9.27,7.53,,,,,,,,,,,,,,
80,18,15.7,,,,,,,,,,,,,,,18,15.7,,,,,,,,,,,,,,
85,26.5,24.5,,,,,,,,,,,,,,,26.5,24.5,,,,,,,,,,,,,,
90,27.4,27.6,,,,,,,,,,,,,,,27.4,27.5,,,,,,,,,,,,,,
95,27.3,27.3,,,,,,,,,,,,,,,27.3,27.3,,,,,,,,,,,,,,
100,27.6,27.3,,,,,,,,,,,,,,,27.6,27.3,,,,,,,,,,,,,,
105,20.5,22.5,,,,,,,,,,,,,,,20.5,22.5,,,,,,,,,,,,,,
110,11.8,14.1,,,,,,,,,,,,,,,11.8,14.1,,,,,,,,,,,,,,
115,3.33,5.40,,,,,,,,,,,,,,,3.33,5.40,,,,,,,,,,,,,,
