Time,Enqueue Duration (s)
10,NaN
15,NaN
20,NaN
25,NaN
30,NaN
35,0.0000380
40,0.0000341
45,0.0000340
50,0.0000335
55,0.0000335
60,0.0000333
65,0.0000338
70,0.0000342
75,0.0000350
80,0.0000356
85,0.0000465
90,NaN
95,0.0000306
100,0.0000289
105,0.0000284
110,0.0000278
115,0.0000276
120,0.0000277
125,0.0000277
130,0.0000275
135,0.0000269
140,0.0000264
145,NaN
150,NaN
155,0.0000284
160,0.0000315
165,0.0000320
170,0.0000327
175,0.0000329
180,0.0000334
185,0.0000329
190,0.0000325
195,0.0000306
200,0.0000257
205,NaN
210,0.0000278
215,0.0000281
220,0.0000290
225,0.0000304
230,0.0000316
235,0.0000323
240,0.0000322
245,0.0000316
250,0.0000314
255,0.0000311
260,0.0000317
265,0.0000331
270,0.0000343
275,0.0000351
280,0.0000350
285,0.0000347
290,0.0000342
295,0.0000339
300,0.0000350
305,0.0000369
310,0.0000388
315,0.0000395
320,0.0000393
325,0.0000382
330,0.0000386
335,0.0000381
340,0.0000403
345,0.0000434
350,0.0000513
355,0.0000549
360,0.0000581
365,0.0000557
370,0.0000551
375,0.0000537
380,0.0000565
385,0.0000602
390,0.0000609
395,0.0000604
400,0.0000582
405,0.0000592
410,0.0000569
415,0.0000571
420,0.0000578
425,0.0000613
430,0.0000605
435,0.0000595
440,0.0000579
445,0.0000602
450,0.0000612
455,0.0000606
460,0.0000603
465,0.0000598
470,0.0000575
475,0.0000589
480,0.0000618
485,0.0000659
490,0.0000646
495,0.0000609
500,0.0000583
505,0.0000572
510,0.0000572
515,0.0000529
520,0.0000465
525,0.0000369
530,0.0000305
535,0.0000302
540,0.0000458
545,0.0000528
550,0.0000501
555,0.0000532
560,0.0000287
565,NaN
570,NaN
575,NaN
580,NaN
585,NaN
590,NaN
595,NaN
600,NaN
605,NaN
610,NaN
615,NaN
620,NaN
625,NaN
630,NaN
635,NaN
640,NaN
645,NaN
650,NaN
655,NaN
660,NaN
665,NaN
670,NaN
675,NaN
680,NaN
685,NaN
690,NaN
695,NaN
700,NaN
705,NaN
710,NaN
715,NaN
720,NaN
725,NaN
730,NaN
735,NaN
740,NaN
745,NaN
750,NaN
755,NaN
760,NaN
765,NaN
770,NaN
775,NaN
780,NaN
785,NaN
790,NaN
795,NaN
800,NaN
805,NaN
810,NaN
815,NaN
820,NaN
825,NaN
830,NaN
835,NaN
840,NaN
845,NaN
850,NaN
855,NaN
860,NaN
865,NaN
870,NaN
875,NaN
880,NaN
885,NaN
890,NaN
895,NaN
900,NaN
905,NaN
910,NaN
915,NaN
920,NaN
925,NaN
