Time,Enqueue Duration (s)
10,NaN
15,NaN
20,NaN
25,0.0000355
30,0.0000357
35,0.0000353
40,0.0000348
45,0.0000347
50,0.0000342
55,0.0000341
60,0.0000335
65,0.0000338
70,0.0000337
75,0.0000316
80,0.0000313
85,0.0000306
90,0.0000304
95,0.0000301
100,0.0000304
105,0.0000303
110,0.0000308
115,0.0000288
120,0.0000285
125,0.0000274
130,0.0000275
135,0.0000272
140,0.0000272
145,0.0000268
150,0.0000265
155,0.0000263
160,0.0000262
165,0.0000310
170,0.0000276
175,0.0000269
180,0.0000267
185,0.0000263
190,0.0000265
195,0.0000263
200,0.0000264
205,0.0000264
210,0.0000265
215,0.0000264
220,0.0000260
225,0.0000262
230,0.0000265
235,0.0000278
240,0.0000293
245,0.0000300
250,0.0000307
255,0.0000313
260,0.0000327
265,0.0000329
270,0.0000318
275,0.0000310
280,0.0000298
285,0.0000298
290,0.0000294
295,0.0000336
300,0.0000370
305,0.0000394
310,0.0000390
315,0.0000383
320,0.0000377
325,0.0000376
330,0.0000382
335,0.0000382
340,0.0000384
345,0.0000375
350,0.0000384
355,0.0000391
360,0.0000394
365,0.0000386
370,0.0000379
375,0.0000381
380,0.0000384
385,0.0000385
390,0.0000383
395,0.0000383
400,0.0000382
405,0.0000381
410,0.0000379
415,0.0000379
420,0.0000390
425,0.0000395
430,0.0000400
435,0.0000387
440,0.0000385
445,0.0000385
450,0.0000391
455,0.0000393
460,0.0000408
465,0.0000406
470,0.0000395
475,0.0000355
480,0.0000256
485,0.0000466
490,0.0000415
495,0.0000414
500,0.0000406
505,0.0000414
510,NaN
515,NaN
520,NaN
525,NaN
530,NaN
535,NaN
540,NaN
545,NaN
550,NaN
555,NaN
560,NaN
565,NaN
570,NaN
575,NaN
580,NaN
585,NaN
590,NaN
595,NaN
600,NaN
605,NaN
610,NaN
615,NaN
620,NaN
625,NaN
630,NaN
635,NaN
640,NaN
645,NaN
650,NaN
655,NaN
660,NaN
665,NaN
670,NaN
675,NaN
680,NaN
685,NaN
690,NaN
695,NaN
700,NaN
705,NaN
710,NaN
715,NaN
720,NaN
725,NaN
730,NaN
735,NaN
740,NaN
745,NaN
750,NaN
755,NaN
760,NaN
765,NaN
770,NaN
775,NaN
780,NaN
785,NaN
790,NaN
795,NaN
800,NaN
805,NaN
810,NaN
815,NaN
820,NaN
825,NaN
830,NaN
835,NaN
840,NaN
845,NaN
850,NaN
855,NaN
860,NaN
865,NaN
890,NaN
895,NaN
900,NaN
905,NaN
910,NaN
915,0.0000380
920,0.0000341
925,0.0000340
930,0.0000335
935,0.0000335
940,0.0000333
945,0.0000338
950,0.0000342
955,0.0000350
960,0.0000356
965,0.0000465
970,NaN
975,0.0000306
980,0.0000289
985,0.0000284
990,0.0000278
995,0.0000276
1000,0.0000277
1005,0.0000277
1010,0.0000275
1015,0.0000269
1020,0.0000264
1025,NaN
1030,NaN
1035,0.0000284
1040,0.0000315
1045,0.0000320
1050,0.0000327
1055,0.0000329
1060,0.0000334
1065,0.0000329
1070,0.0000325
1075,0.0000306
1080,0.0000257
1085,NaN
1090,0.0000278
1095,0.0000281
1100,0.0000290
1105,0.0000304
1110,0.0000316
1115,0.0000323
1120,0.0000322
1125,0.0000316
1130,0.0000314
1135,0.0000311
1140,0.0000317
1145,0.0000331
1150,0.0000343
1155,0.0000351
1160,0.0000350
1165,0.0000347
1170,0.0000342
1175,0.0000339
1180,0.0000350
1185,0.0000369
1190,0.0000388
1195,0.0000395
1200,0.0000393
1205,0.0000382
1210,0.0000386
1215,0.0000381
1220,0.0000403
1225,0.0000434
1230,0.0000513
1235,0.0000549
1240,0.0000581
1245,0.0000557
1250,0.0000551
1255,0.0000537
1260,0.0000565
1265,0.0000602
1270,0.0000609
1275,0.0000604
1280,0.0000582
1285,0.0000592
1290,0.0000569
1295,0.0000571
1300,0.0000578
1305,0.0000613
1310,0.0000605
1315,0.0000595
1320,0.0000579
1325,0.0000602
1330,0.0000612
1335,0.0000606
1340,0.0000603
1345,0.0000598
1350,0.0000575
1355,0.0000589
1360,0.0000618
1365,0.0000659
1370,0.0000646
1375,0.0000609
1380,0.0000583
1385,0.0000572
1390,0.0000572
1395,0.0000529
1400,0.0000465
1405,0.0000369
1410,0.0000305
1415,0.0000302
1420,0.0000458
1425,0.0000528
1430,0.0000501
1435,0.0000532
1440,0.0000287
1445,NaN
1450,NaN
1455,NaN
1460,NaN
1465,NaN
1470,NaN
1475,NaN
1480,NaN
1485,NaN
1490,NaN
1495,NaN
1500,NaN
1505,NaN
1510,NaN
1515,NaN
1520,NaN
1525,NaN
1530,NaN
1535,NaN
1540,NaN
1545,NaN
1550,NaN
1555,NaN
1560,NaN
1565,NaN
1570,NaN
1575,NaN
1580,NaN
1585,NaN
1590,NaN
1595,NaN
1600,NaN
1605,NaN
1610,NaN
1615,NaN
1620,NaN
1625,NaN
1630,NaN
1635,NaN
1640,NaN
1645,NaN
1650,NaN
1655,NaN
1660,NaN
1665,NaN
1670,NaN
1675,NaN
1680,NaN
1685,NaN
1690,NaN
1695,NaN
1700,NaN
1705,NaN
1710,NaN
1715,NaN
1720,NaN
1725,NaN
1730,NaN
1735,NaN
1740,NaN
1745,NaN
1750,NaN
1755,NaN
1760,NaN
1765,NaN
1770,NaN
1775,NaN
1780,NaN
1785,NaN
1790,NaN
1795,NaN
1800,NaN
1805,NaN
1830,NaN
1835,NaN
1840,NaN
1845,NaN
1850,NaN
1855,NaN
1860,NaN
1865,NaN
1870,0.0000375
