Time,State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s)
5,NaN,NaN,,,,,,,0.000596,NaN,,,,,,
10,0.000590,0.000599,,,,,,,0.000593,0.000537,,,,,,
15,0.000590,0.000599,,,,,,,0.000593,0.000537,,,,,,
20,0.000590,0.000599,,,,,,,0.000589,0.000537,,,,,,
25,NaN,NaN,,,,,,,NaN,NaN,,,,,,
30,NaN,NaN,,,,,,,NaN,NaN,,,,,,
35,0.000518,NaN,,,,,,,0.000518,0.000524,,,,,,
40,0.000615,0.000720,,,,,,,0.000609,0.000596,,,,,,
45,0.000583,0.000619,,,,,,,0.000615,0.000574,,,,,,
50,0.000601,0.000621,,,,,,,0.000611,0.000594,,,,,,
55,0.000607,0.000612,,,,,,,0.000622,0.000611,,,,,,
60,0.000619,0.000627,,,,,,,0.000621,0.000641,,,,,,
65,0.000619,0.000609,,,,,,,0.000618,0.000628,,,,,,
70,0.000615,0.000599,,,,,,,0.000592,0.000613,,,,,,
75,0.000612,0.000581,,,,,,,0.000580,0.000584,,,,,,
80,0.000601,0.000583,,,,,,,0.000562,0.000594,,,,,,
85,0.000558,0.000602,,,,,,,0.000533,0.000627,,,,,,
90,NaN,0.000555,,,,,,,NaN,NaN,,,,,,
95,0.000552,NaN,,,,,,,0.000572,NaN,,,,,,
100,0.000577,0.000576,,,,,,,0.000581,0.000573,,,,,,
105,0.000600,0.000624,,,,,,,0.000602,0.000620,,,,,,
110,0.000599,0.000607,,,,,,,0.000594,0.000611,,,,,,
115,0.000612,0.000601,,,,,,,0.000602,0.000619,,,,,,
120,0.000617,0.000600,,,,,,,0.000611,0.000617,,,,,,
125,0.000619,0.000599,,,,,,,0.000616,0.000618,,,,,,
130,0.000609,0.000602,,,,,,,0.000610,0.000613,,,,,,
135,0.000639,0.000619,,,,,,,0.000641,0.000638,,,,,,
140,0.000687,0.000657,,,,,,,0.000721,0.000678,,,,,,
145,0.00137,0.000894,,,,,,,0.0103,0.00106,,,,,,
150,NaN,NaN,,,,,,,NaN,NaN,,,,,,
155,0.000588,0.000577,,,,,,,0.000566,0.000579,,,,,,
160,0.000601,0.000592,,,,,,,0.000597,0.000583,,,,,,
165,0.000602,0.000603,,,,,,,0.000603,0.000591,,,,,,
170,0.000601,0.000603,,,,,,,0.000601,0.000595,,,,,,
175,0.000603,0.000606,,,,,,,0.000618,0.000606,,,,,,
180,0.000605,0.000607,,,,,,,0.000613,0.000611,,,,,,
185,0.000604,0.000600,,,,,,,0.000608,0.000612,,,,,,
190,0.000597,0.000595,,,,,,,0.000580,0.000598,,,,,,
195,0.000598,0.000586,,,,,,,0.000574,0.000593,,,,,,
200,0.000604,0.000596,,,,,,,0.000576,0.000574,,,,,,
205,0.00385,0.000851,,,,,,,0.00215,0.00214,,,,,,
210,NaN,NaN,,,,,,,NaN,NaN,,,,,,
215,0.000543,0.000528,,,,,,,0.000572,0.000532,,,,,,
220,0.000583,0.000585,,,,,,,0.000597,0.000586,,,,,,
225,0.000598,0.000598,,,,,,,0.000600,0.000602,,,,,,
230,0.000610,0.000604,,,,,,,0.000608,0.000610,,,,,,
235,0.000604,0.000601,,,,,,,0.000605,0.000604,,,,,,
240,0.000601,0.000602,,,,,,,0.000601,0.000600,,,,,,
245,0.000595,0.000596,,,,,,,0.000601,0.000597,,,,,,
250,0.000599,0.000599,,,,,,,0.000599,0.000597,,,,,,
255,0.000589,0.000593,,,,,,,0.000593,0.000588,,,,,,
260,0.000586,0.000591,,,,,,,0.000595,0.000578,,,,,,
265,0.000598,0.000591,,,,,,,0.000599,0.000585,,,,,,
270,0.000615,0.000597,,,,,,,0.000610,0.000594,,,,,,
275,0.000629,0.000611,,,,,,,0.000605,0.000611,,,,,,
280,0.000620,0.000617,,,,,,,0.000610,0.000615,,,,,,
285,0.000621,0.000629,,,,,,,0.000620,0.000624,,,,,,
290,0.000613,0.000631,,,,,,,0.000625,0.000628,,,,,,
295,0.000616,0.000621,,,,,,,0.000622,0.000625,,,,,,
300,0.000613,0.000621,,,,,,,0.000623,0.000621,,,,,,
305,0.000616,0.000623,,,,,,,0.000627,0.000621,,,,,,
310,0.000631,0.000641,,,,,,,0.000638,0.000632,,,,,,
315,0.000642,0.000639,,,,,,,0.000647,0.000640,,,,,,
320,0.000652,0.000644,,,,,,,0.000656,0.000642,,,,,,
325,0.000652,0.000652,,,,,,,0.000659,0.000647,,,,,,
330,0.000651,0.000657,,,,,,,0.000652,0.000653,,,,,,
335,0.000641,0.000649,,,,,,,0.000636,0.000647,,,,,,
340,0.000650,0.000641,,,,,,,0.000648,0.000644,,,,,,
345,0.000679,0.000656,,,,,,,0.000670,0.000658,,,,,,
350,0.000723,0.000702,,,,,,,0.000727,0.000712,,,,,,
355,0.000759,0.000754,,,,,,,0.000777,0.000754,,,,,,
360,0.000792,0.000790,,,,,,,0.000795,0.000792,,,,,,
365,0.000806,0.000791,,,,,,,0.000796,0.000792,,,,,,
370,0.000803,0.000788,,,,,,,0.000767,0.000783,,,,,,
375,0.000793,0.000769,,,,,,,0.000774,0.000770,,,,,,
380,0.000794,0.000773,,,,,,,0.000764,0.000772,,,,,,
385,0.000818,0.000766,,,,,,,0.000786,0.000782,,,,,,
390,0.000831,0.000812,,,,,,,0.000798,0.000813,,,,,,
395,0.000830,0.000816,,,,,,,0.000816,0.000813,,,,,,
400,0.000834,0.000827,,,,,,,0.000816,0.000822,,,,,,
405,0.000850,0.000812,,,,,,,0.000806,0.000809,,,,,,
410,0.000852,0.000818,,,,,,,0.000804,0.000807,,,,,,
415,0.000839,0.000816,,,,,,,0.000796,0.000812,,,,,,
420,0.000840,0.000796,,,,,,,0.000811,0.000820,,,,,,
425,0.000835,0.000808,,,,,,,0.000805,0.000825,,,,,,
430,0.000844,0.000815,,,,,,,0.000811,0.000822,,,,,,
435,0.000837,0.000817,,,,,,,0.000810,0.000808,,,,,,
440,0.000847,0.000806,,,,,,,0.000818,0.000819,,,,,,
445,0.000851,0.000804,,,,,,,0.000828,0.000824,,,,,,
450,0.000840,0.000810,,,,,,,0.000836,0.000816,,,,,,
455,0.000895,0.000808,,,,,,,0.000834,0.000811,,,,,,
460,0.000888,0.000821,,,,,,,0.000828,0.000823,,,,,,
