Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
0,0,0,0
5,0,0,0
10,0,0,0
20,0,0,
25,1.76,1.76,
30,2.45,2.45,
35,2.20,2.20,
40,0.933,0.933,
45,0,0,
50,0,0,
55,0,0,
60,0,0,
65,0,0,
70,2.42,2.42,
75,9.72,9.72,10.9
80,17.0,17.0,16.4
85,25.1,25.1,24.2
90,30.4,30.3,30.5
95,34.5,34.5,34.7
100,35.1,35.1,34.7
105,26.7,26.8,26.3
110,20.5,20.5,20.5
115,17.6,17.7,17.6
120,17.7,17.7,17.7
125,15.5,15.5,15.4
130,12.5,12.5,12.6
135,12.5,12.5,12.4
140,10.5,10.5,10.5
145,6.27,6.27,6.39
150,2.13,2.13,2.31
155,0,0,0.0667
160,0,0,0
165,0,0,0
170,0,0,0
175,0,0,0
180,19.5,19.5,21.1
185,61.2,61.2,62.6
190,103,103,104
195,125,125,125
200,125,125,125
205,125,125,125
210,115,115,114
215,100,99.9,100
220,99.9,99.9,99.9
225,110,110,111
230,125,125,125
235,125,125,125
240,115,115,114
245,89.2,89.2,87.4
250,47.5,47.5,45.9
255,15.5,15.5,14.9
260,0,0,0.392
265,0,0,0
270,0,0,0
275,0,0,0
280,0,0,0
285,0,0,0
290,0,0,0
295,0,0,0
300,0,0,0
305,0,0,0
310,14.9,14.9,16.4
315,56.5,56.5,58.0
320,121,121,125
325,190,190,193
330,263,263,266
335,323,323,325
340,350,350,349
345,325,325,326
350,302,302,300
355,275,275,274
360,237,237,233
365,177,177,175
370,135,135,135
375,119,119,116
380,76.9,76.9,75.6
385,35.3,35.3,33.7
390,0,0,1.31
395,0,0,0
400,0,0,0
405,0,0,0
410,0,0,0
415,2.20,2.20,5.83
420,59.1,59.1,62.2
425,138,137,141
430,214,214,213
435,235,235,235
440,235,235,235
445,236,236,236
450,250,250,251
455,278,278,279
460,327,327,329
465,375,374,375
470,405,405,406
475,418,418,418
480,418,418,419
485,419,419,420
490,419,419,420
495,422,422,422
500,426,426,425
505,430,430,430
510,436,436,436
515,440,440,440
520,443,442,442
525,442,442,442
530,443,443,443
535,442,443,442
540,443,443,443
545,463,463,450
550,483,482,459
555,490,488,461
560,453,454,454
565,433,434,442
570,422,424,434
575,449,447,433
580,447,447,437
585,465,463,426
590,501,482,408
595,507,507,401
600,465,466,414
605,326,347,413
610,316,270,371
615,373,373,359
620,539,493,368
625,552,597,408
630,507,508,413
635,347,393,425
640,276,277,431
645,199,191,391
650,357,354,366
655,475,475,365
660,589,593,411
665,509,501,425
670,410,408,424
675,330,334,433
680,197,208,395
685,286,282,373
690,382,375,357
695,560,560,393
700,540,546,401
705,495,496,401
710,388,388,410
715,315,315,432
720,189,195,395
725,226,224,371
730,272,272,368
735,402,402,414
740,432,433,434
745,430,430,430
750,408,408,407
755,368,368,366
760,263,264,259
765,140,140,136
770,36.2,36.3,33.5
775,0,0,0.0583
780,0,0,0
785,0,0,0
790,0,0,0
795,0,0,0
800,0,0,0
805,0,0,0
810,9.33,9.27,20.7
815,148,148,151
820,289,289,289
825,371,370,363
830,335,335,330
835,211,211,211
840,120,120,116
845,62.1,62.3,67.7
850,145,145,145
855,167,167,167
860,121,121,117
865,21.5,21.6,21.7
870,0,0,0
875,0,0,0
880,0,0,0
885,0,0,0
890,0,0,0
895,0,0,0
900,0,0,0
905,0.933,0,0
910,2.60,0,0
915,4.33,0,0
920,5.13,0,0
925,5.87,0.133,0
930,7.53,0.133,0
935,9.40,0.200,0
940,10.6,0.0667,0
945,10.9,0.0667,0
950,11.1,0,0
955,11.3,0,0
960,11.5,0,0
965,11.6,0,0
970,11.9,0,0
975,12.1,0,0
980,12.5,0,0
985,12.7,0,0
990,12.9,0,0
995,13.1,0,0
1000,13.6,0,0
1005,13.8,0,0
1010,14.3,0,0
1015,14.3,0,0
1020,14.9,0,0
1025,15.1,0,0
1030,15.7,0,0
1035,16,0,0
1040,16.5,0,0
1045,16.9,0,0
1050,17.4,0,0
1055,17.9,0,0
1060,18.5,0,0
1065,19.1,0,0
1070,19.7,0,0
1075,20.3,0,0
1080,21.1,0,0
1085,21.9,0,0
1090,22.6,0,0
1095,23.5,0,0
1100,24.5,0,0
1105,25.7,0,0
1110,26.7,0,0
1115,27.9,0,0
1120,29.3,0,0
1125,30.8,0,0
1130,32.5,0,0
1135,34.3,0,0
1140,36.3,0,0
1145,38.9,0,0
1150,41.6,0,0
1155,44.9,0,0
1160,48.5,0,0
1165,52.8,0,0
1170,58.1,0,0
1175,64.6,0,0
1180,73.1,0,0
1185,83.9,0,0
1190,99.3,0,0
1195,93.6,0,0
1200,82.7,0,0
1205,66.3,0,0
1210,69.6,0,0
1215,82.2,0,0
1220,100,0,0
1225,95.4,0,0
1230,61.4,0,0
1235,20.4,0,0
1240,0,0,0
1245,0,0,0
