Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
5,0.201,0.201,
10,0.450,0.450,
15,0.362,0.362,
20,0.200,0.200,
25,1.20,1.13,
30,13.9,13.9,17.1
35,28.5,28.5,29.0
40,43.0,42.9,41.6
45,50,50.1,50
50,50,49.9,50
55,49.1,49.1,49.7
60,34.6,34.6,36.8
65,17.9,18,20.3
70,2.20,2.20,3.93
75,72.2,72.2,62.1
80,156,156,145
85,239,239,229
90,250,250,250
95,250,250,250
100,250,250,250
105,178,178,189
110,94.7,94.7,105
115,11.4,11.5,21.6
120,24.7,24.7,19
125,190,190,170
130,357,357,337
135,499,499,484
140,500,500,500
145,500,500,500
150,475,475,480
155,310,310,330
160,143,143,163
165,1.07,1.07,16.4
170,91.8,91.7,74.3
175,255,255,235
180,418,418,398
185,489,490,487
190,489,489,489
195,489,489,489
200,489,489,489
205,489,489,489
210,496,496,494
215,517,517,514
220,540,540,537
225,555,555,555
230,556,556,556
235,555,555,555
240,553,553,554
245,551,551,552
250,551,551,551
255,573,573,570
260,599,599,597
265,624,624,621
270,628,629,628
275,632,632,631
280,635,636,635
285,638,638,638
290,637,637,637
295,729,728,713
300,867,867,849
305,1010,1010,993
310,1064,1064,1063
315,1070,1070,1070
320,1073,1073,1073
325,1077,1077,1076
330,1074,1074,1074
335,1075,1075,1075
340,1073,1073,1073
345,1080,1079,1080
350,1081,1081,1080
355,1081,1081,1081
360,1078,1079,1078
365,1079,1079,1078
370,1078,1078,1077
375,1079,1079,1080
380,1077,1077,1077
385,1080,1080,1080
390,1079,1079,1079
395,1079,1079,1080
400,1077,1077,1077
405,1079,1079,1078
410,1084,1084,1083
415,1087,1087,1087
420,1088,1087,1088
425,1084,1084,1085
430,1084,1084,1084
435,1082,1083,1083
440,1084,1084,1083
445,1083,1083,1083
450,1080,1080,1080
455,1078,1078,1077
460,1056,1055,1059
465,1051,1051,1050
470,894,894,929
475,556,556,596
480,203,203,247
485,0.533,0.533,10.1
490,293,293,250
495,647,647,604
500,666,666,667
505,374,374,417
510,19.3,19.6,62.7
515,2.40,0,0
520,5.87,0,0
525,9.33,0,0
530,10.4,0,0
535,10.4,0,0
540,10.7,0,0
545,10.8,0,0
550,11.1,0,0
555,11.3,0,0
560,11.5,0,0
565,11.7,0,0
570,11.9,0,0
575,12.3,0,0
580,12.5,0,0
585,12.8,0,0
590,12.9,0,0
595,13.2,0,0
600,13.5,0,0
605,14,0,0
610,14.3,0,0
615,14.5,0,0
620,14.8,0,0
625,15.3,0,0
630,15.7,0,0
635,16.1,0,0
640,16.4,0,0
645,17,0,0
650,17.5,0,0
655,18.1,0,0
660,18.5,0,0
665,19.3,0,0
670,19.8,0,0
675,20.5,0,0
680,21.1,0,0
685,21.9,0,0
690,22.8,0,0
695,23.7,0,0
700,24.6,0,0
705,25.6,0,0
710,26.8,0,0
715,28.1,0,0
720,29.5,0,0
725,30.9,0,0
730,32.6,0,0
735,34.4,0,0
740,36.6,0,0
745,38.9,0,0
750,41.6,0,0
755,44.5,0,0
760,48.3,0,0
765,52.3,0,0
770,57.4,0,0
775,63.4,0,0
780,71.1,0,0
785,80.7,0,0
790,93.3,0,0
795,95.6,0,0
800,86,0,0
805,73.3,0,0
810,71.1,0,0
815,65.9,0,0
820,42.5,0,0
825,15.8,0,0
830,0,0,0
835,0,0,0
840,0,0,0
845,0,0,0
850,0,0,0
855,0,0,0
860,0,0,0
865,0,0,0
870,0,0,0
885,0.595,0.595,
890,0.681,0.681,
895,0.600,0.600,
900,0.200,0.200,
905,0,0,
910,0,0,
915,1.07,1.07,
920,5.34,5.34,6.31
925,18.0,18.0,18.8
930,32.5,32.5,32.3
935,46.4,46.4,45.8
940,50.1,50.1,50.2
945,48.9,48.9,49
950,44.4,44.4,44.3
955,29.9,29.9,30.5
960,14.3,14.3,14.9
965,2.27,2.27,3.10
970,0,0,0.0667
975,1.07,1.07,1.50
980,31.3,31.3,30.5
985,108,108,106
990,191,191,188
995,244,244,242
1000,250,250,250
1005,249,249,248
1010,219,219,219
1015,142,142,144
1020,59.6,59.6,62.9
1025,6.40,6.40,8.77
1030,0,0,0
1035,15.3,15.3,13.7
1040,128,128,124
1045,295,295,290
1050,446,446,443
1055,500,500,499
1060,500,500,500
1065,485,485,486
1070,372,372,376
1075,206,206,211
1080,54.2,54.2,58.0
1085,0,0,1.03
1090,0,0,0
1095,31.3,31.3,30.5
1100,133,133,130
1105,289,289,284
1110,418,418,414
1115,477,478,475
1120,481,482,482
1125,482,482,482
1130,483,483,483
1135,486,486,485
1140,495,495,495
1145,512,512,512
1150,530,530,530
1155,540,540,540
1160,543,543,543
1165,543,543,543
1170,543,543,543
1175,544,544,544
1180,552,552,552
1185,571,571,570
1190,595,595,594
1195,612,612,612
1200,619,619,619
1205,620,620,619
1210,619,619,619
1215,619,619,619
1220,652,652,651
1225,727,727,725
1230,838,838,834
1235,920,920,917
1240,961,961,959
1245,966,966,966
1250,967,967,968
1255,969,969,969
1260,969,969,970
1265,970,969,970
1270,967,967,968
1275,970,970,969
1280,970,971,970
1285,969,969,969
1290,968,968,968
1295,967,967,968
1300,969,969,970
1305,970,970,970
1310,969,970,969
1315,970,970,970
1320,968,968,969
1325,966,966,966
1330,967,966,965
1335,961,961,962
