Time,Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s)
3436,NaN,,,,,,,,,,,,,,,,
3441,0.000847,NaN,0.000980,,,,,,,,,,,,,,
3446,0.000847,0.00118,0.00122,,,,,,,,,,,,,,
3451,0.000847,0.00118,0.00122,,,,,,,,,,,,,,
3456,0.000772,0.00118,0.00145,,,,,,,,,,,,,,
3461,0.000857,0.00100,0.000964,,,,,,,,,,,,,,
3466,0.000817,0.000973,0.000988,,,,,,,,,,,,,,
3471,0.000802,0.000990,0.000983,,,,,,,,,,,,,,
3476,0.000773,0.000992,0.000990,,,,,,,,,,,,,,
3481,0.000780,0.00101,0.000991,,,,,,,,,,,,,,
3486,0.000783,0.000987,0.000986,,,,,,,,,,,,,,
3491,0.000783,0.000978,0.000986,,,,,,,,,,,,,,
3496,0.000785,0.000967,0.000959,,,,,,,,,,,,,,
3501,0.000805,0.000981,0.00114,,,,,,,,,,,,,,
3506,0.000800,0.00110,0.00112,,,,,,,,,,,,,,
3511,0.000791,0.00109,0.00109,,,,,,,,,,,,,,
3516,0.000789,0.00107,0.00108,,,,,,,,,,,,,,
3521,0.000789,0.00108,0.00108,,,,,,,,,,,,,,
3526,0.000791,0.00109,0.00109,,,,,,,,,,,,,,
3531,0.000787,0.00111,0.00112,,,,,,,,,,,,,,
3536,0.000780,0.00108,0.00112,,,,,,,,,,,,,,
3541,0.000769,0.00108,0.00116,,,,,,,,,,,,,,
3546,0.000815,0.000996,0.00100,,,,,,,,,,,,,,
3551,0.000765,0.00108,0.00107,,,,,,,,,,,,,,
3556,0.000765,0.00106,0.00107,,,,,,,,,,,,,,
3561,0.000757,0.00108,0.00108,,,,,,,,,,,,,,
3566,0.000773,0.00108,0.00108,,,,,,,,,,,,,,
3571,0.000773,0.00108,0.00109,,,,,,,,,,,,,,
3576,0.000776,0.00108,0.00108,,,,,,,,,,,,,,
3581,0.000765,0.00107,0.00109,,,,,,,,,,,,,,
3586,0.000765,0.00109,0.00109,,,,,,,,,,,,,,
