Time,Cumulative (Received),Cumulative (Endorsed Successfully),Cumulative (Committed Successfully)
3436,2,2,
3441,6,6,
3446,7,7,
3451,7,7,
3456,7,7,
3461,175,175,230
3466,426,426,480
3471,675,675,730
3476,926,926,980
3481,1175,1175,1230
3486,1426,1426,1480
3491,1511,1511,1504
3496,1511,1511,1504
3501,1511,1511,1734
3506,2571,2571,2874
3511,3821,3821,4124
3516,5071,5071,5374
3521,6321,6321,6624
3526,7571,7571,7874
3531,8821,8821,8894
3536,9015,9015,9008
3541,9015,9015,9008
3546,9015,9015,9008
3551,10876,10876,11498
3556,13376,13376,13998
3561,15876,15876,16498
3566,18376,18376,18998
3571,20876,20876,21498
3576,23376,23376,23998
3581,24019,24019,24012
3586,24019,24019,24012
3591,24141,24139,24592
3596,26250,26249,26862
3601,28695,28694,29312
3606,31149,31148,31762
3611,33597,33597,34202
3616,36047,36047,36662
3621,38499,38498,39112
3626,40950,40949,41562
3631,43407,43407,44022
3636,46062,46062,46762
3641,48853,48851,49552
3646,51647,51646,52342
3651,54433,54432,55122
3656,57219,57219,57922
3661,60012,60012,60712
3666,62803,62802,63502
3671,65596,65595,66292
3676,68501,68501,69282
3681,71692,71691,72492
3686,74895,74895,75702
3691,78094,78090,78902
3696,81312,81309,82112
3701,84522,84522,85322
3706,87717,87717,88522
3711,90932,90932,91732
3716,94299,94298,95592
3721,99516,99515,100862
3726,104901,104900,106242
3731,110300,110300,111652
3736,115709,115709,117062
3741,121100,121098,122442
3746,126486,126481,127842
3751,131919,131915,133292
3756,137356,137351,138712
3761,142777,142771,144142
3766,148186,148182,149562
3771,153644,153641,154992
3776,159034,159031,160392
3781,164426,164421,165792
3786,169844,169840,171212
3791,175278,175273,176642
3796,180704,180701,182072
3801,186119,186117,187482
3806,191555,191551,192922
3811,197032,197028,198392
3816,202465,202462,203802
3821,207841,207841,209202
3826,213258,213257,214612
3831,218693,218690,220052
3836,224103,224101,225472
3841,229559,229557,230922
3846,235007,235006,236372
3851,240421,240420,241772
3856,245831,245829,247192
3861,251275,251271,252612
3866,256688,256687,258052
3871,262133,262132,263512
3876,267563,267559,268922
3881,272963,272963,274322
3886,278345,278342,279722
3891,283562,283561,284232
3896,284976,284976,284969
3901,284976,284976,284969
3906,284976,284976,284969
3911,284979,284979,284969
3916,287835,287831,289158
3921,293150,293149,294468
3926,294976,294976,294968
3931,294976,294976,294968
3936,294976,294976,294968
3941,294985,294976,294968
3946,295032,294976,294968
3951,295081,294976,294968
3956,295133,294976,294968
3961,295188,294976,294968
3966,295240,294976,294968
3971,295296,294976,294968
3976,295351,294976,294968
3981,295408,294976,294968
3986,295467,294976,294968
3991,295524,294976,294968
3996,295586,294976,294968
4001,295647,294976,294968
4006,295710,294976,294968
4011,295774,294976,294968
4016,295838,294976,294968
4021,295906,294976,294968
4026,295974,294976,294968
4031,296045,294976,294968
4036,296116,294976,294968
4041,296189,294976,294968
4046,296265,294976,294968
4051,296341,294976,294968
4056,296420,294976,294968
4061,296501,294976,294968
4066,296585,294976,294968
4071,296671,294976,294968
4076,296759,294976,294968
4081,296850,294976,294968
4086,296943,294976,294968
4091,297040,294976,294968
4096,297141,294976,294968
4101,297243,294976,294968
4106,297351,294976,294968
4111,297462,294976,294968
4116,297577,294976,294968
4121,297697,294976,294968
4126,297821,294976,294968
4131,297951,294976,294968
4136,298087,294976,294968
4141,298230,294976,294968
4146,298380,294976,294968
4151,298537,294976,294968
4156,298702,294976,294968
4161,298878,294976,294968
4166,299064,294976,294968
4171,299263,294976,294968
4176,299474,294976,294968
4181,299703,294976,294968
4186,299950,294976,294968
4191,300219,294976,294968
4196,300515,294976,294968
4201,300842,294976,294968
4206,301207,294976,294968
4211,301626,294976,294968
4216,302111,294976,294968
4221,302689,294976,294968
4226,303015,294976,294968
4231,303342,294976,294968
4236,303707,294976,294968
4241,304125,294976,294968
4246,304272,294976,294968
4251,304272,294976,294968
4256,304272,294976,294968
4261,304272,294976,294968
4266,304272,294976,294968
4271,304272,294976,294968
4276,304272,294976,294968
4281,304272,294976,294968
4286,304272,294976,294968
4291,304272,294976,294968
4306,1,1,
4311,4,4,
4316,12,12,
4321,13,13,
4326,13,13,
4331,13,13,
4336,13,13,30
4341,111,111,200
4346,330,330,450
4351,581,581,700
4356,830,830,950
4361,1081,1081,1200
4366,1330,1330,1420
4371,1486,1486,1500
4376,1517,1517,1504
4381,1517,1517,1504
4386,1517,1517,1504
4391,1517,1517,1504
4396,1546,1546,1734
4401,2166,2165,2814
4406,3381,3381,4064
4411,4630,4630,5314
4416,5881,5881,6564
4421,7130,7130,7814
4426,8353,8352,8834
4431,8985,8985,9008
4436,9021,9021,9008
4441,9021,9021,9008
4446,9021,9021,9008
4451,9038,9038,9368
4456,9930,9930,10618
4461,11464,11463,12858
4466,13964,13963,15348
4471,16464,16464,17858
4476,18964,18963,20358
4481,21448,21448,22488
4486,23056,23056,23738
4491,24024,24024,24011
4496,24024,24024,24011
4501,24024,24024,24011
4506,24024,24024,24011
4511,24024,24024,24011
4516,24286,24286,25301
4521,26110,26109,27411
4526,28486,28486,29821
4531,30892,30892,32231
4536,33299,33299,34641
4541,35717,35714,37051
4546,38124,38124,39461
4551,40540,40540,41881
4556,42949,42946,44371
4561,45543,45543,47031
4566,48235,48235,49741
4571,50958,50958,52471
4576,53676,53676,55191
4581,56393,56393,57911
4586,59113,59112,60621
4591,61829,61826,63341
4596,64553,64551,66071
4601,67406,67406,69061
4606,70420,70419,72141
4611,73514,73514,75241
4616,76616,76616,78341
4621,79717,79717,81441
4626,82819,82816,84541
4631,85910,85908,87631
4636,89005,89005,90721
4641,92306,92306,94811
4646,96835,96825,99511
4651,101672,101669,104361
4656,106518,106517,109231
