Time,node_exporter:9100,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
3421,18.0 MiB,,,,,,,,,,,,,,,,,
3426,22.9 MiB,39.3 MiB,,,,,,,,,,,,,,,,
3431,23.3 MiB,45.7 MiB,63.9 MiB,64.2 MiB,,,,,,,,,,,,,,
3436,22.8 MiB,45.7 MiB,70.5 MiB,68.9 MiB,,,,,,,,,,,,,,
3441,22.9 MiB,49.8 MiB,73.0 MiB,73.2 MiB,,,,,,,,,,,,,,
3446,22.9 MiB,51.8 MiB,77.1 MiB,75.4 MiB,,,,,,,,,,,,,,
3451,23.0 MiB,51.8 MiB,77.1 MiB,77.4 MiB,,,,,,,,,,,,,,
3456,23.2 MiB,60.1 MiB,77.1 MiB,77.4 MiB,,,,,,,,,,,,,,
3461,22.9 MiB,63.6 MiB,145 MiB,141 MiB,,,,,,,,,,,,,,
3466,22.7 MiB,70.4 MiB,149 MiB,145 MiB,,,,,,,,,,,,,,
3471,23.2 MiB,68.9 MiB,152 MiB,145 MiB,,,,,,,,,,,,,,
3476,23.1 MiB,69.7 MiB,154 MiB,152 MiB,,,,,,,,,,,,,,
3481,23.1 MiB,74.9 MiB,156 MiB,152 MiB,,,,,,,,,,,,,,
3486,23.1 MiB,76.9 MiB,156 MiB,152 MiB,,,,,,,,,,,,,,
3491,22.7 MiB,76.9 MiB,157 MiB,152 MiB,,,,,,,,,,,,,,
3496,23.1 MiB,76.9 MiB,157 MiB,152 MiB,,,,,,,,,,,,,,
3501,23.2 MiB,83.2 MiB,157 MiB,152 MiB,,,,,,,,,,,,,,
3506,23.3 MiB,89.4 MiB,159 MiB,153 MiB,,,,,,,,,,,,,,
3511,23.3 MiB,97.5 MiB,161 MiB,159 MiB,,,,,,,,,,,,,,
3516,23.4 MiB,76.7 MiB,162 MiB,161 MiB,,,,,,,,,,,,,,
