Time,Cluster Size,Active Nodes,Leader Changes / Min
3431,1,0,
3436,1,1,
3441,1,1,0
3446,1,1,0
3451,1,1,0
3456,1,1,0
3461,1,1,0
3466,1,1,0
3471,1,1,0
3476,1,1,0
3481,1,1,0
3486,1,1,0
3491,1,1,0
3496,1,1,0
3501,1,1,0
3506,1,1,0
3511,1,1,0
3516,1,1,0
3521,1,1,0
3526,1,1,0
3531,1,1,0
3536,1,1,0
3541,1,1,0
3546,1,1,0
3551,1,1,0
3556,1,1,0
3561,1,1,0
3566,1,1,0
3571,1,1,0
3576,1,1,0
3581,1,1,0
3586,1,1,0
3591,1,1,0
3596,1,1,0
3601,1,1,0
3606,1,1,0
3611,1,1,0
3616,1,1,0
3621,1,1,0
3626,1,1,0
3631,1,1,0
3636,1,1,0
3641,1,1,0
3646,1,1,0
3651,1,1,0
3656,1,1,0
3661,1,1,0
3666,1,1,0
3671,1,1,0
3676,1,1,0
3681,1,1,0
3686,1,1,0
3691,1,1,0
3696,1,1,0
3701,1,1,0
3706,1,1,0
3711,1,1,0
3716,1,1,0
3721,1,1,0
3726,1,1,0
3731,1,1,0
3736,1,1,0
3741,1,1,0
3746,1,1,0
3751,1,1,0
3756,1,1,0
3761,1,1,0
3766,1,1,0
3771,1,1,0
3776,1,1,0
3781,1,1,0
3786,1,1,0
3791,1,1,0
3796,1,1,0
3801,1,1,0
3806,1,1,0
3811,1,1,0
3816,1,1,0
3821,1,1,0
3826,1,1,0
3831,1,1,0
3836,1,1,0
3841,1,1,0
3846,1,1,0
3851,1,1,0
3856,1,1,0
3861,1,1,0
3866,1,1,0
3871,1,1,0
3876,1,1,0
3881,1,1,0
3886,1,1,0
3891,1,1,0
3896,1,1,0
3901,1,1,0
3906,1,1,0
3911,1,1,0
3916,1,1,0
3921,1,1,0
3926,1,1,0
3931,1,1,0
3936,1,1,0
3941,1,1,0
3946,1,1,0
3951,1,1,0
3956,1,1,0
3961,1,1,0
3966,1,1,0
3971,1,1,0
3976,1,1,0
3981,1,1,0
3986,1,1,0
3991,1,1,0
3996,1,1,0
4001,1,1,0
4006,1,1,0
4011,1,1,0
4016,1,1,0
4021,1,1,0
4026,1,1,0
4031,1,1,0
4036,1,1,0
4041,1,1,0
4046,1,1,0
4051,1,1,0
4056,1,1,0
4061,1,1,0
4066,1,1,0
4071,1,1,0
4076,1,1,0
4081,1,1,0
4086,1,1,0
4091,1,1,0
4096,1,1,0
4101,1,1,0
4106,1,1,0
4111,1,1,0
4116,1,1,0
4121,1,1,0
4126,1,1,0
4131,1,1,0
4136,1,1,0
4141,1,1,0
4146,1,1,0
4151,1,1,0
4156,1,1,0
4161,1,1,0
4166,1,1,0
4171,1,1,0
4176,1,1,0
4181,1,1,0
4186,1,1,0
4191,1,1,0
4196,1,1,0
4201,1,1,0
4206,1,1,0
4211,1,1,0
4216,1,1,0
4221,1,1,0
4226,1,1,0
4231,1,1,0
4236,1,1,0
4241,1,1,0
4246,1,1,0
4251,1,1,0
4256,1,1,0
4261,1,1,0
4266,1,1,0
4271,1,1,0
4276,1,1,0
4281,1,1,0
4286,1,1,0
4291,,,0
4296,,,0
4306,1,0,
4311,1,1,0
4316,1,1,0
4321,1,1,0
4326,1,1,0
4331,1,1,0
4336,1,1,0
4341,1,1,0
4346,1,1,0
4351,1,1,0
4356,1,1,0
4361,1,1,0
4366,1,1,0
4371,1,1,0
4376,1,1,0
4381,1,1,0
4386,1,1,0
4391,1,1,0
4396,1,1,0
4401,1,1,0
4406,1,1,0
4411,1,1,0
4416,1,1,0
4421,1,1,0
4426,1,1,0
4431,1,1,0
4436,1,1,0
4441,1,1,0
4446,1,1,0
4451,1,1,0
4456,1,1,0
4461,1,1,0
4466,1,1,0
4471,1,1,0
4476,1,1,0
4481,1,1,0
4486,1,1,0
4491,1,1,0
4496,1,1,0
4501,1,1,0
4506,1,1,0
4511,1,1,0
4516,1,1,0
4521,1,1,0
4526,1,1,0
4531,1,1,0
4536,1,1,0
4541,1,1,0
4546,1,1,0
4551,1,1,0
4556,1,1,0
4561,1,1,0
4566,1,1,0
4571,1,1,0
4576,1,1,0
4581,1,1,0
4586,1,1,0
4591,1,1,0
4596,1,1,0
4601,1,1,0
4606,1,1,0
4611,1,1,0
4616,1,1,0
4621,1,1,0
4626,1,1,0
4631,1,1,0
4636,1,1,0
4641,1,1,0
4646,1,1,0
4651,1,1,0
4656,1,1,0
4661,1,1,0
4666,1,1,0
4671,1,1,0
4676,1,1,0
4681,1,1,0
4686,1,1,0
4691,1,1,0
4696,1,1,0
4701,1,1,0
4706,1,1,0
4711,1,1,0
4716,1,1,0
4721,1,1,0
4726,1,1,0
4731,1,1,0
4736,1,1,0
4741,1,1,0
4746,1,1,0
4751,1,1,0
4756,1,1,0
4761,1,1,0
4766,1,1,0
4771,1,1,0
4776,1,1,0
4781,1,1,0
4786,1,1,0
4791,1,1,0
4796,1,1,0
4801,1,1,0
4806,1,1,0
4811,1,1,0
4816,1,1,0
4821,1,1,0
4826,1,1,0
4831,1,1,0
4836,1,1,0
4841,1,1,0
4846,1,1,0
4851,1,1,0
4856,1,1,0
4861,1,1,0
4866,1,1,0
4871,1,1,0
4876,1,1,0
4881,1,1,0
4886,1,1,0
