Time,Enqueue Duration (s)
3446,NaN
3451,NaN
3456,0.0000329
3461,0.0000335
3466,0.0000328
3471,0.0000327
3476,0.0000319
3481,0.0000318
3486,0.0000310
3491,0.0000309
3496,0.0000300
3501,0.0000306
3506,0.0000292
3511,0.0000288
3516,0.0000280
3521,0.0000286
3526,0.0000286
3531,0.0000293
3536,0.0000285
3541,0.0000293
3546,0.0000327
3551,0.0000298
3556,0.0000290
3561,0.0000285
3566,0.0000283
3571,0.0000283
3576,0.0000280
3581,0.0000279
3586,0.0000280
3591,0.0000270
3596,0.0000253
3601,0.0000249
3606,0.0000245
3611,0.0000247
3616,0.0000247
3621,0.0000250
3626,0.0000249
3631,0.0000252
3636,0.0000250
3641,0.0000253
3646,0.0000257
3651,0.0000260
3656,0.0000258
3661,0.0000256
3666,0.0000251
3671,0.0000251
3676,0.0000256
3681,0.0000263
3686,0.0000271
3691,0.0000270
3696,0.0000270
3701,0.0000271
3706,0.0000272
3711,0.0000277
3716,0.0000297
3721,0.0000333
3726,0.0000356
3731,0.0000369
3736,0.0000366
3741,0.0000365
3746,0.0000370
3751,0.0000376
3756,0.0000379
3761,0.0000376
3766,0.0000373
3771,0.0000370
3776,0.0000375
3781,0.0000376
3786,0.0000379
3791,0.0000376
3796,0.0000378
3801,0.0000377
3806,0.0000379
3811,0.0000383
3816,0.0000391
3821,0.0000398
3826,0.0000394
3831,0.0000386
3836,0.0000378
3841,0.0000379
3846,0.0000388
3851,0.0000387
3856,0.0000384
3861,0.0000376
3866,0.0000377
3871,0.0000378
3876,0.0000383
3881,0.0000389
3886,0.0000388
3891,0.0000370
3896,0.0000355
3901,0.0000318
3906,NaN
3911,0.0000343
3916,0.0000393
3921,0.0000389
3926,0.0000393
3931,0.0000382
3936,NaN
3941,NaN
3946,NaN
3951,NaN
3956,NaN
3961,NaN
3966,NaN
3971,NaN
3976,NaN
3981,NaN
3986,NaN
3991,NaN
3996,NaN
4001,NaN
4006,NaN
4011,NaN
4016,NaN
4021,NaN
4026,NaN
4031,NaN
4036,NaN
4041,NaN
4046,NaN
4051,NaN
4056,NaN
4061,NaN
4066,NaN
4071,NaN
4076,NaN
4081,NaN
4086,NaN
4091,NaN
4096,NaN
4101,NaN
4106,NaN
4111,NaN
4116,NaN
4121,NaN
4126,NaN
4131,NaN
4136,NaN
4141,NaN
4146,NaN
4151,NaN
4156,NaN
4161,NaN
4166,NaN
4171,NaN
4176,NaN
4181,NaN
4186,NaN
4191,NaN
4196,NaN
4201,NaN
4206,NaN
4211,NaN
4216,NaN
4221,NaN
4226,NaN
4231,NaN
4236,NaN
4241,NaN
4246,NaN
4251,NaN
4256,NaN
4261,NaN
4266,NaN
4271,NaN
4276,NaN
4281,NaN
4286,NaN
4291,NaN
4296,NaN
4321,NaN
4326,NaN
4331,NaN
4336,0.0000390
4341,0.0000369
4346,0.0000352
4351,0.0000350
4356,0.0000346
4361,0.0000336
4366,0.0000336
4371,0.0000338
4376,0.0000346
4381,0.0000346
4386,NaN
4391,NaN
4396,0.0000323
4401,0.0000287
4406,0.0000286
4411,0.0000274
4416,0.0000273
4421,0.0000288
4426,0.0000311
4431,0.0000333
4436,0.0000336
4441,0.0000362
4446,NaN
4451,0.0000288
4456,0.0000267
4461,0.0000283
4466,0.0000295
4471,0.0000300
4476,0.0000298
4481,0.0000288
4486,0.0000280
4491,0.0000271
4496,0.0000257
4501,0.0000244
4506,NaN
4511,NaN
4516,0.0000287
4521,0.0000291
4526,0.0000300
4531,0.0000306
4536,0.0000313
4541,0.0000316
4546,0.0000320
4551,0.0000320
4556,0.0000330
