Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
3441,0.402,0.402,
3446,0.380,0.380,
3451,0.333,0.333,
3456,0.0667,0.0667,
3461,10.4,10.4,
3466,25.6,25.6,25.2
3471,40.7,40.7,37.7
3476,50.1,50.1,50
3481,49.9,49.9,50
3486,50.1,50.1,50
3491,39,39,37.3
3496,22.4,22.4,20.6
3501,5.67,5.67,11.6
3506,70.7,70.7,80.7
3511,154,154,164
3516,237,237,240
3521,250,250,250
3526,250,250,250
3531,250,250,242
3536,180,180,170
3541,96.3,96.3,86.3
3546,12.9,12.9,10.6
3551,124,124,145
3556,291,291,311
3561,457,457,478
3566,500,500,500
3571,500,500,500
3576,500,500,500
3581,376,376,356
3586,210,210,189
3591,51,50.9,45.3
3596,149,149,169
3601,312,312,332
3606,467,467,473
3611,490,490,490
3616,490,490,490
3621,490,490,490
3626,490,490,490
3631,491,491,491
3636,504,504,507
3641,527,527,530
3646,549,549,552
3651,558,558,558
3656,558,558,558
3661,558,558,558
3666,558,558,558
3671,558,558,558
3676,566,566,569
3681,593,593,596
3686,620,620,624
3691,640,639,641
3696,641,641,641
3701,642,642,641
3706,642,642,641
3711,641,642,641
3716,652,652,668
3721,787,787,804
3726,931,931,949
3731,1067,1067,1069
3736,1080,1080,1080
3741,1080,1080,1080
3746,1079,1079,1079
3751,1081,1080,1081
3756,1084,1084,1084
3761,1086,1086,1086
3766,1084,1084,1085
3771,1086,1086,1085
3776,1084,1084,1083
3781,1083,1083,1082
3786,1080,1080,1081
3791,1083,1083,1083
3796,1085,1085,1085
3801,1085,1085,1085
3806,1085,1085,1085
3811,1089,1088,1088
3816,1090,1090,1089
3821,1086,1086,1085
3826,1082,1082,1082
3831,1082,1082,1083
3836,1084,1084,1084
3841,1087,1087,1087
3846,1088,1088,1088
3851,1088,1088,1087
3856,1085,1085,1085
3861,1085,1084,1084
3866,1084,1084,1085
3871,1087,1087,1087
3876,1086,1086,1086
3881,1085,1085,1085
