Time,Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s)
3,NaN,0.000385,NaN,NaN,NaN,NaN,0.000634,0.000915,0.000439,0.000531,0.000361,NaN,0.000531,0.000547,0.000594,NaN
8,0.000454,0.000558,0.000594,0.000564,0.000512,0.000511,0.000530,0.000646,0.000664,0.000548,0.000493,0.000595,0.000513,0.000633,0.000583,0.000747
13,0.000513,0.000507,0.000590,0.000503,0.000479,0.000554,0.000579,0.000594,0.000605,0.000535,0.000493,0.000570,0.000496,0.000564,0.000594,0.000569
18,0.000496,0.000532,0.000574,0.000510,0.000495,0.000513,0.000565,0.000507,0.000567,0.000535,0.000591,0.000540,0.000487,0.000569,0.000577,0.000522
23,0.000495,0.000465,0.000504,0.000481,0.000486,0.000505,0.000550,0.000496,0.000450,0.000519,0.000534,0.000478,0.000502,0.000529,0.000538,0.000498
28,0.000452,0.000454,0.000461,0.000495,0.000467,0.000466,0.000502,0.000523,0.000429,0.000512,0.000551,0.000469,0.000476,0.000560,0.000473,0.000493
33,0.000468,0.000458,0.000459,0.000477,0.000479,0.000470,0.000476,0.000540,0.000409,0.000481,0.000546,0.000471,0.000493,0.000520,0.000458,0.000510
38,0.000508,0.000472,0.000451,0.000482,0.000459,0.000509,0.000459,0.000547,0.000452,0.000456,0.000601,0.000487,0.000485,0.000513,0.000445,0.000494
43,0.000559,0.000500,0.000493,0.000511,0.000475,0.000537,0.000531,0.000505,0.000496,0.000490,0.000556,0.000489,0.000541,0.000497,0.000500,0.000530
48,0.000591,0.000524,0.000522,0.000606,0.000486,0.000555,0.000523,0.000503,0.000511,0.000513,0.000544,0.000505,0.000549,0.000552,0.000578,0.000550
53,0.000533,0.000541,0.000538,0.000620,0.000522,0.000529,0.000524,0.000525,0.000519,0.000527,0.000551,0.000501,0.000528,0.000567,0.000576,0.000570
58,0.000531,0.000557,0.000539,0.000572,0.000525,0.000529,0.000515,0.000549,0.000565,0.000505,0.000565,0.000499,0.000498,0.000560,0.000565,0.000570
63,0.000499,0.000554,0.000521,0.000536,0.000564,0.000525,0.000551,0.000578,0.000647,0.000553,0.000545,0.000489,0.000528,0.000554,0.000518,0.000546
68,0.000529,0.000599,0.000586,0.000601,0.000609,0.000558,0.000601,0.000618,0.000704,0.000620,0.000562,0.000535,0.000569,0.000612,0.000562,0.000586
73,0.000549,0.000609,0.000628,0.000686,0.000670,0.000577,0.000595,0.000632,0.000700,0.000678,0.000606,0.000581,0.000680,0.000663,0.000596,0.000589
78,0.000566,0.000647,0.000684,0.000760,0.000653,0.000631,0.000609,0.000652,0.000722,0.000694,0.000640,0.000637,0.000689,0.000717,0.000634,0.000683
83,0.000583,0.000609,0.000674,0.000732,0.000634,0.000610,0.000559,0.000558,0.000706,0.000650,0.000622,0.000656,0.000815,0.000667,0.000608,0.000680
88,0.000475,0.000785,0.000593,0.000844,0.000559,0.000669,0.000364,0.000361,0.000768,0.000175,0.000415,0.000663,0.000601,0.000525,0.000636,0.000814
93,NaN,NaN,0.000199,NaN,NaN,0.000186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000197
98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
