Time,Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s)
0,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
5,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
10,NaN,NaN,,,,,,,NaN,0.000350,NaN,NaN,NaN,NaN,,
15,0.000475,0.000494,,,,,,,0.000465,0.000459,0.000485,0.000473,0.000485,0.000474,,
20,0.000455,0.000489,,,,,,,0.000467,0.000463,0.000467,0.000464,0.000488,0.000465,,
25,0.000460,0.000482,,,,,,,0.000468,0.000468,0.000481,0.000473,0.000492,0.000474,,
30,0.000479,0.000484,,,,,,,0.000474,0.000491,0.000497,0.000478,0.000494,0.000482,,
35,0.000485,0.000490,,,,,,,0.000484,0.000503,0.000509,0.000498,0.000501,0.000506,,
40,0.000476,0.000492,,,,,,,0.000498,0.000511,0.000505,0.000500,0.000500,0.000508,,
45,0.000466,0.000516,,,,,,,0.000506,0.000505,0.000499,0.000505,0.000503,0.000517,,
50,0.000464,0.000511,,,,,,,0.000501,0.000497,0.000501,0.000499,0.000500,0.000499,,
55,0.000479,0.000515,,,,,,,0.000490,0.000495,0.000517,0.000500,0.000500,0.000506,,
60,0.000489,0.000507,,,,,,,0.000495,0.000498,0.000519,0.000521,0.000507,0.000512,,
65,0.000503,0.000528,,,,,,,0.000508,0.000511,0.000529,0.000536,0.000520,0.000542,,
70,0.000507,0.000546,,,,,,,0.000521,0.000529,0.000525,0.000544,0.000531,0.000543,,
75,0.000494,0.000540,,,,,,,0.000521,0.000535,0.000531,0.000530,0.000540,0.000547,,
80,0.000496,0.000538,,,,,,,0.000525,0.000535,0.000535,0.000527,0.000550,0.000544,,
85,0.000490,0.000522,,,,,,,0.000533,0.000527,0.000534,0.000529,0.000547,0.000554,,
90,0.000493,0.000529,,,,,,,0.000544,0.000531,0.000538,0.000538,0.000549,0.000567,,
95,0.000498,0.000541,,,,,,,0.000558,0.000538,0.000540,0.000556,0.000553,0.000557,,
100,0.000521,0.000563,,,,,,,0.000564,0.000555,0.000556,0.000558,0.000560,0.000558,,
105,0.000538,0.000572,,,,,,,0.000575,0.000574,0.000577,0.000569,0.000570,0.000560,,
110,0.000549,0.000580,,,,,,,0.000577,0.000580,0.000587,0.000575,0.000574,0.000563,,
115,0.000539,0.000582,,,,,,,0.000571,0.000590,0.000586,0.000584,0.000581,0.000561,,
120,0.000541,0.000591,,,,,,,0.000575,0.000584,0.000608,0.000582,0.000589,0.000569,,
125,0.000541,0.000584,,,,,,,0.000569,0.000587,0.000605,0.000583,0.000580,0.000580,,
130,0.000544,0.000590,,,,,,,0.000585,0.000585,0.000622,0.000585,0.000581,0.000588,,
135,0.000538,0.000591,,,,,,,0.000580,0.000585,0.000592,0.000594,0.000571,0.000571,,
140,0.000550,0.000598,,,,,,,0.000584,0.000623,0.000627,0.000586,0.000591,0.000606,,
145,0.000640,0.000696,,,,,,,0.000643,0.000714,0.000714,0.000682,0.000703,0.000695,,
150,0.000745,0.000754,,,,,,,0.000715,0.000777,0.000782,0.000763,0.000788,0.000770,,
155,0.000827,0.000834,,,,,,,0.000809,0.000855,0.000818,0.000835,0.000901,0.000823,,
160,0.000830,0.000825,,,,,,,0.000834,0.000853,0.000814,0.000855,0.000900,0.000827,,
165,0.000807,0.000858,,,,,,,0.000841,0.000872,0.000842,0.000851,0.000907,0.000839,,
170,0.000781,0.000852,,,,,,,0.000808,0.000836,0.000844,0.000837,0.000832,0.000837,,
175,0.000781,0.000855,,,,,,,0.000808,0.000854,0.000853,0.000815,0.000807,0.000831,,
180,0.000791,0.000851,,,,,,,0.000833,0.000839,0.000835,0.000817,0.000801,0.000822,,
185,0.000786,0.000827,,,,,,,0.000847,0.000865,0.000879,0.000859,0.000828,0.000856,,
190,0.000810,0.000840,,,,,,,0.000848,0.000837,0.000864,0.000854,0.000842,0.000864,,
195,0.000773,0.000811,,,,,,,0.000809,0.000878,0.000870,0.000860,0.000836,0.000871,,
200,0.000806,0.000819,,,,,,,0.000825,0.000852,0.000818,0.000824,0.000815,0.000822,,
205,0.000782,0.000806,,,,,,,0.000830,0.000892,0.000845,0.000807,0.000832,0.000841,,
210,0.000841,0.000825,,,,,,,0.000862,0.000837,0.000822,0.000795,0.000860,0.000832,,
215,0.000834,0.000852,,,,,,,0.000853,0.000843,0.000871,0.000801,0.000857,0.000852,,
220,0.000858,0.000853,,,,,,,0.000852,0.000805,0.000844,0.000833,0.000861,0.000822,,
225,0.000817,0.000850,,,,,,,0.000828,0.000844,0.000901,0.000837,0.000827,0.000839,,
230,0.000810,0.000838,,,,,,,0.000832,0.000850,0.000855,0.000853,0.000856,0.000865,,
235,0.000781,0.000831,,,,,,,0.000835,0.000866,0.000836,0.000838,0.000849,0.000888,,
240,0.000823,0.000854,,,,,,,0.000860,0.000837,0.000788,0.000853,0.000891,0.000882,,
245,0.000797,0.000839,,,,,,,0.000861,0.000842,0.000813,0.000837,0.000870,0.000850,,
250,0.000837,0.000825,,,,,,,0.000886,0.000817,0.000858,0.000835,0.000847,0.000838,,
255,0.000807,0.000787,,,,,,,0.000866,0.000808,0.000877,0.000805,0.000787,0.000834,,
260,0.000845,0.000808,,,,,,,0.000850,0.000837,0.000856,0.000811,0.000794,0.000862,,
265,0.000852,0.000842,,,,,,,0.000844,0.000864,0.000837,0.000830,0.000806,0.000853,,
270,0.000876,0.000881,,,,,,,0.000862,0.000894,0.000831,0.000860,0.000865,0.000861,,
275,0.000873,0.000862,,,,,,,0.000879,0.000853,0.000886,0.000838,0.000870,0.000827,,
280,0.000859,0.000871,,,,,,,0.000883,0.000848,0.000912,0.000848,0.000871,0.000877,,
285,0.000841,0.000842,,,,,,,0.000883,0.000845,0.000916,0.000836,0.000838,0.000895,,
290,0.000828,0.000888,,,,,,,0.000907,0.000870,0.000911,0.000875,0.000860,0.000937,,
295,0.000861,0.000875,,,,,,,0.000885,0.000867,0.000886,0.000862,0.000842,0.000908,,
300,0.000913,0.000913,,,,,,,0.000933,0.000871,0.000876,0.000862,0.000915,0.000905,,
305,0.000946,0.000868,,,,,,,0.000884,0.000822,0.000829,0.000830,0.000907,0.000875,,
310,0.000908,0.000884,,,,,,,0.000912,0.000833,0.000851,0.000823,0.000953,0.000898,,
315,0.000821,0.000812,,,,,,,0.000820,0.000753,0.000791,0.000805,0.000858,0.000818,,
320,0.000732,0.000774,,,,,,,0.000791,0.000741,0.000763,0.000760,0.000802,0.000772,,
325,0.000645,0.000660,,,,,,,0.000692,0.000589,0.000605,0.000719,0.000700,0.000614,,
330,0.000503,0.000514,,,,,,,0.000561,0.000520,0.000488,0.000534,0.000473,0.000514,,
335,0.000181,NaN,,,,,,,NaN,NaN,NaN,0.000292,NaN,NaN,,
340,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
345,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
