Time,Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s)
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,0.000792,NaN,0.00235,NaN,NaN,NaN,NaN,0.00229,0.00242,0.00329,0.00205,0.00239,NaN,0.00214,0.00247,0.00241,NaN
11,0.000796,0.00229,0.00217,0.00227,0.00234,0.00218,0.00227,0.00222,0.00223,0.00233,0.00214,0.00235,0.00239,0.00209,0.00228,0.00217,0.00224
16,0.000786,0.00228,0.00220,0.00223,0.00224,0.00217,0.00218,0.00221,0.00221,0.00228,0.00218,0.00228,0.00232,0.00216,0.00220,0.00215,0.00219
21,0.000780,0.00226,0.00220,0.00220,0.00221,0.00218,0.00220,0.00216,0.00215,0.00224,0.00217,0.00216,0.00225,0.00219,0.00213,0.00211,0.00218
26,0.000774,0.00222,0.00219,0.00218,0.00213,0.00217,0.00216,0.00217,0.00216,0.00217,0.00222,0.00207,0.00217,0.00219,0.00209,0.00212,0.00215
31,0.000823,0.00218,0.00221,0.00218,0.00214,0.00219,0.00217,0.00216,0.00219,0.00217,0.00222,0.00212,0.00213,0.00223,0.00213,0.00216,0.00211
36,0.000852,0.00224,0.00228,0.00220,0.00223,0.00221,0.00225,0.00227,0.00231,0.00225,0.00233,0.00226,0.00219,0.00228,0.00224,0.00230,0.00217
41,0.000879,0.00230,0.00234,0.00226,0.00229,0.00227,0.00232,0.00235,0.00240,0.00234,0.00237,0.00233,0.00221,0.00237,0.00232,0.00234,0.00227
46,0.000914,0.00239,0.00244,0.00233,0.00236,0.00237,0.00244,0.00244,0.00247,0.00242,0.00244,0.00236,0.00235,0.00244,0.00242,0.00243,0.00236
51,0.00100,0.00241,0.00250,0.00239,0.00242,0.00242,0.00244,0.00242,0.00251,0.00247,0.00244,0.00244,0.00242,0.00246,0.00245,0.00245,0.00242
56,0.00108,0.00242,0.00256,0.00248,0.00253,0.00256,0.00253,0.00244,0.00255,0.00254,0.00251,0.00248,0.00249,0.00257,0.00256,0.00252,0.00252
61,0.00109,0.00242,0.00251,0.00252,0.00256,0.00255,0.00250,0.00244,0.00257,0.00254,0.00253,0.00252,0.00248,0.00257,0.00252,0.00253,0.00257
66,0.00109,0.00238,0.00250,0.00257,0.00255,0.00255,0.00250,0.00250,0.00256,0.00256,0.00253,0.00249,0.00248,0.00258,0.00257,0.00250,0.00255
71,0.00115,0.00243,0.00250,0.00258,0.00255,0.00248,0.00249,0.00254,0.00259,0.00252,0.00254,0.00260,0.00254,0.00252,0.00255,0.00256,0.00252
