Time,Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s)
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,0.000887,NaN,0.00250,NaN,0.00211,NaN,NaN,0.00197,0.00219,0.00225,0.00216,0.00214,NaN,0.00219,0.00210,0.00230,NaN
42,0.000804,0.00234,0.00224,0.00235,0.00233,0.00244,0.00238,0.00221,0.00223,0.00223,0.00231,0.00223,0.00233,0.00222,0.00228,0.00221,0.00235
47,0.000786,0.00228,0.00225,0.00229,0.00229,0.00229,0.00229,0.00224,0.00225,0.00223,0.00227,0.00226,0.00226,0.00225,0.00223,0.00224,0.00226
52,0.00168,0.00235,0.00237,0.00225,0.00232,0.00225,0.00233,0.00257,0.00252,0.00233,0.00261,0.00264,0.00227,0.00233,0.00249,0.00241,0.00227
57,0.00321,0.00301,0.00327,0.00285,0.00301,0.00279,0.00286,0.00333,0.00319,0.00311,0.00322,0.00330,0.00296,0.00303,0.00340,0.00316,0.00268
62,0.00436,0.00383,0.00381,0.00338,0.00359,0.00345,0.00331,0.00373,0.00369,0.00356,0.00361,0.00387,0.00353,0.00368,0.00386,0.00367,0.00353
67,0.00492,0.00464,0.00426,0.00394,0.00421,0.00406,0.00384,0.00401,0.00395,0.00413,0.00381,0.00395,0.00420,0.00410,0.00418,0.00393,0.00398
72,0.00405,0.00314,0.00385,0.00385,0.00398,0.00396,0.00378,0.00356,0.00361,0.00382,0.00348,0.00362,0.00396,0.00383,0.00366,0.00354,0.00417
77,0.00262,0.00262,0.00331,0.00347,0.00350,0.00347,0.00348,0.00304,0.00301,0.00346,0.00299,0.00288,0.00351,0.00318,0.00311,0.00294,0.00364
82,0.000937,0.00215,0.00249,0.00270,0.00251,0.00259,0.00273,0.00232,0.00240,0.00249,0.00239,0.00242,0.00248,0.00241,0.00237,0.00233,0.00302
87,0.000802,0.00220,0.00231,0.00227,0.00222,0.00221,0.00223,0.00221,0.00231,0.00231,0.00220,0.00219,0.00217,0.00224,0.00220,0.00221,0.00232
92,0.000796,0.00215,0.00222,0.00226,0.00212,0.00219,0.00221,0.00210,0.00228,0.00213,0.00223,0.00204,0.00208,0.00216,0.00201,0.00212,0.00222
97,NaN,0.00203,0.00209,0.00205,0.00173,0.00204,0.00228,NaN,NaN,0.00174,NaN,NaN,0.00169,0.00173,0.00176,0.00156,0.00220
102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
