Time,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
1,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404
6,2459,2404,2418,2404,2404,2404,2404,2442,2449,2409,2454,2447,2404,2416,2434,2428,2404
11,2576,2504,2535,2495,2513,2497,2482,2559,2567,2526,2571,2565,2511,2533,2551,2545,2464
16,2695,2623,2653,2613,2631,2616,2600,2678,2686,2645,2690,2684,2630,2652,2670,2664,2582
21,2815,2742,2772,2733,2750,2735,2719,2797,2805,2764,2809,2803,2749,2771,2789,2783,2701
26,2933,2861,2891,2851,2869,2854,2838,2916,2923,2883,2928,2921,2868,2890,2908,2902,2820
31,3083,2983,3026,2970,2995,2973,2957,3060,3070,3013,3075,3067,2992,3024,3048,3041,2939
36,3248,3147,3189,3134,3159,3138,3115,3223,3234,3177,3240,3231,3157,3188,3212,3204,3091
41,3423,3311,3353,3298,3323,3302,3280,3393,3406,3341,3414,3402,3321,3352,3378,3369,3255
46,3630,3503,3556,3486,3518,3490,3463,3599,3613,3541,3621,3610,3515,3554,3585,3576,3433
51,3842,3713,3769,3696,3729,3701,3672,3813,3826,3753,3834,3823,3726,3767,3798,3788,3641
56,4056,3926,3981,3909,3941,3913,3885,4024,4038,3965,4047,4035,3938,3978,4010,4000,3853
61,4271,4139,4195,4122,4155,4127,4098,4239,4253,4179,4261,4249,4152,4193,4224,4215,4067
66,4486,4354,4410,4336,4369,4341,4313,4454,4468,4393,4476,4464,4367,4407,4439,4429,4281
71,4700,4569,4622,4552,4584,4557,4528,4668,4682,4606,4690,4678,4582,4620,4652,4643,4496
76,4918,4785,4841,4767,4801,4772,4742,4886,4900,4825,4909,4896,4797,4839,4870,4861,4710
81,5137,5004,5060,4986,5019,4991,4962,5104,5118,5043,5127,5115,5017,5058,5089,5079,4929
86,5357,5222,5278,5204,5237,5209,5179,5324,5338,5262,5347,5334,5233,5276,5309,5299,5147
91,5578,5438,5498,5420,5455,5425,5395,5544,5559,5481,5568,5555,5452,5496,5529,5519,5368
96,5805,5666,5724,5647,5682,5653,5622,5771,5785,5708,5795,5781,5679,5722,5755,5745,5589
101,6029,5892,5949,5873,5906,5878,5848,5995,6010,5931,6019,6006,5903,5946,5979,5970,5816
106,6251,6115,6171,6098,6131,6103,6072,6218,6233,6154,6241,6228,6128,6169,6202,6192,6040
111,6477,6338,6397,6320,6355,6325,6294,6443,6458,6381,6468,6455,6352,6394,6428,6417,6262
116,6705,6566,6625,6547,6582,6552,6521,6671,6686,6608,6695,6682,6579,6623,6655,6646,6488
121,6926,6782,6849,6770,6806,6774,6750,6894,6905,6832,6915,6902,6803,6846,6879,6870,6716
126,7157,7015,7075,6997,7032,7002,6971,7123,7138,7058,7147,7134,7029,7073,7107,7096,6938
131,7405,7245,7306,7226,7261,7232,7201,7348,7362,7287,7377,7365,7258,7304,7340,7327,7167
136,7670,7360,7542,7462,7488,7457,7421,7589,7613,7520,7632,7609,7496,7543,7569,7568,7400
141,7903,7428,7765,7701,7703,7694,7652,7800,7828,7747,7865,7837,7730,7771,7803,7801,7639
146,8124,7530,8009,7928,7924,7920,7865,8035,8056,7971,8103,8059,7971,7999,8026,8038,7857
151,8296,7645,8248,8172,8158,8156,8104,8269,8279,8221,8287,8276,8216,8244,8261,8256,8087
156,8535,7977,8430,8356,8394,8363,8331,8468,8478,8417,8495,8484,8392,8426,8453,8445,8304
161,8783,8051,8658,8578,8608,8580,8549,8692,8695,8643,8734,8709,8609,8648,8683,8679,8513
166,8973,8144,8910,8797,8835,8803,8786,8940,8945,8872,8971,8956,8836,8883,8935,8933,8727
171,9127,8645,9026,8982,8991,8983,8979,9071,9092,9010,9099,9072,8990,9024,9052,9044,8975
176,9428,8789,9240,9154,9196,9177,9148,9284,9290,9203,9318,9293,9183,9211,9257,9225,9117
181,9707,8856,9474,9374,9409,9394,9382,9503,9528,9427,9531,9528,9414,9442,9465,9453,9331
186,9893,8959,9721,9598,9633,9626,9619,9735,9750,9655,9758,9757,9635,9671,9699,9681,9575
191,10133,9060,9940,9833,9873,9844,9843,9952,9966,9868,9978,9973,9852,9890,9922,9903,9802
196,10274,9153,10156,10043,10078,10051,10069,10185,10193,10082,10209,10190,10055,10121,10148,10124,10008
201,10440,9224,10391,10267,10323,10283,10308,10439,10439,10311,10440,10439,10275,10342,10393,10347,10231
206,10450,9850,10443,10441,10442,10441,10440,10445,10446,10443,10446,10446,10442,10443,10444,10444,10440
211,10732,10505,10577,10508,10538,10512,10485,10603,10633,10562,10655,10631,10534,10587,10614,10598,10459
216,11012,10548,10783,10715,10755,10729,10703,10820,10846,10765,10875,10842,10738,10781,10829,10799,10657
221,11333,10596,11014,10946,10984,10949,10917,11037,11051,11017,11123,11071,10960,11012,11058,11012,10881
226,11542,10692,11257,11184,11210,11196,11153,11259,11290,11228,11362,11293,11208,11242,11277,11252,11114
231,11790,10805,11484,11432,11433,11414,11406,11473,11502,11462,11578,11516,11439,11469,11492,11488,11348
236,11956,10893,11696,11638,11649,11637,11616,11704,11731,11678,11817,11757,11652,11692,11717,11730,11564
241,12163,11025,11938,11879,11880,11862,11859,11933,11969,11908,12030,11981,11871,11937,11946,11986,11791
