Time,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
2,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
7,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
12,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
17,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
22,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
27,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
32,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
37,939,905,917,905,906,905,905,930,934,913,937,933,905,917,926,923,905
42,1.06 K,985,1.02 K,975,994,978,961,1.04 K,1.05 K,1.01 K,1.06 K,1.05 K,993,1.02 K,1.03 K,1.03 K,942
47,1.20 K,1.11 K,1.14 K,1.10 K,1.12 K,1.10 K,1.09 K,1.17 K,1.18 K,1.13 K,1.19 K,1.18 K,1.12 K,1.14 K,1.16 K,1.15 K,1.07 K
52,1.41 K,1.27 K,1.33 K,1.25 K,1.28 K,1.26 K,1.23 K,1.38 K,1.39 K,1.31 K,1.40 K,1.39 K,1.28 K,1.32 K,1.36 K,1.35 K,1.21 K
57,1.66 K,1.44 K,1.57 K,1.49 K,1.53 K,1.49 K,1.46 K,1.63 K,1.64 K,1.55 K,1.65 K,1.64 K,1.52 K,1.57 K,1.61 K,1.59 K,1.42 K
62,1.91 K,1.57 K,1.82 K,1.74 K,1.78 K,1.74 K,1.71 K,1.87 K,1.89 K,1.80 K,1.90 K,1.88 K,1.77 K,1.82 K,1.86 K,1.84 K,1.67 K
67,2.13 K,1.70 K,2.06 K,1.98 K,2.01 K,1.98 K,1.95 K,2.10 K,2.11 K,2.05 K,2.12 K,2.11 K,2.01 K,2.06 K,2.08 K,2.08 K,1.92 K
72,2.26 K,2.18 K,2.22 K,2.17 K,2.19 K,2.18 K,2.16 K,2.24 K,2.25 K,2.21 K,2.25 K,2.25 K,2.19 K,2.22 K,2.23 K,2.23 K,2.13 K
77,2.38 K,2.31 K,2.34 K,2.30 K,2.32 K,2.30 K,2.29 K,2.37 K,2.37 K,2.33 K,2.37 K,2.37 K,2.32 K,2.34 K,2.36 K,2.35 K,2.27 K
82,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.39 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.38 K
87,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K
92,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K
97,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K
102,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K
107,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K
112,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K
117,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K
122,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K
127,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K,2.40 K
