Time,orderer.dwntp.com:8443 (K),peer0.org1.dwntp.com:9443 (K),peer1.org1.dwntp.com:9443 (K),peer10.org1.dwntp.com:9443 (K),peer11.org1.dwntp.com:9443 (K),peer12.org1.dwntp.com:9443 (K),peer13.org1.dwntp.com:9443 (K),peer14.org1.dwntp.com:9443 (K),peer15.org1.dwntp.com:9443 (K),peer2.org1.dwntp.com:9443 (K),peer3.org1.dwntp.com:9443 (K),peer4.org1.dwntp.com:9443 (K),peer5.org1.dwntp.com:9443 (K),peer6.org1.dwntp.com:9443 (K),peer7.org1.dwntp.com:9443 (K),peer8.org1.dwntp.com:9443 (K),peer9.org1.dwntp.com:9443 (K)
3,2.41,2.41,2.41,,,,,,,2.41,2.41,,,,,,
8,2.54,2.43,2.48,,,,,,,2.47,2.54,,,,,,
13,2.76,2.61,2.67,,,,,,,2.66,2.75,,,,,,
18,3.00,2.85,2.91,,,,,,,2.90,2.99,,,,,,
23,3.24,3.09,3.15,,,,,,,3.14,3.23,,,,,,
28,3.48,3.33,3.40,,,,,,,3.38,3.47,,,,,,
33,3.72,3.57,3.64,,,,,,,3.62,3.71,,,,,,
38,3.96,3.82,3.88,,,,,,,3.86,3.95,,,,,,
43,4.20,4.06,4.12,,,,,,,4.10,4.19,,,,,,
48,4.45,4.30,4.36,,,,,,,4.34,4.44,,,,,,
53,4.72,4.56,4.63,,,,,,,4.61,4.71,,,,,,
58,4.99,4.83,4.90,,,,,,,4.88,4.98,,,,,,
63,5.26,5.10,5.17,,,,,,,5.15,5.25,,,,,,
68,5.54,5.37,5.44,,,,,,,5.42,5.52,,,,,,
73,5.81,5.64,5.71,,,,,,,5.69,5.80,,,,,,
78,6.08,5.91,5.98,,,,,,,5.96,6.07,,,,,,
83,6.35,6.19,6.26,,,,,,,6.24,6.34,,,,,,
88,6.63,6.46,6.53,,,,,,,6.51,6.61,,,,,,
93,6.92,6.74,6.82,,,,,,,6.80,6.91,,,,,,
98,7.23,7.05,7.12,,,,,,,7.10,7.22,,,,,,
103,7.54,7.35,7.43,,,,,,,7.41,7.53,,,,,,
108,7.85,7.66,7.74,,,,,,,7.72,7.84,,,,,,
113,8.16,7.97,8.05,,,,,,,8.03,8.15,,,,,,
118,8.47,8.29,8.36,,,,,,,8.34,8.46,,,,,,
123,8.78,8.59,8.67,,,,,,,8.65,8.77,,,,,,
128,9.09,8.90,8.98,,,,,,,8.96,9.08,,,,,,
133,9.51,9.23,9.35,,,,,,,9.31,9.49,,,,,,
138,9.98,9.69,9.81,,,,,,,9.77,9.96,,,,,,
143,10.5,10.2,10.3,,,,,,,10.3,10.4,,,,,,
148,11.0,10.7,10.8,,,,,,,10.7,10.9,,,,,,
153,11.4,11.1,11.3,,,,,,,11.2,11.4,,,,,,
158,11.9,11.6,11.8,,,,,,,11.7,11.9,,,,,,
163,12.4,12.1,12.2,,,,,,,12.2,12.4,,,,,,
168,12.9,12.6,12.7,,,,,,,12.7,12.9,,,,,,
173,13.4,13.1,13.2,,,,,,,13.2,13.4,,,,,,
178,13.9,13.6,13.7,,,,,,,13.7,13.9,,,,,,
183,14.4,14.1,14.2,,,,,,,14.2,14.4,,,,,,
188,14.9,14.6,14.7,,,,,,,14.7,14.8,,,,,,
193,15.3,15.1,15.2,,,,,,,15.1,15.3,,,,,,
198,15.8,15.5,15.7,,,,,,,15.6,15.8,,,,,,
203,16.3,16.0,16.1,,,,,,,16.1,16.3,,,,,,
208,16.8,16.5,16.6,,,,,,,16.6,16.8,,,,,,
213,17.3,17.0,17.1,,,,,,,17.1,17.3,,,,,,
218,17.8,17.5,17.6,,,,,,,17.6,17.8,,,,,,
223,18.3,18.0,18.1,,,,,,,18.1,18.2,,,,,,
228,18.7,18.5,18.6,,,,,,,18.5,18.7,,,,,,
233,19.2,18.9,19.1,,,,,,,19.0,19.2,,,,,,
238,19.7,19.4,19.6,,,,,,,19.5,19.7,,,,,,
243,20.2,19.9,20.0,,,,,,,20.0,20.2,,,,,,
248,20.7,20.4,20.5,,,,,,,20.5,20.7,,,,,,
253,21.2,20.9,21.0,,,,,,,21.0,21.2,,,,,,
258,21.7,21.4,21.5,,,,,,,21.5,21.6,,,,,,
263,22.2,21.9,22.0,,,,,,,22.0,22.1,,,,,,
268,22.7,22.4,22.5,,,,,,,22.4,22.6,,,,,,
273,23.1,22.9,23.0,,,,,,,22.9,23.1,,,,,,
278,23.6,23.3,23.5,,,,,,,23.4,23.6,,,,,,
283,24.1,23.8,23.9,,,,,,,23.9,24.1,,,,,,
288,24.6,24.3,24.4,,,,,,,24.4,24.6,,,,,,
293,25.1,24.8,24.9,,,,,,,24.9,25.1,,,,,,
298,25.6,25.3,25.4,,,,,,,25.4,25.6,,,,,,
303,26.1,25.8,25.9,,,,,,,25.9,26.1,,,,,,
308,26.4,26.2,26.3,,,,,,,26.3,26.4,,,,,,
313,26.5,26.5,26.5,,,,,,,26.5,26.5,,,,,,
318,26.5,26.5,26.5,,,,,,,26.5,26.5,,,,,,
323,26.5,26.5,26.5,,,,,,,26.5,26.5,,,,,,
328,26.5,26.5,26.5,,,,,,,26.5,26.5,,,,,,
