Time,orderer.dwntp.com:8443 (K),peer0.org1.dwntp.com:9443 (K),peer1.org1.dwntp.com:9443 (K),peer10.org1.dwntp.com:9443 (K),peer11.org1.dwntp.com:9443 (K),peer12.org1.dwntp.com:9443 (K),peer13.org1.dwntp.com:9443 (K),peer14.org1.dwntp.com:9443 (K),peer15.org1.dwntp.com:9443 (K),peer2.org1.dwntp.com:9443 (K),peer3.org1.dwntp.com:9443 (K),peer4.org1.dwntp.com:9443 (K),peer5.org1.dwntp.com:9443 (K),peer6.org1.dwntp.com:9443 (K),peer7.org1.dwntp.com:9443 (K),peer8.org1.dwntp.com:9443 (K),peer9.org1.dwntp.com:9443 (K)
3,905,905,905,,,,,,,905,905,905,905,905,905,,
8,984,925,941,,,,,,,936,979,972,929,940,957,,
13,1.13,1.03,1.07,,,,,,,1.06,1.12,1.10,1.04,1.06,1.08,,
18,1.38,1.22,1.29,,,,,,,1.27,1.37,1.35,1.24,1.29,1.32,,
23,1.63,1.47,1.54,,,,,,,1.52,1.62,1.60,1.49,1.54,1.57,,
28,1.88,1.72,1.79,,,,,,,1.77,1.87,1.85,1.74,1.79,1.82,,
33,2.13,1.97,2.04,,,,,,,2.02,2.12,2.10,1.99,2.04,2.07,,
38,2.30,2.20,2.25,,,,,,,2.24,2.29,2.28,2.21,2.25,2.27,,
43,2.40,2.35,2.38,,,,,,,2.37,2.40,2.40,2.35,2.38,2.39,,
48,2.41,2.41,2.41,,,,,,,2.41,2.41,2.41,2.41,2.41,2.41,,
53,2.41,2.41,2.41,,,,,,,2.41,2.41,2.41,2.41,2.41,2.41,,
58,2.41,2.41,2.41,,,,,,,2.41,2.41,2.41,2.41,2.41,2.41,,
63,2.41,2.41,2.41,,,,,,,2.41,2.41,2.41,2.41,2.41,2.41,,
68,2.41,2.41,2.41,,,,,,,2.41,2.41,2.41,2.41,2.41,2.41,,
