Time,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
4,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
9,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
14,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
19,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
24,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
29,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
34,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
39,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
44,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
49,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
54,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
59,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
64,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
69,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
74,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
79,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
84,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
89,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
94,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
99,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
104,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
109,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
114,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
119,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
124,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
129,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
134,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
139,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
144,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
149,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
154,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
159,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
164,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
169,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
174,22898,22898,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
179,22898,,22898,,,,,,,22898,22898,22898,22898,22898,22898,,
