Time,Cumulative (Received),Cumulative (Endorsed Successfully),Cumulative (Committed Successfully)
0,24035,24035,24010
5,24035,24035,24010
10,24035,24035,24020
15,24309,24309,25120
20,26072,26072,27330
25,28362,28362,29630
30,30662,30661,31920
35,32944,32944,34210
40,35243,35243,36520
45,37545,37544,38810
50,39856,39856,41130
55,42174,42173,43490
60,44602,44601,45990
65,47132,47131,48530
70,49684,49684,51080
75,52225,52225,53620
80,54761,54759,56170
85,57317,57317,58720
90,59872,59868,61260
95,62391,62391,63820
100,65011,65011,66540
105,67771,67770,69310
110,70564,70564,72120
115,73385,73385,74930
120,76190,76189,77730
125,78984,78984,80540
130,81815,81814,83360
135,84612,84610,86180
140,87615,87612,89610
145,91342,91338,93430
150,95153,95152,97190
155,98900,98892,100936
160,102623,102615,104560
165,106308,106305,108320
170,110022,110002,112140
175,113876,113870,115910
180,117646,117638,119740
185,121470,121460,123540
190,125267,125253,127360
195,129058,129051,131110
200,132815,132804,134920
205,136619,136589,138640
210,140304,140301,142350
215,144050,144043,146060
220,147741,147739,149770
225,151435,151420,153410
230,155106,155101,157150
235,158833,158830,160790
240,162548,162531,164580
245,166251,166244,168230
250,169900,169889,171940
255,173623,173622,175700
260,177337,177329,179390
265,181079,181070,183120
270,184781,184779,186750
275,188390,188378,190440
280,192046,192046,194080
285,195738,195733,197770
290,199452,199424,201370
295,203037,203029,204980
300,206609,206592,208530
305,210096,210086,212100
310,213777,213770,215780
315,217288,217285,218540
320,218932,218932,218907
325,218932,218932,218907
330,218932,218932,218907
335,218932,218932,218907
340,218932,218932,218907
345,218932,218932,218907
