Time,Avg Endorsement Latency
3,0.0020109675506291033
8,NaN
13,NaN
18,NaN
23,NaN
28,NaN
33,NaN
38,NaN
43,NaN
48,NaN
53,NaN
58,NaN
63,NaN
68,NaN
73,NaN
78,NaN
83,NaN
88,NaN
93,NaN
98,NaN
103,NaN
108,NaN
113,NaN
118,NaN
123,NaN
128,NaN
133,NaN
138,NaN
143,NaN
148,NaN
153,NaN
158,NaN
163,NaN
168,NaN
173,NaN
178,NaN
183,NaN
188,NaN
193,NaN
198,NaN
203,NaN
208,NaN
213,NaN
218,NaN
223,NaN
228,NaN
233,NaN
238,NaN
243,NaN
248,NaN
253,NaN
258,NaN
263,NaN
268,NaN
273,NaN
278,NaN
283,NaN
288,NaN
293,NaN
298,NaN
303,NaN
308,NaN
313,NaN
318,NaN
323,NaN
328,NaN
333,NaN
338,NaN
343,NaN
348,NaN
353,NaN
358,NaN
363,NaN
368,NaN
