Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
1,0.267,0.0667,1.07,0.867,0.867,0.867,0.933,0.933,1.00,0.933,0.733,0.933,0.867,1.00,0.867,0.933,1.000,0.933
6,0.333,5.73,1.13,1.87,0.933,0.867,0.933,1.00,3.40,3.67,1.13,4.00,3.47,0.867,1.73,2.73,2.47,1.000
11,0.333,17.3,15.1,8.67,6.27,7.47,6.47,5.80,10,10.5,7.93,10.6,10.3,7.07,8.47,9.40,9.00,4.73
16,0.333,28.5,29.8,15.5,12.9,14.1,13.1,12.3,16.9,17.3,14.9,17.5,17.1,13.9,15.3,16.4,15.9,11.3
21,0.267,34.4,44.9,21.2,19.6,20.9,19.9,19.1,21.1,21.2,21.2,21.1,21.2,20.7,21.1,21.3,20.8,18.1
26,0.333,34.3,46.1,21.1,20.9,21.0,21.1,21.0,20.9,20.9,21.1,21.0,20.9,21.1,21.0,21.1,20.9,21.1
31,0.333,38.1,47.0,21.9,21.0,21.5,21.1,21.1,22.5,22.8,21.7,23.3,22.9,21.3,21.7,22.1,22.1,21.1
36,0.400,43.6,56.1,25.9,24.6,25.2,24.9,24.4,26.5,26.9,25.7,26.8,26.6,25.1,25.6,26.1,26.1,23.7
41,0.467,50.1,64.9,29.3,28.1,28.7,28.3,27.7,30.5,30.9,29.2,31.0,30.9,28.6,29.1,29.7,29.5,27.4
46,0.400,56.4,78.6,34.5,33.5,33.8,33.5,32.7,34.9,35.3,34.5,34.9,35.2,33.9,34.6,34.9,34.8,31.7
51,0.467,61.3,87.2,37.5,36.6,36.7,36.5,36.1,38.1,38.2,37.6,38.6,38.5,36.7,37.4,38.0,38.0,35.5
56,0.467,65.2,96.7,41.6,40.4,40.6,40.5,40.1,41.9,41.8,41.5,41.7,41.9,40.5,41.3,41.9,42.0,39.3
61,0.533,66.2,101,42.5,42.1,42.0,42.2,42.0,42.7,42.4,42.5,42.3,42.6,41.9,42.1,42.5,42.5,41.9
66,0.533,66.2,102,42.8,42.8,42.7,42.7,42.5,42.7,42.7,42.6,42.5,42.5,42.5,42.5,42.7,42.6,42.2
71,0.533,66.2,102,42.9,42.7,42.7,42.3,42.7,42.9,43.1,42.6,43.1,42.9,42.5,42.8,42.9,42.8,42.1
76,0.600,66.2,103,43.3,43.5,43.8,43.3,43.4,43.5,43.5,43.1,43.6,43.0,43.3,43.1,43.4,43.2,43.3
81,0.600,67.1,104,43.6,43.7,44.1,43.4,43.7,44.2,44.0,43.5,44.0,43.3,43.5,43.4,43.8,43.7,44.0
86,0.600,67.4,104,43.7,44.3,44.5,44.1,44.1,44.2,43.8,43.9,44.0,43.3,44.3,43.6,43.9,43.8,44.1
91,0.600,66.9,104,44.7,44.5,44.7,44.3,45,44.9,44.9,44.7,45.1,44.7,44.7,44.5,45,44.7,44.1
96,0.667,66.9,105,45.6,45.1,45.3,45.3,45.7,45.4,45.8,45.3,45.5,45.9,45.5,45.5,46.0,45.3,45
101,0.600,67.0,106,46.2,45.7,46.0,45.9,46.4,45.6,46.1,45.9,45.9,46.1,45.9,46.1,46.3,45.9,45.8
106,0.667,67.1,107,46.8,45.7,46.0,46.1,46.0,46.1,46.2,46.3,46.1,46.2,46.0,46.7,46.5,46.3,46.2
111,0.600,67.0,107,46.6,46.5,46.7,46.7,46.5,46.1,45.9,46.5,46.3,46.1,46.5,46.4,46.3,46.1,46.6
116,0.600,67.0,107,46.9,46.6,46.4,46.7,46.5,46.8,46.4,46.6,46.7,46.4,46.5,46.3,46.6,46.5,46.6
121,0.533,66.5,108,46.8,47.5,47.1,47.5,46.8,47.1,47.4,47.1,47.7,47.2,47.0,46.7,47.0,46.5,46.9
126,0.533,66.7,108,47.9,48.0,47.7,47.8,48.0,48.1,48.1,48.2,48.1,47.6,47.5,47.9,47.9,48.0,47.9
131,0.600,67.9,109,48.0,48.3,48.3,48.3,48.4,48.5,48.9,48.3,48.9,48.6,48.1,48.3,48.5,47.9,48.1
136,0.667,68.2,102,49.3,49.2,49.3,48.7,49.2,50.3,50.4,49.1,50.3,49.8,49.4,49.8,49.7,49.9,49.5
141,0.734,65.3,91.6,51.2,51.1,50.1,50.8,49.7,51.6,52.5,50.9,52.3,51.9,51.1,51.7,52.1,51.1,50.2
146,0.800,61.6,82.6,53.7,52.6,51.5,52.6,51.8,53.4,53.7,53.0,53.0,52.4,53.3,53.6,53.3,52.7,52.9
151,0.667,57.0,80.1,52.9,53.0,52.1,53.7,53.2,51.9,51.3,53.8,48.0,49.6,53.4,52.7,52.3,49.9,53.5
156,0.600,57.6,94.7,49.1,48.1,50.8,49.7,51.3,50.3,49.7,49.7,47.0,48.5,48.5,48.3,49.3,47.6,51.0
161,0.600,58.6,94.6,48.5,48.3,51.2,49.5,51.3,49.5,49.2,50.3,47.5,48.7,48.3,48.6,49.9,48.2,49.5
166,0.667,58.3,93.1,49.4,48.0,50.7,49.2,51.5,50.4,51.4,49.5,50.6,51.4,48.3,49.1,50.9,50.3,48.9
171,0.733,53.2,97.3,43.8,47.2,45.4,47.3,49.2,44.0,45.6,44.9,43.7,43.6,45.9,44.9,44.1,43.5,51.2
176,0.667,53.5,101,43.7,43.5,44.3,44.8,44.2,45.1,45.6,43.7,43.5,44.4,43.3,44.4,43.2,41.7,45.5
181,0.667,55.9,99.6,43.8,44.0,44.0,44.9,43.7,44.5,45.7,44.3,43.3,44.5,44.3,44.7,42.3,41.6,46.5
186,0.600,57.9,80.3,53.6,48.9,51.0,50.3,47.0,52.9,52.7,52.3,51.3,53.3,50.9,52.3,51.3,50.5,47.3
191,0.667,55.3,75.9,53.1,53.6,52.9,52.7,50.7,52.1,54.1,52.1,51.9,53.3,53.0,52.2,52.1,52.1,54.3
196,0.667,51.4,75.3,53.9,53.8,53.5,52.7,50.9,53.6,53.9,52.6,53.8,52.5,51.7,53.7,54.6,52.9,54.0
201,0.733,48.3,73.5,52.9,53.6,54.3,52.5,51.0,53.7,54.1,52.7,52.2,52.3,51.3,53.3,54.7,52.7,52.7
206,0.667,33.8,88.3,40.6,47.7,45.1,47.1,44.7,38.7,37.9,44.9,36.4,36.8,45.6,43.4,41.3,42.3,50.6
211,0.600,41.0,115,32.9,35.3,35,35.5,31.3,34.0,34.9,36.1,34.0,34.3,36.0,35.5,35.4,36.0,35.3
216,0.533,45.5,119,32.6,34.5,34.7,36.2,30.8,34.5,34.8,35.7,35.1,34.1,35.8,35.1,33.9,35.5,33.9
221,0.533,62.4,106,45.7,40,43.0,40.8,37.9,48.8,49.0,45.3,49.9,49.2,40.9,45,47.1,44.8,36.0
226,0.667,57.6,80.1,53.1,52.7,52.9,53.7,51.8,52.1,52.4,52.6,50.5,51.3,51.9,51.3,51.0,50.8,50.7
231,0.733,56.9,79.9,53.7,54.5,51.9,52.3,54.2,50.6,52.3,52.7,49.7,52.4,52.8,52.1,52.2,53.1,52.9
236,0.800,52.5,75.8,53.3,53.7,52.1,54.1,54.4,52.5,53.5,51.8,49.3,52.8,53.5,53.2,52.1,55.1,52.7
241,0.733,52.2,74.3,52.7,53.4,52.3,52.6,54.9,52.7,53.5,52.8,48.1,53.3,52.5,53.8,53.3,55.7,52.9
246,0.733,47.1,70.4,52.9,52.3,53.7,53.6,54.1,53.2,53.3,52.9,50.1,52.0,52.1,54.3,53.5,53.1,53.5
251,0.600,34.2,80.3,44.1,48.9,48.1,49.5,49.7,43.2,42.1,46.2,35.9,40.3,47.9,44.5,44.0,41.8,54.2
256,0.600,38.1,110,36.0,34.9,37.0,36.2,33.7,38.5,37.3,36.7,35.1,36.3,36.8,36.0,37.4,34.3,38.5
261,0.533,46.3,116,35.9,34.9,35.5,34.9,32.2,38.6,38.1,36.9,33.4,35.9,35.9,35.0,35.7,35.7,34.9
266,0.666,61.5,108,43.9,37.6,40.3,37.9,35.2,46.7,49.5,42.7,47.7,45.3,39.2,42.1,44.9,45.5,34.0
271,0.733,56.8,78.5,52.4,50.9,51.9,51.3,50.4,51.7,54.0,50.8,51.7,50.4,49.7,49.1,50.7,52.5,50.1
276,0.733,52.5,74.1,52.1,51.6,52.8,52.4,51.3,52.8,52.9,51.3,52.2,50.6,51.6,49.3,52.5,52.3,52.5
281,0.667,50.3,73.0,53.3,52.5,52.5,52.0,52.5,53.8,51.9,51.3,53.7,52.3,52.7,51.3,52.9,53.5,52.1
286,0.600,46.1,72.3,51.9,52.6,52.9,52.8,53.3,55.7,53.1,53.1,53.9,52.2,53.6,51.7,53.4,53.9,51.9
291,0.667,40.1,69.7,53.0,52.9,53.3,53.7,54.4,50.9,49.8,52.2,48.9,52.2,52.9,47.7,53.9,53.0,52.7
296,0.667,36.3,100,38.9,44.4,41.6,45.3,47.2,39.5,39.9,40.8,38.8,41.7,41.9,33.0,41.4,39.3,48.9
301,0.733,46.9,112,39.2,40.1,38.5,40.5,40.3,36.8,37.8,39.1,37.0,40.9,39.2,32.4,41.1,37.1,40.9
306,0.667,54.3,120,38.1,39.5,36.8,38.4,39.1,41.0,41.9,39.5,42.9,42.1,37.9,36.7,39.4,38.0,39.5
311,0.667,54.3,89.7,54.3,49.3,51.1,49.0,48.2,54.2,55.0,54.1,53.9,55.0,51.1,54.0,54.8,53.9,44.3
316,0.600,48.7,98.8,48.9,50.7,50.2,50,51.1,49.3,49.3,49.1,47.6,48.1,48.6,48.5,48.3,49.5,50.3
321,0.600,53.7,107,46.5,47.2,48.4,47.9,47.3,46.3,46.4,46.4,44.7,45.3,47.2,46.2,46.4,47.0,45.2
326,0.600,62.3,115,42.5,43.6,44.2,44.2,43.1,42.8,42.4,41.7,41.8,41.6,42.4,41.6,42.3,42.7,42.0
331,0.600,62.9,104,44.4,45.2,45.3,45.4,44.9,43.4,43.3,45.1,43.2,43.3,45.1,44.5,43.9,43.9,42.7
336,0.600,55.8,88.5,39.3,41.1,40.3,41.0,42.0,38.3,38.1,40.1,38.0,38.3,40,39.4,39.0,38.9,42.5
341,0.533,46.3,76.9,33.2,35.7,35.3,35.5,36.7,30.9,30.1,34.5,29.5,30.1,34.9,33.6,32.1,32.3,37.4
346,0.467,28.3,51.8,21.1,24.3,23.0,24.0,26.1,19.1,18.6,21.7,18.3,18.7,22.7,21.1,19.9,20.1,28.1
351,0.400,11.9,30.3,11.3,14.7,13.4,14.5,15.9,9.60,8.93,12.1,8.40,8.87,13.4,11.5,10,10.3,17.3
356,0.333,0.133,8.40,1.80,5.20,3.67,4.80,6.07,1.07,1.00,2.53,1.07,1.13,3.80,2.00,1.20,1.13,7.53
361,0.333,0.0667,1.00,1.00,1.07,0.933,1.07,1.000,0.933,1.00,0.867,0.933,0.867,1.000,0.933,1.07,1.000,1.07
366,0.333,0.0667,1.07,0.933,1.00,1.00,1.07,0.933,0.867,0.933,0.867,0.933,0.867,0.933,1.00,1.00,1.00,0.933
