Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
1,0.400,0.0667,1.20,1.13,1.13,1.13,1.13,1.07,1.07,0.933,1.000,0.933,0.867,1.13,1.07,0.933,1.00,1.53
6,0.400,0.133,1.20,0.933,1.00,0.933,0.933,0.933,1.07,0.933,0.800,0.867,0.933,0.867,0.933,0.867,0.933,0.933
11,0.333,0.0667,1.33,0.933,1.07,0.867,0.933,0.933,1.13,0.867,0.933,0.933,0.933,0.867,0.867,0.933,0.933,0.933
16,0.333,0.0667,1.13,0.800,0.933,0.933,0.867,0.933,1.00,0.933,0.867,0.867,0.933,1.000,0.867,0.933,0.933,1.000
21,0.267,0.0667,1.00,1.00,0.933,0.867,0.933,0.933,0.867,0.933,0.933,0.867,0.800,1.00,0.867,0.867,0.867,1.00
26,0.333,0.0667,1.00,1.00,0.867,1.000,0.933,0.933,0.867,0.800,0.933,0.867,0.867,0.933,0.867,0.867,0.800,0.867
31,0.333,0.0667,1.07,1.07,0.933,1.00,1.00,0.933,0.933,0.867,0.933,0.933,0.800,0.867,1.000,1.07,0.933,0.867
36,0.400,0.0667,1.07,0.867,0.800,0.933,0.933,0.933,0.933,0.933,0.867,0.933,0.867,0.933,1.00,1.07,0.933,0.867
41,0.333,0.133,0.933,0.933,0.867,0.867,1.13,0.933,0.933,1.000,0.867,0.933,0.800,0.933,1.07,1.07,0.933,0.867
46,0.333,0.200,1.13,0.933,0.867,0.867,1.000,1.00,0.933,1.07,0.867,0.800,0.867,0.867,0.800,0.867,0.867,0.867
51,0.267,0.133,88.7,1.07,1.07,1.00,1.13,0.933,1.00,1.00,1.00,0.933,0.933,0.867,0.933,1.000,0.933,0.933
56,0.400,0.0667,270,1.13,1.07,1.07,0.933,1.00,1.13,1.13,1.07,0.933,1.07,0.933,0.933,1.07,1.13,1.07
61,0.400,0,494,1.13,1.13,1.13,1.13,1.13,1.20,1.20,1.27,1.20,1.13,1.07,1.20,1.20,1.20,1.07
66,0.467,0,645,1.20,1.20,1.27,1.20,1.33,1.27,1.33,1.27,1.33,1.27,1.20,1.27,1.20,1.33,1.13
71,0.467,0.0667,696,1.20,1.33,1.33,1.40,1.33,1.27,1.53,1.33,1.47,1.40,1.27,1.47,1.33,1.40,1.20
76,0.467,0.0667,732,1.33,1.40,1.27,1.40,1.47,1.33,1.53,1.27,1.40,1.47,1.40,1.33,1.40,1.40,1.33
81,0.467,0.133,755,1.27,1.40,1.47,1.33,1.40,1.40,1.53,1.40,1.33,1.33,1.33,1.33,1.40,1.33,1.53
86,0.467,0.0667,819,1.33,1.33,1.53,1.33,1.47,1.33,1.40,1.33,1.33,1.27,1.40,1.20,1.33,1.27,1.40
