Time,node_exporter:9100 (MiB),orderer.dwntp.com:8443 (MiB),peer0.org1.dwntp.com:9443 (MiB),peer1.org1.dwntp.com:9443 (MiB),peer10.org1.dwntp.com:9443 (MiB),peer11.org1.dwntp.com:9443 (MiB),peer12.org1.dwntp.com:9443 (MiB),peer13.org1.dwntp.com:9443 (MiB),peer14.org1.dwntp.com:9443 (MiB),peer15.org1.dwntp.com:9443 (MiB),peer2.org1.dwntp.com:9443 (MiB),peer3.org1.dwntp.com:9443 (MiB),peer4.org1.dwntp.com:9443 (MiB),peer5.org1.dwntp.com:9443 (MiB),peer6.org1.dwntp.com:9443 (MiB),peer7.org1.dwntp.com:9443 (MiB),peer8.org1.dwntp.com:9443 (MiB),peer9.org1.dwntp.com:9443 (MiB)
1,24.5,111,201,207,199,209,208,210,187,203,206,199,199,203,205,205,211,209
6,24.5,112,201,205,199,209,208,210,193,204,206,204,202,203,206,205,215,209
11,24.0,122,213,206,204,204,205,203,197,210,198,199,196,204,206,201,221,198
16,23.8,132,208,199,199,207,202,200,198,208,195,188,195,215,195,194,218,201
21,23.8,105,204,203,196,202,201,200,198,204,203,196,196,211,206,194,218,199
26,23.8,113,203,203,201,209,204,204,196,209,207,198,201,211,201,198,217,199
31,23.7,127,205,207,200,206,201,211,198,215,203,205,204,211,204,199,221,199
36,24.4,103,218,209,207,214,206,212,203,217,207,210,211,215,208,204,224,205
41,24.3,131,222,215,206,216,215,216,214,221,213,219,218,216,209,212,227,206
46,23.8,140,230,227,218,221,227,224,219,230,220,225,224,227,222,222,231,210
51,23.9,131,241,229,221,232,233,232,229,234,230,233,230,232,230,225,231,220
56,23.8,139,247,239,228,231,238,244,234,238,231,229,232,236,228,229,237,228
61,24.0,121,226,222,234,232,239,236,208,218,215,220,209,221,219,215,212,231
66,23.7,137,228,214,211,217,213,227,208,214,212,212,213,217,211,209,218,209
71,23.5,123,230,218,212,220,218,215,207,226,219,219,221,221,218,224,218,210
76,22.9,141,237,224,220,223,218,225,221,226,217,227,221,227,222,226,222,216
81,23.9,120,238,226,229,222,232,228,229,236,225,230,223,225,220,229,226,218
86,23.6,141,245,236,230,233,232,236,233,249,235,234,234,238,231,239,236,225
91,23.2,127,229,214,242,223,247,246,206,225,211,214,224,229,226,219,218,235
96,23.0,146,229,217,220,220,221,214,213,220,209,214,212,217,215,220,221,209
101,22.9,121,237,220,211,218,223,216,215,224,215,215,214,221,222,221,223,214
106,23.4,143,231,222,213,211,224,220,215,226,222,225,220,225,225,223,225,216
111,23.5,127,242,223,228,224,234,227,217,231,229,228,227,230,226,230,226,221
116,23.2,146,249,234,227,231,232,231,224,234,231,231,228,232,232,232,230,226
121,23.2,129,249,233,237,236,239,236,219,231,230,219,219,229,223,228,224,224
126,23.3,142,249,238,224,229,224,219,223,234,232,223,232,232,229,227,231,226
131,23.4,156,253,241,227,230,234,226,228,239,238,235,230,234,233,227,234,227
136,23.6,208,263,261,248,254,247,243,241,253,255,243,241,245,248,251,241,240
141,23.5,218,271,268,253,256,256,249,244,259,269,241,246,253,255,259,244,244
146,24.5,216,272,275,250,256,254,255,255,270,265,250,254,264,260,263,252,256
151,24.5,138,257,235,260,267,264,259,231,232,230,221,219,249,226,222,231,261
156,23.2,219,271,234,232,235,233,240,226,256,236,242,238,237,242,242,233,220
161,23.3,220,283,261,257,254,261,261,249,262,251,256,256,265,268,257,258,258
166,23.2,161,267,252,265,260,273,269,246,270,261,241,262,273,262,250,261,263
171,23.3,166,280,247,248,247,251,237,254,260,243,253,243,256,257,246,261,255
176,23.4,257,299,267,261,268,266,263,255,278,266,266,268,270,281,270,267,248
181,23.3,228,280,252,265,257,267,269,252,259,254,247,244,265,258,252,264,273
186,23.5,242,257,246,257,253,260,253,244,263,246,253,252,251,253,254,255,246
191,24.1,227,253,248,253,252,250,249,242,262,253,259,258,258,255,257,255,241
196,23.7,236,262,262,256,267,266,256,252,270,259,268,257,252,261,250,261,250
201,24.5,185,284,272,271,277,273,261,248,276,274,270,253,277,266,265,273,258
206,24.4,104,272,258,263,264,268,268,244,259,259,260,236,257,259,261,258,258
211,23.9,220,269,235,264,265,258,255,238,258,242,252,227,250,235,241,248,245
