Time,node_exporter:9100,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
3,23.3 MiB,80.6 MiB,208 MiB,197 MiB,,,,,,,194 MiB,193 MiB,,,,,,
8,23.3 MiB,90.8 MiB,203 MiB,192 MiB,,,,,,,196 MiB,196 MiB,,,,,,
13,23.5 MiB,72.3 MiB,203 MiB,186 MiB,,,,,,,191 MiB,196 MiB,,,,,,
18,23.1 MiB,90.6 MiB,203 MiB,185 MiB,,,,,,,189 MiB,199 MiB,,,,,,
23,23.3 MiB,77.4 MiB,207 MiB,188 MiB,,,,,,,193 MiB,201 MiB,,,,,,
28,23.5 MiB,92.9 MiB,217 MiB,201 MiB,,,,,,,203 MiB,204 MiB,,,,,,
33,23.8 MiB,82.3 MiB,229 MiB,216 MiB,,,,,,,213 MiB,200 MiB,,,,,,
38,23.2 MiB,96.5 MiB,208 MiB,193 MiB,,,,,,,195 MiB,206 MiB,,,,,,
43,23.4 MiB,79.2 MiB,219 MiB,205 MiB,,,,,,,205 MiB,207 MiB,,,,,,
48,22.8 MiB,101 MiB,220 MiB,206 MiB,,,,,,,211 MiB,206 MiB,,,,,,
53,22.7 MiB,83.1 MiB,220 MiB,207 MiB,,,,,,,209 MiB,210 MiB,,,,,,
58,23.5 MiB,104 MiB,223 MiB,209 MiB,,,,,,,207 MiB,213 MiB,,,,,,
63,23.5 MiB,87.6 MiB,225 MiB,214 MiB,,,,,,,214 MiB,206 MiB,,,,,,
68,23.3 MiB,75.6 MiB,227 MiB,213 MiB,,,,,,,214 MiB,222 MiB,,,,,,
73,23.3 MiB,98.9 MiB,235 MiB,218 MiB,,,,,,,216 MiB,226 MiB,,,,,,
78,23.0 MiB,81.4 MiB,239 MiB,221 MiB,,,,,,,223 MiB,226 MiB,,,,,,
83,23.2 MiB,106 MiB,241 MiB,222 MiB,,,,,,,228 MiB,234 MiB,,,,,,
88,24.0 MiB,91.2 MiB,242 MiB,228 MiB,,,,,,,228 MiB,233 MiB,,,,,,
93,23.7 MiB,82.3 MiB,241 MiB,232 MiB,,,,,,,232 MiB,227 MiB,,,,,,
98,24.0 MiB,107 MiB,226 MiB,210 MiB,,,,,,,213 MiB,212 MiB,,,,,,
103,23.8 MiB,88.6 MiB,224 MiB,213 MiB,,,,,,,216 MiB,220 MiB,,,,,,
108,22.9 MiB,81.2 MiB,232 MiB,219 MiB,,,,,,,216 MiB,220 MiB,,,,,,
