Time,node_exporter:9100 (MiB),orderer.dwntp.com:8443 (MiB),peer0.org1.dwntp.com:9443 (MiB),peer1.org1.dwntp.com:9443 (MiB),peer10.org1.dwntp.com:9443 (MiB),peer11.org1.dwntp.com:9443 (MiB),peer12.org1.dwntp.com:9443 (MiB),peer13.org1.dwntp.com:9443 (MiB),peer14.org1.dwntp.com:9443 (MiB),peer15.org1.dwntp.com:9443 (MiB),peer2.org1.dwntp.com:9443 (MiB),peer3.org1.dwntp.com:9443 (MiB),peer4.org1.dwntp.com:9443 (MiB),peer5.org1.dwntp.com:9443 (MiB),peer6.org1.dwntp.com:9443 (MiB),peer7.org1.dwntp.com:9443 (MiB),peer8.org1.dwntp.com:9443 (MiB),peer9.org1.dwntp.com:9443 (MiB)
4,22.9,96.0,254,238,,,,,,,240,241,,,,,,
9,23.1,96.0,255,238,,,,,,,240,241,,,,,,
14,22.9,96.0,224,238,,,,,,,241,241,,,,,,
19,23.3,96.0,520,238,,,,,,,241,241,,,,,,
24,22.8,96.0,861,238,,,,,,,241,241,,,,,,
29,23.5,96.0,1.18,238,,,,,,,241,241,,,,,,
34,23.9,96.0,1.48,238,,,,,,,241,241,,,,,,
39,23.4,96.0,1.82,238,,,,,,,241,241,,,,,,
44,23.5,96.0,2.16,238,,,,,,,241,241,,,,,,
49,22.9,96.0,2.16,238,,,,,,,241,241,,,,,,
54,23.4,96.0,2.03,238,,,,,,,241,241,,,,,,
59,23.2,96.0,1.92,238,,,,,,,241,242,,,,,,
64,23.6,96.0,1.83,238,,,,,,,241,242,,,,,,
69,23.2,96.0,1.72,238,,,,,,,241,242,,,,,,
74,22.7,96.5,1.45,238,,,,,,,241,242,,,,,,
79,23.6,96.5,1.38,238,,,,,,,241,242,,,,,,
84,23.4,96.5,1.38,238,,,,,,,242,242,,,,,,
89,23.5,96.5,1.38,238,,,,,,,242,242,,,,,,
94,23.8,96.5,1.38,238,,,,,,,242,242,,,,,,
99,23.4,96.5,1.38,228,,,,,,,242,242,,,,,,
104,22.7,96.5,1.38,228,,,,,,,242,242,,,,,,
109,23.0,96.5,1.38,228,,,,,,,226,200,,,,,,
114,23.3,77.3,1.33,228,,,,,,,226,200,,,,,,
119,23.3,77.3,1.40,228,,,,,,,226,200,,,,,,
124,23.7,77.3,1.40,228,,,,,,,226,200,,,,,,
129,23.1,77.3,1.40,228,,,,,,,226,200,,,,,,
134,23.7,77.3,1.40,228,,,,,,,227,200,,,,,,
139,24.1,77.3,1.40,228,,,,,,,227,200,,,,,,
144,24.1,77.3,1.41,229,,,,,,,227,200,,,,,,
149,23.9,77.3,1.41,229,,,,,,,227,200,,,,,,
154,24.1,77.3,1.41,230,,,,,,,227,200,,,,,,
159,24.3,77.3,1.42,230,,,,,,,227,200,,,,,,
164,23.7,77.5,1.42,230,,,,,,,227,200,,,,,,
