Time,node_exporter:9100 (MiB),orderer.dwntp.com:8443 (MiB),peer0.org1.dwntp.com:9443 (MiB),peer1.org1.dwntp.com:9443 (MiB),peer10.org1.dwntp.com:9443 (MiB),peer11.org1.dwntp.com:9443 (MiB),peer12.org1.dwntp.com:9443 (MiB),peer13.org1.dwntp.com:9443 (MiB),peer14.org1.dwntp.com:9443 (MiB),peer15.org1.dwntp.com:9443 (MiB),peer2.org1.dwntp.com:9443 (MiB),peer3.org1.dwntp.com:9443 (MiB),peer4.org1.dwntp.com:9443 (MiB),peer5.org1.dwntp.com:9443 (MiB),peer6.org1.dwntp.com:9443 (MiB),peer7.org1.dwntp.com:9443 (MiB),peer8.org1.dwntp.com:9443 (MiB),peer9.org1.dwntp.com:9443 (MiB)
2,22.6,87.9,150,150,,,,,,,162,150,150,148,151,146,,
7,23.1,87.9,150,150,,,,,,,162,150,150,148,151,146,,
12,23.3,87.9,150,150,,,,,,,162,150,150,148,153,146,,
17,23.3,88.1,150,150,,,,,,,162,150,150,148,153,146,,
22,23.2,92.1,153,150,,,,,,,162,155,156,150,151,153,,
27,23.4,106,156,152,,,,,,,164,158,156,152,156,148,,
32,23.0,117,159,154,,,,,,,162,155,161,156,154,152,,
37,24.1,90.7,161,155,,,,,,,164,157,163,157,154,157,,
42,22.8,103,166,160,,,,,,,162,151,163,156,154,154,,
47,22.7,110,163,161,,,,,,,169,159,160,165,157,159,,
52,23.0,112,166,163,,,,,,,172,166,163,160,161,161,,
57,23.8,111,168,163,,,,,,,172,164,165,165,163,161,,
62,23.3,111,168,163,,,,,,,172,164,165,165,163,161,,
67,23.7,111,168,163,,,,,,,172,164,165,165,164,162,,
72,23.8,111,168,163,,,,,,,172,164,165,166,164,163,,
77,23.4,112,168,163,,,,,,,172,164,165,166,164,163,,
82,24.1,112,168,163,,,,,,,172,164,166,166,164,163,,
87,24.6,112,168,163,,,,,,,172,164,166,166,164,163,,
